fusion	partner	domain	domain_start	domain_end	domain_length	evalue	neg_log10_evalue	prot_fusion_type
AKAP9--BRAF	5p	PACT_coil_coil	190	226	37	0.23	0.638272163982407	INFRAME
AKAP9--BRAF	5p	PACT_coil_coil	376	401	26	0.87	0.06048074738138147	INFRAME
AKAP9--BRAF	5p	PACT_coil_coil	921	951	31	0.7	0.1549019599857432	INFRAME
BRD4--NUTM1	3p	NUT-PARTIAL	101	557	457	5.3e-228	227.2757241303992	INFRAME
BRD4--NUTM1	3p	NUT	935	1157	223	1.5e-58	57.82390874094431	INFRAME
BRD4--NUTM1	5p	Bromodomain	70	151	82	1.1e-25	24.95860731484177	INFRAME
BRD4--NUTM1	5p	BET	159	168	10	1.9	-0.2787536009528289	INFRAME
BRD4--NUTM1	5p	Bromodomain	357	444	88	3e-25	24.522878745280334	INFRAME
CD74--ROS1	5p	MHC2-interact	17	128	112	5.1e-50	49.292429823902054	INFRAME
CD74--ROS1	5p	YvrJ	51	59	9	0.02	1.6989700043360185	INFRAME
CD74--ROS1	5p	YvrJ	67	89	23	0.00052	3.2839966563652006	INFRAME
ETV6--NTRK3	5p	SAM_PNT	40	123	84	1.2e-31	30.920818753952375	INFRAME
ETV6--NTRK3	5p	SAM_3	63	117	55	0.000013	4.886056647693163	INFRAME
ETV6--NTRK3	5p	Ets	65	79	15	3.3	-0.5185139398778874	INFRAME
EWSR1--ATF1	5p	RRM_1	368	446	79	1e-13	12.999999999999998	INFRAME
EWSR1--ATF1	5p	Zn_ribbon_RanBP	523	553	31	7.6e-15	14.119186407719207	INFRAME
EWSR1--FLI1	5p	RRM_1	368	446	79	1e-13	12.999999999999998	INFRAME
EWSR1--FLI1	5p	Zn_ribbon_RanBP	523	553	31	7.6e-15	14.119186407719207	INFRAME
FGFR3--TACC3	3p	TACC_C	639	832	194	1.4e-86	85.85387196432175	INFRAME
FGFR3--TACC3	3p	DUF4776	646	820	175	0.0003	3.522878745280337	INFRAME
FGFR3--TACC3	3p	DUF3802	674	721	48	0.000025	4.602059991327962	INFRAME
FGFR3--TACC3	5p	I-set	48	110	63	3e-6	5.522878745280337	INFRAME
FGFR3--TACC3	5p	ig	49	110	62	6.1e-7	6.214670164989233	INFRAME
FGFR3--TACC3	5p	Ig_3	50	110	61	4.8e-7	6.318758762624412	INFRAME
FIP1L1--PDGFRA	5p	Fip1	154	196	43	1.6e-29	28.795880017344075	INFRAME
GOPC--ROS1	5p	DUF6212	62	136	75	0.13	0.8860566476931632	INFRAME
GOPC--ROS1	5p	DUF4140	65	118	54	0.015	1.8239087409443187	INFRAME
GOPC--ROS1	5p	NPV_P10	67	103	37	0.00055	3.259637310505756	INFRAME
HOOK3--RET	5p	HOOK_N	11	156	146	2.7e-79	78.56863623584101	INFRAME
HOOK3--RET	5p	CH_2	16	54	39	4.6e-6	5.337242168318426	INFRAME
HOOK3--RET	5p	CH_2	128	154	27	5.7	-0.7558748556724914	INFRAME
NPM1--ALK	5p	NPL	18	114	97	8.1e-7	6.09151498112135	INFRAME
NPM1--ALK	5p	Nucleoplasmin	18	117	100	1.3e-42	41.88605664769316	INFRAME
NPM1--ALK	5p	YL1	120	237	118	0.000057	4.2441251443275085	INFRAME
TMPRSS2--ETV1	3p	Ets-PARTIAL	364	397	34	1.4e-38	37.85387196432176	INFRAME
TMPRSS2--ETV1	3p	HSF_DNA-bind-PARTIAL	364	378	15	0.000018	4.7447274948966935	INFRAME
TMPRSS2--ETV1	5p	Microp_archaea	144	158	15	0.000098	4.008773924307505	INFRAME
TMPRSS2--ETV1	5p	Ldl_recept_a	165	201	37	5.7e-7	6.2441251443275085	INFRAME
TMPRSS2--ETV1	5p	SRCR_2	206	300	95	2.3e-37	36.63827216398241	INFRAME
