contrast	phenotype	term	size	es	nes	nom_pvalue	fdr_qvalue	fwer_pvalue	neg_log10_fdr	rank_at_max	leading_edge_percent	leading_edge
Condition_genotype_WT_KO	KO	HALLMARK_OXIDATIVE_PHOSPHORYLATION	193	0.44555578	1.787615	0.007707129	0.03522082	0.051	1.4532005371441654	6868	51.0	tags=51%, list=30%, signal=72%
Condition_genotype_WT_KO	KO	HALLMARK_PROTEIN_SECRETION	92	0.36337677	1.7633432	0.034343433	0.021059023	0.058	1.6765617810874345	3645	26.0	tags=26%, list=16%, signal=31%
Condition_genotype_WT_KO	KO	HALLMARK_PEROXISOME	97	0.4059765	1.7578981	0.0	0.014630824	0.061	1.8347312139583734	3800	36.0	tags=36%, list=16%, signal=43%
Condition_genotype_WT_KO	KO	HALLMARK_FATTY_ACID_METABOLISM	148	0.38387626	1.6493427	0.0	0.032477614	0.165	1.488415884132112	5081	43.0	tags=43%, list=22%, signal=54%
Condition_genotype_WT_KO	KO	HALLMARK_XENOBIOTIC_METABOLISM	176	0.43538386	1.6205336	0.0	0.03278074	0.195	1.4843812467908657	4163	47.0	tags=47%, list=18%, signal=56%
Condition_genotype_WT_KO	KO	HALLMARK_ADIPOGENESIS	191	0.3254191	1.5727447	0.0	0.044443432	0.266	1.3521924114523458	5763	43.0	tags=43%, list=25%, signal=57%
Condition_genotype_WT_KO	KO	HALLMARK_P53_PATHWAY	190	0.34782207	1.4918488	0.033398822	0.07851499	0.433	1.1050474202891947	3473	32.0	tags=32%, list=15%, signal=37%
Condition_genotype_WT_KO	KO	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	45	0.38456365	1.487867	0.05436893	0.07073891	0.439	1.1503416364159853	4384	51.0	tags=51%, list=19%, signal=63%
Condition_genotype_WT_KO	KO	HALLMARK_HEME_METABOLISM	171	0.2622005	1.4061809	0.02008032	0.124133386	0.625	0.9061113981501168	3077	24.0	tags=24%, list=13%, signal=27%
Condition_genotype_WT_KO	KO	HALLMARK_BILE_ACID_METABOLISM	101	0.40114048	1.3761961	0.10309278	0.14127368	0.688	0.8499387418704059	4452	47.0	tags=47%, list=19%, signal=57%
Condition_genotype_WT_KO	KO	HALLMARK_PANCREAS_BETA_CELLS	24	0.37553197	1.3063667	0.125	0.20385025	0.812	0.6906887515968922	2997	38.0	tags=38%, list=13%, signal=43%
Condition_genotype_WT_KO	KO	HALLMARK_COAGULATION	118	0.33901516	1.21227	0.19315895	0.29782364	0.928	0.5260408327286491	3885	39.0	tags=39%, list=17%, signal=47%
