sample	gene_symbol	gene_name	drug_class	antimicrobial_agent	resistance_mechanism	tool	database	reference_accession	coverage_pct	coverage_frac	identity_pct	contig	sequence_id	start	stop	strand	hits
ERZ1664501	aadS	aminoglycoside 6-adenylyltransferase AadS	STREPTOMYCIN			abricate	ncbi	NG_047380.1	100.0	1.0	99.54	ERZ1664501.491-NODE-491-length-2669-cov-3.423871	ERZ1664501.491-NODE-491-length-2669-cov-3.423871	570	1433	+	1
ERZ1664501	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	AMIKACIN;KANAMYCIN			abricate	ncbi	NG_047418.1	100.0	1.0	99.87	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	44	838	-	1
ERZ1664501	aadE	aminoglycoside 6-adenylyltransferase AadE	AMINOGLYCOSIDE	STREPTOMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_001255868.1	60.76	0.6076	99.43	ERZ1664501.1710-NODE-1710-length-1591-cov-4.684245	ERZ1664501.1710-NODE-1710-length-1591-cov-4.684245	1066	1590	+	1
ERZ1664501	aadS	aminoglycoside 6-adenylyltransferase AadS	AMINOGLYCOSIDE	STREPTOMYCIN		amrfinderplus	NCBI Reference Gene Database	WP_003013318.1	100.0	1.0	99.65	ERZ1664501.491-NODE-491-length-2669-cov-3.423871	ERZ1664501.491-NODE-491-length-2669-cov-3.423871	570	1430	+	1
ERZ1664501	APH(3''')-III	AAK62562|FEATURES|aph(3''')-III|aminoglycoside|aph(3''')-III	aminoglycoside			deeparg	deeparg_db	AAK62562			99.6	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175_1	1	264		1
ERZ1664501	BACA	undefined	mupirocin			deeparg	deeparg_db	undefined			60.2	ERZ1664501.9-NODE-9-length-8445-cov-6.700000	ERZ1664501.9-NODE-9-length-8445-cov-6.700000_5	1	272		1
ERZ1664501	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664501_FASTA_ERZ1664501.9513-NODE-9513-length-727-cov-1.373512_seq1	ERZ1664501_FASTA_ERZ1664501.9513-NODE-9513-length-727-cov-1.373512_seq1_4				1
ERZ1664501	b1	b1_b2_70_centroids-aligned	b1			fargene	fargene_hmms	b1_b2_70_centroids-aligned				ERZ1664501_FASTA_ERZ1664501.3333-NODE-3333-length-1184-cov-3.121346_seq1	ERZ1664501_FASTA_ERZ1664501.3333-NODE-3333-length-1184-cov-3.121346_seq1_4				1
ERZ1664501	APH(3')-IIIa	APH(3')	aminoglycoside antibiotic	neomycin; amikacin; ribostamycin; butirosin; kanamycin A; isepamicin; gentamicin B; paromomycin; lividomycin; gentamicin	antibiotic inactivation	rgi	CARD	3002647	100.0	1.0	99.62	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	ERZ1664501.3278-NODE-3278-length-1195-cov-2.320175	44	838	-	1
ERZ1664501	ErmB	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	antibiotic target alteration	rgi	CARD	3000375	98.79	0.9879000000000001	98.37	ERZ1664501.2949-NODE-2949-length-1251-cov-2.491639	ERZ1664501.2949-NODE-2949-length-1251-cov-2.491639	383	1120	-	1
