read_set	multiplicity	kmers	kmer_mass	peak_multiplicity
singles	1	563217710	563217710	36
singles	9	290915	2618235	36
singles	17	449454	7640718	36
singles	25	3455648	86391200	36
singles	33	10334424	341035992	36
singles	41	8837918	362354638	36
singles	49	2721227	133340123	36
singles	57	499879	28493103	36
singles	65	185254	12041510	36
singles	73	162848	11887904	36
singles	81	112510	9113310	36
singles	89	71694	6380766	36
singles	97	45371	4400987	36
singles	105	37254	3911670	36
singles	113	28131	3178803	36
singles	121	22902	2771142	36
