sample	condition	hsa-miR-181a-5p	hsa-miR-26a-5p	hsa-miR-27b-3p	hsa-let-7a-5p	hsa-miR-143-3p	hsa-miR-9-5p	hsa-let-7f-5p	hsa-miR-127-3p	hsa-miR-30a-5p	hsa-miR-101-3p
c1	case	129948.63115685481	57424.271372293006	40328.52544888757	81094.47117783243	43680.9206633318	38504.20054965668	89166.05494865049	50584.89008800231	16490.473829426977	10269.127565058048
c2	case	144415.35322517727	74705.36293782367	60291.26282304541	46973.94654422543	50570.91459990183	34457.82992086254	31841.909923427043	40471.30273107293	20130.115323625127	18062.691323105566
c3	case	139421.03845405718	92099.1513219215	48686.23946208868	47618.56550026355	50960.87588535636	39907.99595756548	33395.49159329476	38041.10053868446	22209.152420275743	18402.649304079066
c4	case	168934.84873002899	136960.624353883	54347.31746131543	36725.31665531184	31265.518403576923	49489.2390274773	23285.05213771324	36839.31153687982	16583.060113232168	17867.3062473524
c5	case	201221.01349915954	127539.74012635397	65303.86110544459	37145.477465866374	32301.992144568798	38647.32445364223	22982.519199595772	34994.22462495565	15365.241856663615	17284.481790824917
c6	case	273175.3267918171	69549.96710017537	70568.33245513085	41020.35769493255	32670.880290951543	26917.03739045407	25812.512069822777	34192.748406783394	15538.329387975878	13937.991039713103
c7	case	202050.59357841182	118741.94644529915	53640.00821719621	40921.067070929916	46104.863720976915	36314.87660666444	26161.060710543155	36307.54709567109	22140.009540580144	18157.641900859813
cc1	control	133665.30220462804	65774.18936969498	38287.555141487726	48385.261868407935	65165.17190674494	48753.25100044201	39127.74137493239	48062.930085402	26446.071389891615	16338.65678809499
cc2	control	340921.40597582713	70812.60686856497	112543.35525845202	41181.085282587745	17463.752854738083	17425.747766703196	18838.408506235737	10441.275583523317	11430.07171676285	16439.275088627368
cc3	control	141519.8929938487	82217.14071707215	39877.55551470613	46761.39509979404	53433.71302691842	49311.5588116054	36362.038089007125	41352.48413186956	28710.631275400054	18271.671183630788
cc4	control	199509.57929820975	84882.86884356999	59698.93365545368	41246.80381855531	33456.55230516849	37694.2548031265	27749.186184347032	44214.809721030324	17825.900807578437	15710.732336925008
cc5	control	295420.3301700691	113777.86144223325	83819.10465919442	40164.79080011776	20503.752139498993	24142.66827081339	21377.352107767187	16647.492659175554	14140.159962754145	18279.59978262414
