sample	dim_1	dim_2	dim_3	mirna_reads	mirnas_detected	condition
c1	-10.57865711473476	8.42660587261721	-18.847294891251185	2585614	1239	case
c2	5.491380618684393	7.36652949760045	0.7309550554479214	4804046	1395	case
c3	6.391772072942659	7.122478410781306	-0.6610524290741272	3259422	1417	case
c4	4.331975275404038	6.365216164581166	4.399783183336066	4851095	1393	case
c5	2.0992815087340513	5.702307248559509	4.269675032768244	5210917	1435	case
c6	-4.747326384762601	5.722475094448431	3.341076942204271	5721915	1421	case
c7	-1.2526594079701294	4.868798990501167	1.1973508755676496	4911651	1359	case
cc1	8.703107793317837	0.44829436159438774	-1.2617883010566986	6592586	1443	control
cc2	-23.991883682014713	1.855532614245342	4.211136870570179	6025509	1306	control
cc3	8.452415789791203	0.2624679223739276	-0.7622136739870762	4368347	1368	control
cc4	5.803959254362535	2.5459572797515486	4.424138438236285	6381052	1435	control
cc5	-12.563452692405942	2.0532910608836143	5.325789473069077	6151557	1376	control
