sample	library	platform	sequencing_effort	coverage	observed_effort	projected_effort	diversity
MOCK_001_Illumina_Hiseq_3000	MOCK_001_Illumina_Hiseq_3000_1	ILLUMINA	102758.43423999997	0.001080922923785463	102758434.24	2854883325.493	17.8036661724689
MOCK_001_Illumina_Hiseq_3000	MOCK_001_Illumina_Hiseq_3000_1	ILLUMINA	109439.25066802296	0.0012203805134393796	102758434.24	2854883325.493	17.8036661724689
MOCK_001_Illumina_Hiseq_3000	MOCK_001_Illumina_Hiseq_3000_1	ILLUMINA	116554.41886945558	0.0013755124165231519	102758434.24	2854883325.493	17.8036661724689
MOCK_001_Illumina_Hiseq_3000	MOCK_001_Illumina_Hiseq_3000_1	ILLUMINA	124132.17812689077	0.0015477861972438556	102758434.24	2854883325.493	17.8036661724689
MOCK_002_Illumina_Hiseq_3000	MOCK_002_Illumina_Hiseq_3000_1	ILLUMINA	139340.03548899974	0.001110416482615718	139340035.489	2348920315.80024	17.8173529254465
MOCK_002_Illumina_Hiseq_3000	MOCK_002_Illumina_Hiseq_3000_1	ILLUMINA	148027.09118314635	0.0012524433429590383	139340035.489	2348920315.80024	17.8173529254465
MOCK_002_Illumina_Hiseq_3000	MOCK_002_Illumina_Hiseq_3000_1	ILLUMINA	157255.73520378052	0.0014103267891427986	139340035.489	2348920315.80024	17.8173529254465
MOCK_002_Illumina_Hiseq_3000	MOCK_002_Illumina_Hiseq_3000_1	ILLUMINA	167059.73249102867	0.0015855453730390992	139340035.489	2348920315.80024	17.8173529254465
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_1	ILLUMINA	235058.11912799987	0.007565358737571881	235058119.128	1789540673.31917	17.4039463281212
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_1	ILLUMINA	249058.222843923	0.008259413628777726	235058119.128	1789540673.31917	17.4039463281212
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_1	ILLUMINA	263892.1752470712	0.009006301625095471	235058119.128	1789540673.31917	17.4039463281212
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_1	ILLUMINA	279609.64051474707	0.009809046573260108	235058119.128	1789540673.31917	17.4039463281212
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_2	ILLUMINA	83067.72623999986	0.0009711483879784647	83067726.2399999	1583527704.69652	17.388950520839
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_2	ILLUMINA	88301.0682962383	0.001099016847330786	83067726.2399999	1583527704.69652	17.388950520839
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_2	ILLUMINA	93864.1156461843	0.0012415914768768466	83067726.2399999	1583527704.69652	17.388950520839
MOCK_003_Illumina_Hiseq_3000	MOCK_003_Illumina_Hiseq_3000_2	ILLUMINA	99777.6400222285	0.0014002876475103807	83067726.2399999	1583527704.69652	17.388950520839
