run_id	q_value	accepted_psms	xcorr_threshold
PBMC007_msms29	0.0	1600	2.312
PBMC007_msms29	0.010050251256281407	4017	1.821
PBMC007_msms29	0.020100502512562814	4867	1.646
PBMC007_msms29	0.03015075376884422	5352	1.55
PBMC007_msms29	0.04020100502512563	5601	1.496
PBMC007_msms29	0.05025125628140704	5938	1.424
PBMC007_msms29	0.06030150753768844	6174	1.376
PBMC007_msms29	0.07035175879396985	6358	1.337
PBMC007_msms29	0.08040201005025126	6519	1.298
PBMC007_msms29	0.09045226130653267	6667	1.261
PBMC007_msms30	0.0	858	2.569
PBMC007_msms30	0.010050251256281407	5274	1.807
PBMC007_msms30	0.020100502512562814	6181	1.673
PBMC007_msms30	0.03015075376884422	6722	1.594
PBMC007_msms30	0.04020100502512563	7294	1.507
PBMC007_msms30	0.05025125628140704	7625	1.455
PBMC007_msms30	0.06030150753768844	7967	1.403
PBMC007_msms30	0.07035175879396985	8232	1.36
PBMC007_msms30	0.08040201005025126	8570	1.308
PBMC007_msms30	0.09045226130653267	8874	1.26
