sample	total_reads	expected_distinct	lower_ci	upper_ci	ci_width
EZH2_IP_NTKO_R1	0.0	0.0	0.0	0.0	0.0
EZH2_IP_NTKO_R1	6000000.0	5745463.0	5741810.0	5749536.5	7726.5
EZH2_IP_NTKO_R1	12000000.0	11260813.5	11253432.4	11268644.9	15212.5
EZH2_IP_NTKO_R1	18000000.0	16583963.5	16572879.1	16595217.7	22338.599999999627
EZH2_IP_NTKO_R1	24000000.0	21728682.5	21714176.3	21743079.6	28903.300000000745
EZH2_IP_NTKO_R1	30000000.0	26705360.0	26687544.5	26722587.2	35042.699999999255
EZH2_IP_NTKO_R1	36000000.0	31522569.0	31501587.1	31542472.0	40884.89999999851
EZH2_IP_NTKO_R1	42000000.0	36187852.0	36164056.8	36210278.6	46221.80000000447
EZH2_IP_NTKO_R1	48000000.0	40708297.5	40681792.9	40733080.0	51287.10000000149
EZH2_IP_NTKO_R1	54000000.0	45090239.5	45061328.6	45117300.7	55972.10000000149
EZH2_IP_NTKO_R1	60000000.0	49339837.0	49308576.0	49368962.2	60386.20000000298
EZH2_IP_NTKO_R1	66000000.0	53462712.0	53429219.1	53493721.2	64502.10000000149
EZH2_IP_NTKO_R1	72000000.0	57464075.0	57428603.2	57496962.0	68358.79999999702
EZH2_IP_NTKO_R1	78000000.0	61349031.0	61311723.9	61383656.0	71932.10000000149
EZH2_IP_NTKO_R1	84000000.0	65122227.5	65083232.5	65158507.6	75275.10000000149
EZH2_IP_NTKO_R1	90000000.0	68788233.5	68747602.3	68826002.8	78400.5
EZH2_IP_NTKO_R1	96000000.0	72351213.5	72309114.1	72390424.9	81310.80000001192
EZH2_IP_NTKO_R1	102000000.0	75815225.0	75771759.0	75855771.2	84012.20000000298
EZH2_IP_NTKO_R1	108000000.0	79184177.0	79139347.5	79225877.7	86530.20000000298
EZH2_IP_NTKO_R1	114000000.0	82461597.5	82415513.2	82504375.2	88862.0
EZH2_IP_NTKO_R1	120000000.0	85650947.0	85603691.5	85694728.0	91036.5
EZH2_IP_NTKO_R1	126000000.0	88755521.5	88707173.8	88800224.8	93051.0
EZH2_IP_NTKO_R1	132000000.0	91778440.5	91729068.3	91823984.6	94916.29999999702
EZH2_IP_NTKO_R1	138000000.0	94722691.5	94672362.5	94769022.4	96659.90000000596
EZH2_IP_NTKO_R2	0.0	0.0	0.0	0.0	0.0
EZH2_IP_NTKO_R2	6000000.0	5692322.0	5687852.9	5697258.3	9405.399999999441
EZH2_IP_NTKO_R2	12000000.0	11148599.0	11139898.8	11158221.3	18322.5
EZH2_IP_NTKO_R2	18000000.0	16413063.0	16400328.0	16427164.7	26836.699999999255
EZH2_IP_NTKO_R2	24000000.0	21504256.5	21487823.3	21522615.8	34792.5
EZH2_IP_NTKO_R2	30000000.0	26435883.0	26415999.2	26458233.3	42234.10000000149
EZH2_IP_NTKO_R2	36000000.0	31219251.0	31195929.4	31245308.1	49378.70000000298
EZH2_IP_NTKO_R2	42000000.0	35863971.0	35837463.5	35893580.1	56116.60000000149
EZH2_IP_NTKO_R2	48000000.0	40378613.0	40348966.5	40411501.9	62535.39999999851
EZH2_IP_NTKO_R2	54000000.0	44770750.0	44738170.5	44806860.0	68689.5
EZH2_IP_NTKO_R2	60000000.0	49047349.0	49011941.6	49086491.2	74549.60000000149
EZH2_IP_NTKO_R2	66000000.0	53214639.0	53176539.8	53256699.2	80159.40000000596
EZH2_IP_NTKO_R2	72000000.0	57278323.0	57237691.0	57323265.2	85574.20000000298
EZH2_IP_NTKO_R2	78000000.0	61243782.5	61200646.2	61291395.5	90749.29999999702
EZH2_IP_NTKO_R2	84000000.0	65115810.0	65070288.3	65165991.5	95703.20000000298
EZH2_IP_NTKO_R2	90000000.0	68898758.5	68851077.1	68951510.5	100433.40000000596
EZH2_IP_NTKO_R2	96000000.0	72596901.5	72547168.0	72652215.9	105047.90000000596
EZH2_IP_NTKO_R2	102000000.0	76214110.0	76162443.7	76271866.9	109423.20000000298
EZH2_IP_NTKO_R2	108000000.0	79753994.0	79700417.5	79814100.9	113683.40000000596
EZH2_IP_NTKO_R2	114000000.0	83219853.0	83164500.9	83282275.6	117774.69999998808
EZH2_IP_NTKO_R2	120000000.0	86614870.0	86557791.4	86679525.6	121734.19999998808
EZH2_IP_NTKO_R2	126000000.0	89941970.0	89883237.7	90008783.3	125545.59999999404
EZH2_IP_NTKO_R2	132000000.0	93203889.5	93143586.8	93272813.9	129227.10000000894
EZH2_IP_NTKO_R2	138000000.0	96403218.0	96341387.7	96474185.9	132798.20000000298
