Phylum	Kingdom	SRR10070130	SRR10070131	SRR10070132	SRR10070133	SRR10070134	SRR10070141	SRR10070149	SRR10070150	SRR10070151	SRR10102392	SRR10102393	SRR10102394
Acidobacteria	Bacteria	0.004464496250766353	0.004795801411594378	0.011299675933822275	0.009994645725504195	0.006168346040381595	0.01814322035990225	0.12196225943904228	0.11646014613809033	0.11780582939714619	0.2793518588627243	0.24415242387630154	0.2284173193438747
Actinobacteria	Bacteria	0.00925911370317388	0.006334077336068046	0.017098754903632954	0.002260693676006901	0.007713625276170773	0.011898003011527733	0.024614087936443523	0.018448844405061084	0.010269745395895393	0.08758991443931248	0.09180999959273992	0.11690557115413033
Aminicenantes	Bacteria	0.00003144011444201657	0.0	0.0	0.0	0.0	0.0	0.014952629196647365	0.015296561542149072	0.016885831372097232	0.0	0.0	0.0
Armatimonadetes	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.001732507140738891	0.001743197896541205	0.0020078668883000608	0.004164458241841448	0.0038146695084370717	0.003561400916211024
BRC1	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003483001438631029	0.0006244654711320473	0.0004581055120437417
Bacteroidetes	Bacteria	0.22797226981906213	0.22442239247149665	0.01087327306839502	0.016241299303944315	0.2269644841193824	0.01508232331959221	0.027501599837675007	0.03274306715669897	0.03487434374022811	0.04197773907776179	0.033979066831380744	0.032377715383478646
Campilobacterota	Bacteria	0.022243880967726722	0.024220305242203054	0.015521064301552107	0.0011898387768457374	0.0247627804809522	0.0014070252524005825	0.0006087187251244752	0.00031958628103255423	0.0011191389213475748	0.0	0.0	0.0
Candidatus_Saccharibacteria	Bacteria	0.02628393567352585	0.02823188755504615	0.018122121780658366	0.012537926111011958	0.021799931037125013	0.02270988126681642	0.0020602787619597622	0.003036069669809265	0.0025180625730320434	0.001983796471568108	0.0005701641258162171	0.0007536574552977686
Chloroflexi	Bacteria	0.00018864068665209942	0.00028654159377450685	0.00260105747910626	0.0020822178594800404	0.0005236070137798041	0.00044432376391597344	0.06020072109756668	0.06583477389270617	0.05719129046592387	0.007541455288861967	0.00792799641611121	0.011201418649327619
Crenarchaeota	Archaea	0.00011004040054705799	0.0002563793207456114	0.0	0.0	0.00016602173607652325	0.0	0.03235574146623172	0.040979677217856156	0.04119418706077912	0.0	0.0	0.0
Deferribacteres	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0010613557258580594	0.001133078632751783	0.0007899804150688764	0.0	0.0	0.0
Diapherotrites	Archaea	0.0	0.0	0.00046904315196998124	0.001055981914450592	0.0	0.0003949544568141986	0.0	0.0	0.0	0.0	0.0	0.0
Euryarchaeota	Archaea	0.00018864068665209942	0.00022621704771671593	0.003155381204161692	0.0027812481408769113	0.00021710534717699195	0.003752067339734887	0.005369211319046652	0.00955853513270094	0.005315909876400981	0.00048459150450518663	0.00028508206290810855	0.0003103295404167282
Firmicutes	Bacteria	0.012497445490701586	0.008928032816553055	0.03342998464949685	0.034683800345053244	0.009654802497988583	0.03246031941941695	0.021960698621798374	0.02311189877830881	0.019700136600780106	0.028318316044521844	0.033395327369235575	0.03902763410669425
Fusobacteria	Bacteria	0.003442692531400814	0.003634553899981903	0.0	0.0	0.00370356180478398	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemmatimonadetes	Bacteria	0.00017292062943109114	0.00004524340954334319	0.003283302063789869	0.002677137247902909	0.0002554180555023435	0.0025918886228431786	0.005337994974168475	0.004459681285317916	0.004706966639785389	0.009176951616566972	0.007249229599663331	0.007211467415398257
Hydrogenedentes	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0006399350700026534	0.0006682258603407952	0.0006089432366155923	0.0	0.0	0.0
Ignavibacteriae	Bacteria	0.00017292062943109114	0.00022621704771671593	0.00021320143271362784	0.0008180141590814445	0.0004342106943539839	0.0005677470316704105	0.006805163183442851	0.010706140414590566	0.012524481163904479	0.0	0.0	0.0
Latescibacteria	Bacteria	0.0008803232043764639	0.0007389756892079387	0.0	0.0	0.0011366103469854284	0.0	0.0057906319749020585	0.005113380496520868	0.005003209295436217	0.0	0.0	0.0
Lentisphaerae	Bacteria	0.000330121201641174	0.0003619472763467455	0.0	0.0	0.00038312708325351517	0.000049369307101774825	0.0	0.0	0.0	0.0	0.0	0.0
Nitrospirae	Bacteria	0.003631333218052914	0.0037702841286119324	0.0035391437830462223	0.002111963828901184	0.003933438054736089	0.003036212386759152	0.016544662785434452	0.014526649137843373	0.016227514359539837	0.004527901870220338	0.0060274493300571524	0.005024383035318457
Pacearchaeota	Archaea	0.0003458412588621823	0.00033178500331785003	0.0034965034965034965	0.0019037420429531798	0.00037035618047839803	0.0012836019846461455	0.00017168989682998017	0.0005374860181002048	0.0004608219087901779	0.0	0.0	0.0
Parcubacteria	Bacteria	0.0014462452643327621	0.0015986004705314592	0.0017482517482517483	0.0017996311499791778	0.0019411772218178103	0.002345042087334304	0.0	0.0	0.0	0.0	0.0	0.0
Planctomycetes	Bacteria	0.0018078065804159526	0.002005791156421548	0.0010660071635681392	0.0005205544648700101	0.0020816571523440994	0.003036212386759152	0.015342833507624592	0.015819520911111433	0.013182798176461875	0.011599909139092906	0.012217802696061795	0.011748189744347569
Proteobacteria	Bacteria	0.6456070300095892	0.6467545394220908	0.6806242537949855	0.6301981081563448	0.6445857757684891	0.6493791809631951	0.3921397243596747	0.3981463995700112	0.41566136172874046	0.22117059135307035	0.211707370050093	0.2152357026747451
Spirochaetes	Bacteria	0.0	0.0	0.0	0.0	0.000051083611100468695	0.0	0.0030904181429396434	0.002178997370676506	0.00330804298810092	0.0	0.0	0.0
Thaumarchaeota	Archaea	0.0018706868092999858	0.001674006153103698	0.0920603786457445	0.12197334761139865	0.002119969860669451	0.1074769815605638	0.044311601554573976	0.02983773732913029	0.011652211122265927	0.16732036041493148	0.2124675888845146	0.19379340919166543
Unclassified	Archaea	0.0006445223460613397	0.0008445436448090728	0.0022172949002217295	0.001531917425188887	0.0008811922914830849	0.0009873861420354965	0.005899889181975682	0.00697279158616482	0.006237553693981337	0.0	0.0	0.0
Unclassified	Bacteria	0.02343860531652335	0.027100802316462568	0.0787139689578714	0.13143256588732227	0.025477951036358762	0.10377428352793068	0.15864146467090168	0.15511555949389155	0.17410839189611757	0.025092753842659195	0.023851865929978414	0.020526082458992168
Verrucomicrobia	Bacteria	0.00971499536258312	0.009440791458044278	0.008144294729660584	0.008641204116842167	0.010625391108897488	0.012292957468341931	0.03004573194524653	0.02656924127311553	0.025740195190994224	0.10449004315893087	0.10576544533890828	0.10848234077139057
Woesearchaeota	Archaea	0.003254051844748715	0.0037702841286119324	0.012323042810847689	0.013564162056041407	0.004048376179712144	0.006887018340697588	0.000437028828294495	0.0004503261232731446	0.0005760273859877224	0.0	0.0	0.0
candidate_division_WPS-1	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0004214206558554059	0.00023242638620549398	0.0003291585062786985	0.004861058529567653	0.00415405291666101	0.0049652726466676515
