sample	taxonomy	rel_abundance	habitat	Kingdom	Phylum
SRR10070130	Bacteria;Proteobacteria	0.6456070300095892	Riverwater	Bacteria	Proteobacteria
SRR10070130	Bacteria;	0.02343860531652335	Riverwater	Bacteria	Unclassified
SRR10070130	Bacteria;Bacteroidetes	0.22797226981906213	Riverwater	Bacteria	Bacteroidetes
SRR10070130	Bacteria;Acidobacteria	0.004464496250766353	Riverwater	Bacteria	Acidobacteria
SRR10070130	Bacteria;Actinobacteria	0.00925911370317388	Riverwater	Bacteria	Actinobacteria
SRR10070130	Bacteria;Planctomycetes	0.0018078065804159526	Riverwater	Bacteria	Planctomycetes
SRR10070130	Archaea;Thaumarchaeota	0.0018706868092999858	Riverwater	Archaea	Thaumarchaeota
SRR10070130	Bacteria;Firmicutes	0.012497445490701586	Riverwater	Bacteria	Firmicutes
SRR10070130	Bacteria;Chloroflexi	0.00018864068665209942	Riverwater	Bacteria	Chloroflexi
SRR10070130	Bacteria;Ignavibacteriae	0.00017292062943109114	Riverwater	Bacteria	Ignavibacteriae
SRR10070130	Archaea;	0.0006445223460613397	Riverwater	Archaea	Unclassified
SRR10070130	Bacteria;Gemmatimonadetes	0.00017292062943109114	Riverwater	Bacteria	Gemmatimonadetes
SRR10070130	Bacteria;Verrucomicrobia	0.00971499536258312	Riverwater	Bacteria	Verrucomicrobia
SRR10070130	Bacteria;Candidatus_Saccharibacteria	0.02628393567352585	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070130	Archaea;Crenarchaeota	0.00011004040054705799	Riverwater	Archaea	Crenarchaeota
SRR10070130	Bacteria;Parcubacteria	0.0014462452643327621	Riverwater	Bacteria	Parcubacteria
SRR10070130	Bacteria;Aminicenantes	0.00003144011444201657	Riverwater	Bacteria	Aminicenantes
SRR10070130	Bacteria;Latescibacteria	0.0008803232043764639	Riverwater	Bacteria	Latescibacteria
SRR10070130	Archaea;Woesearchaeota	0.003254051844748715	Riverwater	Archaea	Woesearchaeota
SRR10070130	Bacteria;Nitrospirae	0.003631333218052914	Riverwater	Bacteria	Nitrospirae
SRR10070130	Archaea;Pacearchaeota	0.0003458412588621823	Riverwater	Archaea	Pacearchaeota
SRR10070130	Archaea;Euryarchaeota	0.00018864068665209942	Riverwater	Archaea	Euryarchaeota
SRR10070130	Bacteria;Campilobacterota	0.022243880967726722	Riverwater	Bacteria	Campilobacterota
SRR10070130	Bacteria;Fusobacteria	0.003442692531400814	Riverwater	Bacteria	Fusobacteria
SRR10070130	Bacteria;Lentisphaerae	0.000330121201641174	Riverwater	Bacteria	Lentisphaerae
SRR10070131	Bacteria;Proteobacteria	0.6467545394220908	Riverwater	Bacteria	Proteobacteria
SRR10070131	Bacteria;	0.027100802316462568	Riverwater	Bacteria	Unclassified
SRR10070131	Bacteria;Bacteroidetes	0.22442239247149665	Riverwater	Bacteria	Bacteroidetes
SRR10070131	Bacteria;Acidobacteria	0.004795801411594378	Riverwater	Bacteria	Acidobacteria
SRR10070131	Bacteria;Actinobacteria	0.006334077336068046	Riverwater	Bacteria	Actinobacteria
SRR10070131	Bacteria;Planctomycetes	0.002005791156421548	Riverwater	Bacteria	Planctomycetes
SRR10070131	Archaea;Thaumarchaeota	0.001674006153103698	Riverwater	Archaea	Thaumarchaeota
SRR10070131	Bacteria;Firmicutes	0.008928032816553055	Riverwater	Bacteria	Firmicutes
SRR10070131	Bacteria;Chloroflexi	0.00028654159377450685	Riverwater	Bacteria	Chloroflexi
SRR10070131	Bacteria;Ignavibacteriae	0.00022621704771671593	Riverwater	Bacteria	Ignavibacteriae
SRR10070131	Archaea;	0.0008445436448090728	Riverwater	Archaea	Unclassified
SRR10070131	Bacteria;Gemmatimonadetes	0.00004524340954334319	Riverwater	Bacteria	Gemmatimonadetes
SRR10070131	Bacteria;Verrucomicrobia	0.009440791458044278	Riverwater	Bacteria	Verrucomicrobia
SRR10070131	Bacteria;Candidatus_Saccharibacteria	0.02823188755504615	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070131	Archaea;Crenarchaeota	0.0002563793207456114	Riverwater	Archaea	Crenarchaeota
SRR10070131	Bacteria;Parcubacteria	0.0015986004705314592	Riverwater	Bacteria	Parcubacteria
SRR10070131	Bacteria;Latescibacteria	0.0007389756892079387	Riverwater	Bacteria	Latescibacteria
SRR10070131	Archaea;Woesearchaeota	0.0037702841286119324	Riverwater	Archaea	Woesearchaeota
SRR10070131	Bacteria;Nitrospirae	0.0037702841286119324	Riverwater	Bacteria	Nitrospirae
SRR10070131	Archaea;Pacearchaeota	0.00033178500331785003	Riverwater	Archaea	Pacearchaeota
SRR10070131	Archaea;Euryarchaeota	0.00022621704771671593	Riverwater	Archaea	Euryarchaeota
SRR10070131	Bacteria;Campilobacterota	0.024220305242203054	Riverwater	Bacteria	Campilobacterota
SRR10070131	Bacteria;Fusobacteria	0.003634553899981903	Riverwater	Bacteria	Fusobacteria
SRR10070131	Bacteria;Lentisphaerae	0.0003619472763467455	Riverwater	Bacteria	Lentisphaerae
SRR10070132	Bacteria;Proteobacteria	0.6806242537949855	Groundwater	Bacteria	Proteobacteria
SRR10070132	Bacteria;	0.0787139689578714	Groundwater	Bacteria	Unclassified
SRR10070132	Bacteria;Bacteroidetes	0.01087327306839502	Groundwater	Bacteria	Bacteroidetes
SRR10070132	Bacteria;Acidobacteria	0.011299675933822275	Groundwater	Bacteria	Acidobacteria
SRR10070132	Bacteria;Actinobacteria	0.017098754903632954	Groundwater	Bacteria	Actinobacteria
SRR10070132	Bacteria;Planctomycetes	0.0010660071635681392	Groundwater	Bacteria	Planctomycetes
SRR10070132	Archaea;Thaumarchaeota	0.0920603786457445	Groundwater	Archaea	Thaumarchaeota
SRR10070132	Bacteria;Firmicutes	0.03342998464949685	Groundwater	Bacteria	Firmicutes
SRR10070132	Bacteria;Chloroflexi	0.00260105747910626	Groundwater	Bacteria	Chloroflexi
SRR10070132	Bacteria;Ignavibacteriae	0.00021320143271362784	Groundwater	Bacteria	Ignavibacteriae
SRR10070132	Archaea;	0.0022172949002217295	Groundwater	Archaea	Unclassified
SRR10070132	Bacteria;Gemmatimonadetes	0.003283302063789869	Groundwater	Bacteria	Gemmatimonadetes
SRR10070132	Bacteria;Verrucomicrobia	0.008144294729660584	Groundwater	Bacteria	Verrucomicrobia
SRR10070132	Bacteria;Candidatus_Saccharibacteria	0.018122121780658366	Groundwater	Bacteria	Candidatus_Saccharibacteria
SRR10070132	Bacteria;Parcubacteria	0.0017482517482517483	Groundwater	Bacteria	Parcubacteria
SRR10070132	Archaea;Woesearchaeota	0.012323042810847689	Groundwater	Archaea	Woesearchaeota
SRR10070132	Bacteria;Nitrospirae	0.0035391437830462223	Groundwater	Bacteria	Nitrospirae
SRR10070132	Archaea;Pacearchaeota	0.0034965034965034965	Groundwater	Archaea	Pacearchaeota
SRR10070132	Archaea;Euryarchaeota	0.003155381204161692	Groundwater	Archaea	Euryarchaeota
SRR10070132	Bacteria;Campilobacterota	0.015521064301552107	Groundwater	Bacteria	Campilobacterota
SRR10070132	Archaea;Diapherotrites	0.00046904315196998124	Groundwater	Archaea	Diapherotrites
SRR10070133	Bacteria;Proteobacteria	0.6301981081563448	Groundwater	Bacteria	Proteobacteria
SRR10070133	Bacteria;	0.13143256588732227	Groundwater	Bacteria	Unclassified
SRR10070133	Bacteria;Bacteroidetes	0.016241299303944315	Groundwater	Bacteria	Bacteroidetes
SRR10070133	Bacteria;Acidobacteria	0.009994645725504195	Groundwater	Bacteria	Acidobacteria
SRR10070133	Bacteria;Actinobacteria	0.002260693676006901	Groundwater	Bacteria	Actinobacteria
SRR10070133	Bacteria;Planctomycetes	0.0005205544648700101	Groundwater	Bacteria	Planctomycetes
SRR10070133	Archaea;Thaumarchaeota	0.12197334761139865	Groundwater	Archaea	Thaumarchaeota
SRR10070133	Bacteria;Firmicutes	0.034683800345053244	Groundwater	Bacteria	Firmicutes
SRR10070133	Bacteria;Chloroflexi	0.0020822178594800404	Groundwater	Bacteria	Chloroflexi
SRR10070133	Bacteria;Ignavibacteriae	0.0008180141590814445	Groundwater	Bacteria	Ignavibacteriae
SRR10070133	Archaea;	0.001531917425188887	Groundwater	Archaea	Unclassified
SRR10070133	Bacteria;Gemmatimonadetes	0.002677137247902909	Groundwater	Bacteria	Gemmatimonadetes
SRR10070133	Bacteria;Verrucomicrobia	0.008641204116842167	Groundwater	Bacteria	Verrucomicrobia
SRR10070133	Bacteria;Candidatus_Saccharibacteria	0.012537926111011958	Groundwater	Bacteria	Candidatus_Saccharibacteria
SRR10070133	Bacteria;Parcubacteria	0.0017996311499791778	Groundwater	Bacteria	Parcubacteria
SRR10070133	Archaea;Woesearchaeota	0.013564162056041407	Groundwater	Archaea	Woesearchaeota
SRR10070133	Bacteria;Nitrospirae	0.002111963828901184	Groundwater	Bacteria	Nitrospirae
SRR10070133	Archaea;Pacearchaeota	0.0019037420429531798	Groundwater	Archaea	Pacearchaeota
SRR10070133	Archaea;Euryarchaeota	0.0027812481408769113	Groundwater	Archaea	Euryarchaeota
SRR10070133	Bacteria;Campilobacterota	0.0011898387768457374	Groundwater	Bacteria	Campilobacterota
SRR10070133	Archaea;Diapherotrites	0.001055981914450592	Groundwater	Archaea	Diapherotrites
SRR10070134	Bacteria;Proteobacteria	0.6445857757684891	Riverwater	Bacteria	Proteobacteria
SRR10070134	Bacteria;	0.025477951036358762	Riverwater	Bacteria	Unclassified
SRR10070134	Bacteria;Bacteroidetes	0.2269644841193824	Riverwater	Bacteria	Bacteroidetes
SRR10070134	Bacteria;Acidobacteria	0.006168346040381595	Riverwater	Bacteria	Acidobacteria
SRR10070134	Bacteria;Actinobacteria	0.007713625276170773	Riverwater	Bacteria	Actinobacteria
SRR10070134	Bacteria;Planctomycetes	0.0020816571523440994	Riverwater	Bacteria	Planctomycetes
SRR10070134	Archaea;Thaumarchaeota	0.002119969860669451	Riverwater	Archaea	Thaumarchaeota
SRR10070134	Bacteria;Firmicutes	0.009654802497988583	Riverwater	Bacteria	Firmicutes
SRR10070134	Bacteria;Chloroflexi	0.0005236070137798041	Riverwater	Bacteria	Chloroflexi
SRR10070134	Bacteria;Ignavibacteriae	0.0004342106943539839	Riverwater	Bacteria	Ignavibacteriae
SRR10070134	Archaea;	0.0008811922914830849	Riverwater	Archaea	Unclassified
SRR10070134	Bacteria;Gemmatimonadetes	0.0002554180555023435	Riverwater	Bacteria	Gemmatimonadetes
SRR10070134	Bacteria;Verrucomicrobia	0.010625391108897488	Riverwater	Bacteria	Verrucomicrobia
SRR10070134	Bacteria;Candidatus_Saccharibacteria	0.021799931037125013	Riverwater	Bacteria	Candidatus_Saccharibacteria
SRR10070134	Archaea;Crenarchaeota	0.00016602173607652325	Riverwater	Archaea	Crenarchaeota
SRR10070134	Bacteria;Parcubacteria	0.0019411772218178103	Riverwater	Bacteria	Parcubacteria
SRR10070134	Bacteria;Latescibacteria	0.0011366103469854284	Riverwater	Bacteria	Latescibacteria
SRR10070134	Archaea;Woesearchaeota	0.004048376179712144	Riverwater	Archaea	Woesearchaeota
SRR10070134	Bacteria;Nitrospirae	0.003933438054736089	Riverwater	Bacteria	Nitrospirae
SRR10070134	Archaea;Pacearchaeota	0.00037035618047839803	Riverwater	Archaea	Pacearchaeota
SRR10070134	Archaea;Euryarchaeota	0.00021710534717699195	Riverwater	Archaea	Euryarchaeota
SRR10070134	Bacteria;Campilobacterota	0.0247627804809522	Riverwater	Bacteria	Campilobacterota
