sample	coverage	n_genomic_locations	fraction
COD076E1bL1	0	354519793.0	0.5291605493015098
COD076E1bL1	1	151646969.0	0.2263501079499644
COD076E1bL1	2	90205966.0	0.13464252056254958
COD076E1bL1	3	44479057.0	0.06638998075499036
COD076E1bL1	4	18711572.0	0.027929119652325734
COD076E1bL1	5	6935136.0	0.010351468233088683
COD076E1bL1	6	2330593.0	0.0034786714209726895
COD076E1bL1	7	736170.0	0.0010988162840862667
COD092E1bL1i69	0	344922902.0	0.5148361132237005
COD092E1bL1i69	1	145962491.0	0.21786538703912842
COD092E1bL1i69	2	89340680.0	0.1333509841685212
COD092E1bL1i69	3	48225481.0	0.07198193872433387
COD092E1bL1i69	4	23504988.0	0.035083830598438254
COD092E1bL1i69	5	10587039.0	0.01580234300970752
COD092E1bL1i69	6	4460131.0	0.00665724570677692
COD092E1bL1i69	7	1792349.0	0.002675281888647644
