sample	region	frame	count	pct
SRX11780885	3' UTR	Frame 0	321571	22.416783
SRX11780885	3' UTR	Frame 1	425449	29.658141
SRX11780885	3' UTR	Frame 2	687490	47.925075
SRX11780885	5' UTR	Frame 0	67934	33.354446
SRX11780885	5' UTR	Frame 1	63302	31.080212
SRX11780885	5' UTR	Frame 2	72437	35.565342
SRX11780885	CDS	Frame 0	1413341	42.076055
SRX11780885	CDS	Frame 1	954793	28.424791
SRX11780885	CDS	Frame 2	990881	29.499154
SRX11780886	3' UTR	Frame 0	330726	21.420563
SRX11780886	3' UTR	Frame 1	450554	29.181620
SRX11780886	3' UTR	Frame 2	762685	49.397817
SRX11780886	5' UTR	Frame 0	62979	32.446510
SRX11780886	5' UTR	Frame 1	61321	31.592315
SRX11780886	5' UTR	Frame 2	69801	35.961175
SRX11780886	CDS	Frame 0	1265447	38.845037
SRX11780886	CDS	Frame 1	949217	29.137822
SRX11780886	CDS	Frame 2	1043016	32.017141
