sample	region	scope	count	pct	expected_pct	enrichment
SRX11780885	3' UTR	P-sites	1434510	28.706287	44.858514	0.639930
SRX11780885	5' UTR	P-sites	203673	4.075744	7.607695	0.535740
SRX11780885	CDS	P-sites	3359015	67.217969	47.533791	1.414109
SRX11780886	3' UTR	P-sites	1543965	30.905594	44.858514	0.688957
SRX11780886	5' UTR	P-sites	194101	3.885326	7.607695	0.510710
SRX11780886	CDS	P-sites	3257680	65.209080	47.533791	1.371847
SRX11780887	3' UTR	P-sites	1244832	25.852253	44.858514	0.576306
SRX11780887	5' UTR	P-sites	199352	4.140075	7.607695	0.544196
SRX11780887	CDS	P-sites	3370994	70.007672	47.533791	1.472798
SRX11780888	3' UTR	P-sites	856212	19.107149	44.858514	0.425943
SRX11780888	5' UTR	P-sites	231445	5.164906	7.607695	0.678905
SRX11780888	CDS	P-sites	3393451	75.727945	47.533791	1.593139
