sample_id	rank	taxon	region_class	tag_count	abundance
GM12878_REP1	Feature	3'UTR_Exons	Exonic	5541492	0.100424696591572
GM12878_REP1	Feature	5'UTR_Exons	Exonic	573256	0.010388729221173322
GM12878_REP1	Feature	CDS_Exons	Exonic	40095248	0.7266189530119026
GM12878_REP1	Feature	Introns	Intronic	7387541	0.1338793890675649
GM12878_REP1	Feature	Other_intergenic	Other intergenic	933214	0.016912003627363763
GM12878_REP1	Feature	TES_down_1kb	Downstream	146372	0.0026526003627726207
GM12878_REP1	Feature	TES_down_1kb_5kb	Downstream	223135	0.00404372408621368
GM12878_REP1	Feature	TES_down_5kb_10kb	Downstream	73541	0.0013327336053252077
GM12878_REP1	Feature	TSS_up_1kb	Promoter	65318	0.0011837137601152
GM12878_REP1	Feature	TSS_up_1kb_5kb	Promoter	84138	0.0015247758404815317
GM12878_REP1	Feature	TSS_up_5kb_10kb	Promoter	57315	0.001038680825515213
GM12878_REP1	Region class	Downstream	Downstream	443048	0.008029058054311509
GM12878_REP1	Region class	Exonic	Exonic	46209996	0.8374323788246478
GM12878_REP1	Region class	Intronic	Intronic	7387541	0.1338793890675649
GM12878_REP1	Region class	Other intergenic	Other intergenic	933214	0.016912003627363763
GM12878_REP1	Region class	Promoter	Promoter	206771	0.003747170426111945
