gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000000003	TSPAN6	8.0	0.0	8508.0	4507.0	3.0	2.0	6588.0	4103.001
ENSG00000000005	TNMD	0.0	0.0	70.0	30.0	0.0	0.0	3.0	0.0
ENSG00000000419	DPM1	4166.0	3647.0	1993.001	857.0	6370.999	8874.001	10982.0	10579.001
ENSG00000000457	SCYL3	1999.001	1637.999	633.0	434.0	995.0	1494.999	2069.999	2138.0
ENSG00000000460	C1orf112	1873.999	1664.0	3706.999	1776.999	2876.001	2995.0	4209.002	3501.001
ENSG00000000938	FGR	9870.0	11004.0	140.0	108.0	1.0	2.0	0.0	4.0
ENSG00000000971	CFH	2.0	0.0	0.0	1.0	6889.001	7771.0	14.447	9.999
ENSG00000001036	FUCA2	2132.0	2125.0	3350.0	1757.0	6692.0	7740.0	5875.0	7536.0
ENSG00000001084	GCLC	1754.999	1786.0	3116.001	1870.001	737.001	1469.0	6223.0	5977.001
ENSG00000001167	NFYA	3326.0	3731.0	2459.0	1908.0	3076.0	3386.0	3385.0	2651.0
ENSG00000001460	STPG1	29.0	20.0	1712.999	1356.0	538.001	511.0	482.0	407.0
ENSG00000001461	NIPAL3	433.0	552.999	1499.999	1188.999	2383.999	2778.999	1979.999	1814.0
ENSG00000001497	LAS1L	7048.0	6638.0	6217.0	6716.0	10898.0	14763.0	5853.0	7584.0
ENSG00000001561	ENPP4	871.0	650.0	620.0	299.0	0.0	0.0	1262.0	1376.0
ENSG00000001617	SEMA3F	0.0	1.0	4501.998	6676.001	135.0	152.0	3001.0	4139.999
ENSG00000001626	CFTR	7.0	2.0	288.0	68.0	0.0	0.0	1.0	2.0
ENSG00000001629	ANKIB1	4522.0	3844.0	5542.0	3129.0	2837.0	3025.0	18162.0	17443.0
ENSG00000001630	CYP51A1	7310.85	6075.994	2140.962	1927.999	8714.996	10898.952	5739.426	6010.735
ENSG00000001631	KRIT1	3153.703	2355.76	1492.802	801.827	4622.932	5730.168	5223.081	5025.897
ENSG00000002016	RAD52	598.001	682.999	1416.01	914.002	832.001	787.0	866.011	895.149
ENSG00000002079	MYH16	4.0	1.0	1.0	0.0	1.0	8.0	34.0	32.0
ENSG00000002330	BAD	1886.0	2508.0	1802.0	1636.001	1272.001	1342.999	596.0	914.0
ENSG00000002549	LAP3	12174.0	10642.0	3245.999	1787.0	6994.001	8780.0	5640.995	6737.998
ENSG00000002586	CD99	10165.0	10046.999	2072.0	2638.999	1796.001	1963.999	1709.001	3383.0
ENSG00000002587	HS3ST1	46.0	27.0	177.0	163.0	0.0	0.0	22.0	14.0
ENSG00000002726	AOC1	0.0	0.0	27.0	28.0	0.0	0.0	0.0	2.0
ENSG00000002745	WNT16	3.0	0.0	13.0	35.0	0.0	0.0	63.0	45.0
ENSG00000002746	HECW1	15.0	0.0	494.999	592.001	6.0	0.0	16.0	25.0
ENSG00000002822	MAD1L1	2242.0	2671.0	2501.001	2820.99	1854.001	2442.0	1408.996	2447.001
ENSG00000002834	LASP1	15531.001	16665.0	18736.0	22601.0	12287.0	17477.999	8337.001	10335.001
