gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2	_col_annotations_json
IGLV2-23	13.0292	13.4556	0.0	0.0	1.5712	0.917	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
IGLC2	12.9473	13.155	0.0	0.0472	0.7154	1.1636	0.0	0.0443	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
HBG2	1.5306	0.2733	1.6905	0.8022	13.615	13.3882	0.1344	0.5171	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
MIR302B	0.0	0.0	12.396	11.1907	0.0	0.0	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
HBG1	1.4598	0.0	0.2094	0.2637	11.9728	11.861	0.0	0.0339	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
RPS26P6	0.2276	1.2216	11.6595	11.3095	0.6892	1.8254	9.1914	9.9648	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
IGHV3-21	10.9826	11.5633	0.0	0.0	0.6815	0.1015	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
IGHA1	10.9042	11.6378	0.0	0.0	0.7067	0.4373	0.0	0.0996	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
CD74	11.2642	11.8998	5.6539	5.6205	1.2006	0.2749	0.0667	0.0434	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
CLU	0.4002	0.8781	9.9987	10.1999	0.3998	0.3736	8.5469	9.6342	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
GPX1	9.5275	9.6113	8.7806	9.1032	0.0799	0.1802	0.2574	0.1918	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
THY1	2.7377	1.6876	11.0221	10.6633	0.0	0.0	0.0091	0.0565	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
GSTP1	9.5364	9.6939	10.9674	11.1649	10.0594	9.9985	0.086	0.0729	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
TFF1	0.0	0.2536	0.0	0.0	0.0	0.0	9.9905	10.4942	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
HBE1	0.773	0.0	0.4359	0.2568	10.4054	10.3757	0.0	0.0904	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
HLA-DRA	11.1712	11.0869	2.4786	1.9929	0.6895	0.388	0.9616	0.4272	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
PRAME	0.7365	0.3766	0.2231	0.3071	10.4106	10.2422	0.1795	0.2059	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
AGR2	0.0	0.0	0.0	0.0	0.0	0.0	9.6469	10.215	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
KRT8	0.4309	0.5288	7.8598	8.1101	8.5257	8.6118	11.9138	12.5787	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
IGLC3	9.8823	9.905	0.0	0.0472	0.2355	0.0	0.0	0.0443	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
FXYD3	0.0	0.0	0.3242	0.3784	0.0	0.0	9.8263	9.8569	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
IGLV4-69	9.6894	9.8253	0.0	0.0	0.126	0.2081	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
ESRG	0.0	0.0	9.5314	9.8078	0.0	0.0	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
CLDN6	0.0	0.0	9.6318	9.9641	0.205	0.3066	0.169	0.1637	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
SRGN	9.4372	9.1836	0.0807	0.0362	7.3202	7.1337	0.1015	0.0895	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
HLA-DPA1	10.376	10.4471	3.5199	3.0168	0.4641	0.5532	0.0	0.0574	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
DSCAM-AS1	0.0	0.0	0.0	0.0	0.0	0.0	9.331	9.8001	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
SNURF	5.5445	5.1917	9.7812	9.9138	0.0	0.0	0.0	0.0	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
TDGF1	0.0	0.0	9.3501	9.6673	0.0	0.0	0.0	0.0115	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
NGFRAP1	0.0	0.0	8.108	7.7078	0.0	0.2436	8.728	8.4007	"{""condition"": {""values"": [""GM12878"", ""GM12878"", ""H1"", ""H1"", ""K562"", ""K562"", ""MCF7"", ""MCF7""], ""type"": ""categorical"", ""colors"": {""GM12878"": ""#636EFA"", ""H1"": ""#EF553B"", ""K562"": ""#00CC96"", ""MCF7"": ""#AB63FA""}}}"
