gene_id	gene_name	sample	tpm	log2_tpm	group
ENSG00000000003	TSPAN6	GM12878_REP1	0.0654	0.0914	GM12878
ENSG00000000419	DPM1	GM12878_REP1	79.3448	6.3281	GM12878
ENSG00000000457	SCYL3	GM12878_REP1	10.566	3.5318	GM12878
ENSG00000000460	C1orf112	GM12878_REP1	17.2077	4.1865	GM12878
ENSG00000000938	FGR	GM12878_REP1	87.8515	6.4733	GM12878
ENSG00000000971	CFH	GM12878_REP1	0.0618	0.0866	GM12878
ENSG00000000003	TSPAN6	GM12878_REP2	0.0	0.0	GM12878
ENSG00000000419	DPM1	GM12878_REP2	69.2839	6.1351	GM12878
ENSG00000000457	SCYL3	GM12878_REP2	7.6923	3.1197	GM12878
ENSG00000000460	C1orf112	GM12878_REP2	13.6387	3.8717	GM12878
ENSG00000000938	FGR	GM12878_REP2	103.0837	6.7016	GM12878
ENSG00000000971	CFH	GM12878_REP2	0.0	0.0	GM12878
ENSG00000000003	TSPAN6	H1_REP1	49.505	5.6584	H1
ENSG00000000419	DPM1	H1_REP1	33.4058	5.1046	H1
ENSG00000000457	SCYL3	H1_REP1	2.2407	1.6963	H1
ENSG00000000460	C1orf112	H1_REP1	16.328	4.115	H1
ENSG00000000938	FGR	H1_REP1	0.7201	0.7825	H1
ENSG00000000971	CFH	H1_REP1	0.0	0.0	H1
ENSG00000000003	TSPAN6	H1_REP2	29.1167	4.9125	H1
ENSG00000000419	DPM1	H1_REP2	16.5249	4.1313	H1
ENSG00000000457	SCYL3	H1_REP2	1.9516	1.5615	H1
ENSG00000000460	C1orf112	H1_REP2	9.6616	3.4143	H1
ENSG00000000938	FGR	H1_REP2	0.6089	0.686	H1
ENSG00000000971	CFH	H1_REP2	0.003	0.0044	H1
ENSG00000000003	TSPAN6	K562_REP1	0.0264	0.0376	K562
ENSG00000000419	DPM1	K562_REP1	130.0488	7.034	K562
ENSG00000000457	SCYL3	K562_REP1	4.0112	2.3252	K562
ENSG00000000460	C1orf112	K562_REP1	32.9051	5.0834	K562
ENSG00000000938	FGR	K562_REP1	0.0315	0.0448	K562
ENSG00000000971	CFH	K562_REP1	38.3666	5.2989	K562
ENSG00000000003	TSPAN6	K562_REP2	0.0136	0.0194	K562
ENSG00000000419	DPM1	K562_REP2	141.3981	7.1538	K562
ENSG00000000457	SCYL3	K562_REP2	6.8882	2.9797	K562
ENSG00000000460	C1orf112	K562_REP2	27.4118	4.8284	K562
ENSG00000000938	FGR	K562_REP2	0.0498	0.0701	K562
ENSG00000000971	CFH	K562_REP2	33.8122	5.1215	K562
ENSG00000000003	TSPAN6	MCF7_REP1	47.1023	5.588	MCF7
ENSG00000000419	DPM1	MCF7_REP1	184.7617	7.5373	MCF7
ENSG00000000457	SCYL3	MCF7_REP1	9.4403	3.3841	MCF7
ENSG00000000460	C1orf112	MCF7_REP1	27.0205	4.8084	MCF7
ENSG00000000938	FGR	MCF7_REP1	0.0	0.0	MCF7
ENSG00000000971	CFH	MCF7_REP1	0.0509	0.0716	MCF7
ENSG00000000003	TSPAN6	MCF7_REP2	25.8929	4.7492	MCF7
ENSG00000000419	DPM1	MCF7_REP2	155.9724	7.2944	MCF7
ENSG00000000457	SCYL3	MCF7_REP2	9.2218	3.3536	MCF7
ENSG00000000460	C1orf112	MCF7_REP2	19.5706	4.3625	MCF7
ENSG00000000938	FGR	MCF7_REP2	0.0243	0.0347	MCF7
ENSG00000000971	CFH	MCF7_REP2	0.0805	0.1116	MCF7
