feature_id	sample	count	taxonomy	Kingdom	Phylum	Class	Genus
173921	set1	328.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; f__Clostridiaceae; f__Clostridiaceae	Bacteria	Firmicutes	Clostridia	Unclassified
183870|336012	set1	986.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroides
297503	set1	491.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
301089	set1	980.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
313701	set1	489.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
332718	set1	246.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; g__Lactobacillus	Bacteria	Firmicutes	Bacilli	Lactobacillus
356760	set1	980.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; f__Erysipelotrichaceae; f__Erysipelotrichaceae	Bacteria	Firmicutes	Erysipelotrichi	Unclassified
366386	set1	654.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; f__Veillonellaceae; f__Veillonellaceae	Bacteria	Firmicutes	Clostridia	Unclassified
3682570	set1	491.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
173921	set2	326.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; f__Clostridiaceae; f__Clostridiaceae	Bacteria	Firmicutes	Clostridia	Unclassified
183870|336012	set2	975.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroides
297503	set2	492.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
301089	set2	980.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; o__Clostridiales; o__Clostridiales; o__Clostridiales	Bacteria	Firmicutes	Clostridia	Unclassified
