sample_id	clade_name	taxon	rank	abundance
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Thermotogota|c__Thermotogae	Thermotogae	class	19.3233
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Methanobacteriota|c__Methanococci	Methanococci	class	11.2155
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Bacillota_A|c__Thermoanaerobacteria	Thermoanaerobacteria	class	10.8818
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Methanobacteriota|c__Methanobacteria	Methanobacteria	class	10.3431
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	Gammaproteobacteria	class	7.236499999999999
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	Nanoarchaeia	class	4.6001
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Bacteroidota|c__Chlorobia	Chlorobia	class	3.821
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Bacteroidota|c__Bacteroidia	Bacteroidia	class	3.318
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Methanobacteriota_B|c__Thermococci	Thermococci	class	3.088
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Aquificota|c__Aquificae	Aquificae	class	2.9866
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes	Gemmatimonadetes	class	2.8202
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Thermoproteota|c__Thermoprotei_A	Thermoprotei A	class	2.7593
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Chloroflexota|c__Chloroflexia	Chloroflexia	class	2.5769
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Desulfobacterota|c__Desulfobulbia	Desulfobulbia	class	2.2569
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Fusobacteriota|c__Fusobacteriia	Fusobacteriia	class	1.6507
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Planctomycetota|c__Planctomycetia	Planctomycetia	class	1.4241
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Halobacteriota|c__Halobacteria	Halobacteria	class	1.3982
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia	Cyanobacteriia	class	1.0299
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Desulfobacterota_F|c__Desulfuromonadia	Desulfuromonadia	class	0.846
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	Verrucomicrobiae	class	0.6514
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia	Desulfovibrionia	class	0.5834
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Thermoproteota|c__Thermoprotei	Thermoprotei	class	0.5693
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Bacillota_A|c__Clostridia	Clostridia	class	0.569
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Campylobacterota|c__Campylobacteria	Campylobacteria	class	0.5638
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Spirochaetota|c__Spirochaetia	Spirochaetia	class	0.5591
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Halobacteriota|c__Archaeoglobi	Archaeoglobi	class	0.4679
MOCK_001_Illumina_Hiseq_3000	d__Archaea|p__Methanobacteriota|c__Methanopyri	Methanopyri	class	0.4115
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Acidobacteriota|c__Terriglobia	Terriglobia	class	0.3148
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Deinococcota|c__Deinococci	Deinococci	class	0.3122
MOCK_001_Illumina_Hiseq_3000	d__Bacteria|p__Dictyoglomota|c__Dictyoglomia	Dictyoglomia	class	0.3036
