sample_id	dim_1	dim_2	sample	profiler	database	profiler_db	platform
MOCK_001_Illumina_Hiseq_3000 | bracken / bracken-db	0.39894531156174934	-0.09832182302186457	MOCK_001_Illumina_Hiseq_3000	bracken	bracken-db	bracken / bracken-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | centrifuge / centrifuge-db	-0.4402100120413935	-0.0813886436537681	MOCK_001_Illumina_Hiseq_3000	centrifuge	centrifuge-db	centrifuge / centrifuge-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | diamond / diamond-db1	-0.41071677452577077	-0.08008235030914147	MOCK_001_Illumina_Hiseq_3000	diamond	diamond-db1	diamond / diamond-db1	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | diamond / diamond-db3	-0.41071677452577054	-0.08008235030914147	MOCK_001_Illumina_Hiseq_3000	diamond	diamond-db3	diamond / diamond-db3	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | kaiju / kaiju-db1	0.41865060851846536	-0.11596327389649076	MOCK_001_Illumina_Hiseq_3000	kaiju	kaiju-db1	kaiju / kaiju-db1	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | kaiju / kaiju-db3	0.41865060851846536	-0.11596327389649087	MOCK_001_Illumina_Hiseq_3000	kaiju	kaiju-db3	kaiju / kaiju-db3	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | kmcp / kmcp_db	0.028205120266207893	0.7225390921341319	MOCK_001_Illumina_Hiseq_3000	kmcp	kmcp_db	kmcp / kmcp_db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | kraken2 / bracken-db	-0.4375694706688353	-0.08317189798167629	MOCK_001_Illumina_Hiseq_3000	kraken2	bracken-db	kraken2 / bracken-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | kraken2 / kraken2-db	-0.43756947066883517	-0.08317189798167628	MOCK_001_Illumina_Hiseq_3000	kraken2	kraken2-db	kraken2 / kraken2-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | krakenuniq / krakenuniq-db	-0.43857445370423964	-0.08244858312195455	MOCK_001_Illumina_Hiseq_3000	krakenuniq	krakenuniq-db	krakenuniq / krakenuniq-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | megan6 / malt-db	-0.4489394026558755	-0.05865301258625456	MOCK_001_Illumina_Hiseq_3000	megan6	malt-db	megan6 / malt-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | metaphlan / metaphlan3-db	0.09178435839636713	0.39041860295539366	MOCK_001_Illumina_Hiseq_3000	metaphlan	metaphlan3-db	metaphlan / metaphlan3-db	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | motus / motus-db1	0.4470461193748985	-0.08662790494064698	MOCK_001_Illumina_Hiseq_3000	motus	motus-db1	motus / motus-db1	ILLUMINA
MOCK_001_Illumina_Hiseq_3000 | motus / motus-db3	0.4470461193748985	-0.08662790494064698	MOCK_001_Illumina_Hiseq_3000	motus	motus-db3	motus / motus-db3	ILLUMINA
MOCK_001_Minion_R9 | diamond / diamond-db2	-0.41257938928253285	-0.03495061034466313	MOCK_001_Minion_R9	diamond	diamond-db2	diamond / diamond-db2	OXFORD_NANOPORE
MOCK_001_Minion_R9 | diamond / diamond-db3	-0.4260010511790749	-0.061960538235448066	MOCK_001_Minion_R9	diamond	diamond-db3	diamond / diamond-db3	OXFORD_NANOPORE
MOCK_001_Minion_R9 | kaiju / kaiju-db2	0.30781347574179324	0.1003104970005693	MOCK_001_Minion_R9	kaiju	kaiju-db2	kaiju / kaiju-db2	OXFORD_NANOPORE
MOCK_001_Minion_R9 | kaiju / kaiju-db3	0.4082787814445404	-0.10807486022085612	MOCK_001_Minion_R9	kaiju	kaiju-db3	kaiju / kaiju-db3	OXFORD_NANOPORE
MOCK_001_Minion_R9 | motus / motus-db2	0.4382680872641338	-0.0941911850085963	MOCK_001_Minion_R9	motus	motus-db2	motus / motus-db2	OXFORD_NANOPORE
MOCK_001_Minion_R9 | motus / motus-db3	0.43826808726413374	-0.09419118500859637	MOCK_001_Minion_R9	motus	motus-db3	motus / motus-db3	OXFORD_NANOPORE
MOCK_002_Illumina_Hiseq_3000 | bracken / bracken-db	0.3992773024570437	-0.09869992907366032	MOCK_002_Illumina_Hiseq_3000	bracken	bracken-db	bracken / bracken-db	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | centrifuge / centrifuge-db	-0.4427685722551475	-0.07917865120052592	MOCK_002_Illumina_Hiseq_3000	centrifuge	centrifuge-db	centrifuge / centrifuge-db	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | diamond / diamond-db1	-0.41225965959144434	-0.07912922880519435	MOCK_002_Illumina_Hiseq_3000	diamond	diamond-db1	diamond / diamond-db1	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | diamond / diamond-db3	-0.41225965959144434	-0.07912922880519432	MOCK_002_Illumina_Hiseq_3000	diamond	diamond-db3	diamond / diamond-db3	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | kaiju / kaiju-db1	0.41744088485105224	-0.11706280481933652	MOCK_002_Illumina_Hiseq_3000	kaiju	kaiju-db1	kaiju / kaiju-db1	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | kaiju / kaiju-db3	0.41744088485105224	-0.11706280481933654	MOCK_002_Illumina_Hiseq_3000	kaiju	kaiju-db3	kaiju / kaiju-db3	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | kmcp / kmcp_db	0.028207407237645626	0.722781980541407	MOCK_002_Illumina_Hiseq_3000	kmcp	kmcp_db	kmcp / kmcp_db	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | kraken2 / bracken-db	-0.4404719952806516	-0.08074349903330819	MOCK_002_Illumina_Hiseq_3000	kraken2	bracken-db	kraken2 / bracken-db	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | kraken2 / kraken2-db	-0.4404719952806516	-0.08074349903330832	MOCK_002_Illumina_Hiseq_3000	kraken2	kraken2-db	kraken2 / kraken2-db	ILLUMINA
MOCK_002_Illumina_Hiseq_3000 | krakenuniq / krakenuniq-db	-0.44127014647762797	-0.0801594104124843	MOCK_002_Illumina_Hiseq_3000	krakenuniq	krakenuniq-db	krakenuniq / krakenuniq-db	ILLUMINA
