profiler	database	profiler_db	sample	platform	taxonomy_id	name	rank	root	superkingdom	phylum	class	order	family	genus	species	count	rel_abundance
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	44001	Caldicellulosiruptor saccharolyticus	species	root	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	Caldicellulosiruptor saccharolyticus	34683.0	0.07915999068786547
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	2337	Thermotoga neapolitana	species	root	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana	31786.0	0.07254791869228416
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	93929	Thermotoga petrophila	species	root	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila	25049.0	0.05717148478333311
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	62322	Shewanella baltica	species	root	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica	24213.0	0.05526341015844323
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	65	Herpetosiphon aurantiacus	species	root	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon aurantiacus	22959.0	0.052401298221108415
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	173480	Gemmatimonas aurantiaca	species	root	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas aurantiaca	22249.0	0.05078080422150099
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	265606	Rhodopirellula baltica	species	root	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica	18340.0	0.041858957680000364
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	496866	Thermoanaerobacter pseudethanolicus	species	root	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter pseudethanolicus	15852.0	0.03618038152362954
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	915	Nitrosomonas europaea	species	root	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea	15601.0	0.03560750265897959
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	2190	Methanocaldococcus jannaschii	species	root	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	25160.0	0.05742482961989145
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	66851	Methanobrevibacter oralis	species	root	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter oralis	18773.0	0.0428472307811694
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	2180	Methanothermus fervidus	species	root	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	15706.0	0.035847153180048295
bracken	bracken-db	bracken / bracken-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	53953	Pyrococcus horikoshii	species	root	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii	9036.0	0.020623639127398216
centrifuge	centrifuge-db	centrifuge / centrifuge-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	0	unclassified	unclassified	root	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	15012.0	0.03305166469249094
centrifuge	centrifuge-db	centrifuge / centrifuge-db	MOCK_002_Illumina_Hiseq_3000	ILLUMINA	0	unclassified	unclassified	root	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	18631.0	0.030618013534966425
centrifuge	centrifuge-db	centrifuge / centrifuge-db	MOCK_001_Illumina_Hiseq_3000	ILLUMINA	131567	cellular organisms	root	root	unresolved	unresolved	unresolved	unresolved	unresolved	unresolved	unresolved	1.0	2.201682966459562e-6
centrifuge	centrifuge-db	centrifuge / centrifuge-db	MOCK_002_Illumina_Hiseq_3000	ILLUMINA	131567	cellular organisms	root	root	unresolved	unresolved	unresolved	unresolved	unresolved	unresolved	unresolved	1.0	1.6433907753189e-6
