taxon	rank	MOCK_001_Illumina_Hiseq_3000__bracken__bracken-db	MOCK_001_Illumina_Hiseq_3000__centrifuge__centrifuge-db	MOCK_001_Illumina_Hiseq_3000__diamond__diamond-db1	MOCK_001_Illumina_Hiseq_3000__diamond__diamond-db3	MOCK_001_Illumina_Hiseq_3000__kaiju__kaiju-db1	MOCK_001_Illumina_Hiseq_3000__kaiju__kaiju-db3	_col_annotations_json
Bacteria	domain	0.0	0.000026420195597514742	0.0036390630232323966	0.0036390630232323966	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Caldicellulosiruptor	genus	0.0	0.00034786590870061073	0.029438005962068504	0.029438005962068504	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Caldicellulosiruptor saccharolyticus	species	0.07915999068786547	0.0	0.0	0.0	0.06574005169551606	0.06574005169551606	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Caldicellulosiruptor saccharolyticus DSM 8903	species	0.0	0.07612539024830581	0.04471317204993525	0.04471317204993525	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobaculum tepidum	species	0.007420036609470076	0.0	0.0	0.0	0.00758479781945319	0.00758479781945319	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobaculum tepidum TLS	species	0.0	0.007170881421758792	0.006212634620743596	0.006212634620743596	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobium limicola	species	0.026126471568318658	0.0	0.0	0.0	0.024330798462344615	0.024330798462344615	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobium limicola DSM 245	species	0.0	0.025299538967586823	0.019717445724335123	0.019717445724335123	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobium phaeobacteroides	species	0.013618996754447228	0.0	0.0	0.0	0.012144483242990943	0.012144483242990943	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chlorobium phaeobacteroides DSM 266	species	0.0	0.0131594590905288	0.009952392438055138	0.009952392438055138	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Chloroflexus aurantiacus J-10-fl	species	0.0	0.01562314232999705	0.01049567597820309	0.01049567597820309	0.0	0.0	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
Desulfobulbus oralis	species	0.027680776376392827	0.026752649725450134	0.023670301826790904	0.023670301826790904	0.022529821795780693	0.022529821795780693	"{""profiler"": {""values"": [""bracken"", ""centrifuge"", ""diamond"", ""diamond"", ""kaiju"", ""kaiju""], ""type"": ""categorical"", ""colors"": {""bracken"": ""#636EFA"", ""centrifuge"": ""#EF553B"", ""diamond"": ""#00CC96"", ""kaiju"": ""#AB63FA""}}, ""platform"": {""values"": [""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA"", ""ILLUMINA""], ""type"": ""categorical"", ""colors"": {""ILLUMINA"": ""#636EFA""}}}"
