sample	profiler	database	profiler_db	platform	taxa_observed	assigned_count	top_taxon	top_taxon_fraction	shannon	evenness
MOCK_001_Illumina_Hiseq_3000	bracken	bracken-db	bracken / bracken-db	ILLUMINA	66	438138.0	Caldicellulosiruptor saccharolyticus	0.07915999068786547	3.4806843457015497	0.8307807110659516
MOCK_001_Illumina_Hiseq_3000	centrifuge	centrifuge-db	centrifuge / centrifuge-db	ILLUMINA	102	454198.0	Caldicellulosiruptor saccharolyticus DSM 8903	0.07612539024830581	3.615498558937368	0.7817340133443815
MOCK_001_Illumina_Hiseq_3000	diamond	diamond-db1	diamond / diamond-db1	ILLUMINA	134	427033.0	Thermotoga	0.0853236166759946	3.769833303688972	0.7696930601378091
MOCK_001_Illumina_Hiseq_3000	diamond	diamond-db3	diamond / diamond-db3	ILLUMINA	134	427033.0	Thermotoga	0.0853236166759946	3.769833303688972	0.7696930601378091
MOCK_001_Illumina_Hiseq_3000	kaiju	kaiju-db1	kaiju / kaiju-db1	ILLUMINA	83	454198.0	unclassified	0.14580645445378448	3.4227830775733077	0.7745884908213598
MOCK_001_Illumina_Hiseq_3000	kaiju	kaiju-db3	kaiju / kaiju-db3	ILLUMINA	83	454198.0	unclassified	0.14580645445378448	3.4227830775733077	0.7745884908213598
MOCK_001_Illumina_Hiseq_3000	kmcp	kmcp_db	kmcp / kmcp_db	ILLUMINA	48	425924.0	taxid 1033214769	0.08143941172603564	3.4535489799438657	0.8921130600588276
MOCK_001_Illumina_Hiseq_3000	kraken2	bracken-db	kraken2 / bracken-db	ILLUMINA	97	454198.0	Caldicellulosiruptor saccharolyticus DSM 8903	0.07600429768515053	3.615130324001073	0.7902423433936285
MOCK_001_Illumina_Hiseq_3000	kraken2	kraken2-db	kraken2 / kraken2-db	ILLUMINA	97	454198.0	Caldicellulosiruptor saccharolyticus DSM 8903	0.07600429768515053	3.615130324001073	0.7902423433936285
MOCK_001_Illumina_Hiseq_3000	krakenuniq	krakenuniq-db	krakenuniq / krakenuniq-db	ILLUMINA	95	454198.0	Caldicellulosiruptor saccharolyticus DSM 8903	0.07610117173567475	3.613375335495878	0.7934723361012715
MOCK_001_Illumina_Hiseq_3000	megan6	malt-db	megan6 / malt-db	ILLUMINA	106	438510.0	Caldicellulosiruptor saccharolyticus DSM 8903	0.07350117443159791	3.610147491896823	0.7741384456923428
