sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,2.03,.2,Setosa
4.9,3,2.02,.2,Setosa
4.7,3.2,1.89,.2,Setosa
4.6,3.1,2.13,.2,Setosa
5,3.6,1.98,.2,Setosa
5.4,3.9,2.27,.4,Setosa
4.6,3.4,1.97,.3,Setosa
5,3.4,2.08,.2,Setosa
4.4,2.9,2.00,.2,Setosa
4.9,3.1,2.13,.1,Setosa
5.4,3.7,2.10,.2,Setosa
4.8,3.4,2.21,.2,Setosa
4.8,3,2.02,.1,Setosa
4.3,3,1.68,.1,Setosa
5.8,4,1.82,.2,Setosa
5.7,4.4,2.12,.4,Setosa
5.4,3.9,1.93,.4,Setosa
5.1,3.5,1.96,.3,Setosa
5.7,3.8,2.31,.3,Setosa
5.1,3.8,2.14,.3,Setosa
5.4,3.4,2.30,.2,Setosa
5.1,3.7,2.13,.4,Setosa
4.6,3.6,1.60,.2,Setosa
5.1,3.3,2.33,.5,Setosa
4.8,3.4,2.53,.2,Setosa
5,3,2.19,.2,Setosa
5,3.4,2.17,.4,Setosa
5.2,3.5,2.11,.2,Setosa
5.2,3.4,2.04,.2,Setosa
4.7,3.2,2.25,.2,Setosa
4.8,3.1,2.24,.2,Setosa
5.4,3.4,2.10,.4,Setosa
5.2,4.1,2.10,.1,Setosa
5.5,4.2,2.04,.2,Setosa
4.9,3.1,2.14,.2,Setosa
5,3.2,1.76,.2,Setosa
5.5,3.5,1.90,.2,Setosa
4.9,3.6,1.95,.1,Setosa
4.4,3,1.94,.2,Setosa
5.1,3.4,2.14,.2,Setosa
5,3.5,1.87,.3,Setosa
4.5,2.3,1.90,.3,Setosa
4.4,3.2,1.88,.2,Setosa
5,3.5,2.17,.6,Setosa
5.1,3.8,2.52,.4,Setosa
4.8,3,2.00,.3,Setosa
5.1,3.8,2.19,.2,Setosa
4.6,3.2,2.03,.2,Setosa
5.3,3.7,2.09,.2,Setosa
5,3.3,2.01,.2,Setosa
7,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,4.7,1.6,Versicolor
4.9,2.4,3.3,1,Versicolor
6.6,2.9,4.6,1.3,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5,2,3.5,1,Versicolor
5.9,3,4.2,1.5,Versicolor
6,2.2,4,1,Versicolor
6.1,2.9,4.7,1.4,Versicolor
5.6,2.9,3.6,1.3,Versicolor
6.7,3.1,4.4,1.4,Versicolor
5.6,3,4.5,1.5,Versicolor
5.8,2.7,4.1,1,Versicolor
6.2,2.2,4.5,1.5,Versicolor
5.6,2.5,3.9,1.1,Versicolor
5.9,3.2,4.8,1.8,Versicolor
6.1,2.8,4,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.1,2.8,4.7,1.2,Versicolor
6.4,2.9,4.3,1.3,Versicolor
6.6,3,4.4,1.4,Versicolor
6.8,2.8,4.8,1.4,Versicolor
6.7,3,5,1.7,Versicolor
6,2.9,4.5,1.5,Versicolor
5.7,2.6,3.5,1,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.5,2.4,3.7,1,Versicolor
5.8,2.7,3.9,1.2,Versicolor
6,2.7,5.1,1.6,Versicolor
5.4,3,4.5,1.5,Versicolor
6,3.4,4.5,1.6,Versicolor
6.7,3.1,4.7,1.5,Versicolor
6.3,2.3,4.4,1.3,Versicolor
5.6,3,4.1,1.3,Versicolor
5.5,2.5,4,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
6.1,3,4.6,1.4,Versicolor
5.8,2.6,4,1.2,Versicolor
5,2.3,3.3,1,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.7,3,4.2,1.2,Versicolor
5.7,2.9,4.2,1.3,Versicolor
6.2,2.9,4.3,1.3,Versicolor
5.1,2.5,3,1.1,Versicolor
5.7,2.8,4.1,1.3,Versicolor
