sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,.2,Setosa
4.9,3,1.4,.2,Setosa
4.7,3.2,1.3,.2,Setosa
4.6,3.1,1.5,.2,Setosa
5,3.6,1.4,.2,Setosa
5.4,3.9,1.7,.4,Setosa
4.6,3.4,1.4,.3,Setosa
5,3.4,1.5,.2,Setosa
4.4,2.9,1.4,.2,Setosa
4.9,3.1,1.5,.1,Setosa
5.4,3.7,1.5,.2,Setosa
4.8,3.4,1.6,.2,Setosa
4.8,3,1.4,.1,Setosa
4.3,3,1.1,.1,Setosa
5.8,4,1.2,.2,Setosa
5.7,4.4,1.5,.4,Setosa
5.4,3.9,1.3,.4,Setosa
5.1,3.5,1.4,.3,Setosa
5.7,3.8,1.7,.3,Setosa
5.1,3.8,1.5,.3,Setosa
5.4,3.4,1.7,.2,Setosa
5.1,3.7,1.5,.4,Setosa
4.6,3.6,1,.2,Setosa
5.1,3.3,1.7,.5,Setosa
4.8,3.4,1.9,.2,Setosa
5,3,1.6,.2,Setosa
5,3.4,1.6,.4,Setosa
5.2,3.5,1.5,.2,Setosa
5.2,3.4,1.4,.2,Setosa
4.7,3.2,1.6,.2,Setosa
4.8,3.1,1.6,.2,Setosa
5.4,3.4,1.5,.4,Setosa
5.2,4.1,1.5,.1,Setosa
5.5,4.2,1.4,.2,Setosa
4.9,3.1,1.5,.2,Setosa
5,3.2,1.2,.2,Setosa
5.5,3.5,1.3,.2,Setosa
4.9,3.6,1.4,.1,Setosa
4.4,3,1.3,.2,Setosa
5.1,3.4,1.5,.2,Setosa
5,3.5,1.3,.3,Setosa
4.5,2.3,1.3,.3,Setosa
4.4,3.2,1.3,.2,Setosa
5,3.5,1.6,.6,Setosa
5.1,3.8,1.9,.4,Setosa
4.8,3,1.4,.3,Setosa
5.1,3.8,1.6,.2,Setosa
4.6,3.2,1.4,.2,Setosa
5.3,3.7,1.5,.2,Setosa
5,3.3,1.4,.2,Setosa
7,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,4.7,1.6,Versicolor
4.9,2.4,3.3,1,Versicolor
6.6,2.9,4.6,1.3,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5,2,3.5,1,Versicolor
5.9,3,4.2,1.5,Versicolor
6,2.2,4,1,Versicolor
6.1,2.9,4.7,1.4,Versicolor
5.6,2.9,3.6,1.3,Versicolor
6.7,3.1,4.4,1.4,Versicolor
5.6,3,4.5,1.5,Versicolor
5.8,2.7,4.1,1,Versicolor
6.2,2.2,4.5,1.5,Versicolor
5.6,2.5,3.9,1.1,Versicolor
5.9,3.2,4.8,1.8,Versicolor
6.1,2.8,4,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.1,2.8,4.7,1.2,Versicolor
6.4,2.9,4.3,1.3,Versicolor
6.6,3,4.4,1.4,Versicolor
6.8,2.8,4.8,1.4,Versicolor
6.7,3,5,1.7,Versicolor
6,2.9,4.5,1.5,Versicolor
5.7,2.6,3.5,1,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.5,2.4,3.7,1,Versicolor
5.8,2.7,3.9,1.2,Versicolor
6,2.7,5.1,1.6,Versicolor
5.4,3,4.5,1.5,Versicolor
6,3.4,4.5,1.6,Versicolor
6.7,3.1,4.7,1.5,Versicolor
6.3,2.3,4.4,1.3,Versicolor
5.6,3,4.1,1.3,Versicolor
5.5,2.5,4,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
