individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
adelie_1,39.1,18.7,181.0,3750.0
adelie_2,39.5,17.4,186.0,3800.0
adelie_3,40.3,18.0,195.0,3250.0
adelie_4,36.7,19.3,193.0,3450.0
adelie_5,39.3,20.6,190.0,3650.0
adelie_6,38.9,17.8,181.0,3625.0
adelie_7,39.2,19.6,195.0,4675.0
adelie_8,34.1,18.1,193.0,3475.0
adelie_9,42.0,20.2,190.0,4250.0
adelie_10,37.8,17.1,186.0,3300.0
adelie_11,37.8,17.3,180.0,3700.0
adelie_12,41.1,17.6,182.0,3200.0
adelie_13,38.6,21.2,191.0,3800.0
adelie_14,34.6,21.1,198.0,4400.0
adelie_15,36.6,17.8,185.0,3700.0
adelie_16,38.7,19.0,195.0,3450.0
adelie_17,42.5,20.7,197.0,4500.0
adelie_18,34.4,18.4,184.0,3325.0
adelie_19,46.0,21.5,194.0,4200.0
adelie_20,37.8,18.3,174.0,3400.0
adelie_21,37.7,18.7,180.0,3600.0
adelie_22,35.9,19.2,189.0,3800.0
adelie_23,38.2,18.1,185.0,3950.0
adelie_24,38.8,17.2,180.0,3800.0
adelie_25,35.3,18.9,187.0,3800.0
adelie_26,40.6,18.6,183.0,3550.0
adelie_27,40.5,17.9,187.0,3200.0
adelie_28,37.9,18.6,172.0,3150.0
adelie_29,40.5,18.9,180.0,3950.0
adelie_30,39.5,16.7,178.0,3250.0
adelie_31,37.2,18.1,178.0,3900.0
adelie_32,39.5,17.8,188.0,3300.0
adelie_33,40.9,18.9,184.0,3900.0
adelie_34,36.4,17.0,195.0,3325.0
adelie_35,39.2,21.1,196.0,4150.0
adelie_36,38.8,20.0,190.0,3950.0
adelie_37,42.2,18.5,180.0,3550.0
adelie_38,37.6,19.3,181.0,3300.0
adelie_39,39.8,19.1,184.0,4650.0
adelie_40,36.5,18.0,182.0,3150.0
adelie_41,40.8,18.4,195.0,3900.0
adelie_42,36.0,18.5,186.0,3100.0
