individual_id,island,sex,year,species
chinstrap_1,Dream,female,2007,Chinstrap
chinstrap_2,Dream,male,2007,Chinstrap
chinstrap_3,Dream,male,2007,Chinstrap
chinstrap_4,Dream,female,2007,Chinstrap
chinstrap_5,Dream,male,2007,Chinstrap
chinstrap_6,Dream,female,2007,Chinstrap
chinstrap_7,Dream,female,2007,Chinstrap
chinstrap_8,Dream,male,2007,Chinstrap
chinstrap_9,Dream,female,2007,Chinstrap
chinstrap_10,Dream,male,2007,Chinstrap
chinstrap_11,Dream,female,2007,Chinstrap
chinstrap_12,Dream,male,2007,Chinstrap
chinstrap_13,Dream,female,2007,Chinstrap
chinstrap_14,Dream,male,2007,Chinstrap
chinstrap_15,Dream,female,2007,Chinstrap
chinstrap_16,Dream,male,2007,Chinstrap
chinstrap_17,Dream,male,2007,Chinstrap
chinstrap_18,Dream,female,2007,Chinstrap
chinstrap_19,Dream,female,2007,Chinstrap
chinstrap_20,Dream,male,2007,Chinstrap
chinstrap_21,Dream,female,2007,Chinstrap
chinstrap_22,Dream,male,2007,Chinstrap
chinstrap_23,Dream,female,2007,Chinstrap
chinstrap_24,Dream,male,2007,Chinstrap
chinstrap_25,Dream,female,2007,Chinstrap
chinstrap_26,Dream,male,2007,Chinstrap
chinstrap_27,Dream,female,2008,Chinstrap
chinstrap_28,Dream,male,2008,Chinstrap
chinstrap_29,Dream,female,2008,Chinstrap
chinstrap_30,Dream,male,2008,Chinstrap
chinstrap_31,Dream,female,2008,Chinstrap
chinstrap_32,Dream,male,2008,Chinstrap
chinstrap_33,Dream,female,2008,Chinstrap
chinstrap_34,Dream,male,2008,Chinstrap
chinstrap_35,Dream,male,2008,Chinstrap
chinstrap_36,Dream,female,2008,Chinstrap
chinstrap_37,Dream,female,2008,Chinstrap
chinstrap_38,Dream,male,2008,Chinstrap
chinstrap_39,Dream,female,2008,Chinstrap
chinstrap_40,Dream,male,2008,Chinstrap
chinstrap_41,Dream,male,2008,Chinstrap
chinstrap_42,Dream,female,2008,Chinstrap
chinstrap_43,Dream,male,2008,Chinstrap
chinstrap_44,Dream,female,2008,Chinstrap
chinstrap_45,Dream,female,2009,Chinstrap
chinstrap_46,Dream,male,2009,Chinstrap
chinstrap_47,Dream,female,2009,Chinstrap
chinstrap_48,Dream,male,2009,Chinstrap
chinstrap_49,Dream,male,2009,Chinstrap
chinstrap_50,Dream,female,2009,Chinstrap
chinstrap_51,Dream,female,2009,Chinstrap
chinstrap_52,Dream,male,2009,Chinstrap
chinstrap_53,Dream,female,2009,Chinstrap
chinstrap_54,Dream,male,2009,Chinstrap
chinstrap_55,Dream,female,2009,Chinstrap
chinstrap_56,Dream,male,2009,Chinstrap
chinstrap_57,Dream,female,2009,Chinstrap
chinstrap_58,Dream,male,2009,Chinstrap
chinstrap_59,Dream,male,2009,Chinstrap
chinstrap_60,Dream,female,2009,Chinstrap
chinstrap_61,Dream,male,2009,Chinstrap
chinstrap_62,Dream,female,2009,Chinstrap
chinstrap_63,Dream,female,2009,Chinstrap
chinstrap_64,Dream,male,2009,Chinstrap
chinstrap_65,Dream,female,2009,Chinstrap
chinstrap_66,Dream,male,2009,Chinstrap
chinstrap_67,Dream,male,2009,Chinstrap
chinstrap_68,Dream,female,2009,Chinstrap
