individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
gentoo_1,46.1,13.2,211.0,4500.0
gentoo_2,50.0,16.3,230.0,5700.0
gentoo_3,48.7,14.1,210.0,4450.0
gentoo_4,50.0,15.2,218.0,5700.0
gentoo_5,47.6,14.5,215.0,5400.0
gentoo_6,46.5,13.5,210.0,4550.0
gentoo_7,45.4,14.6,211.0,4800.0
gentoo_8,46.7,15.3,219.0,5200.0
gentoo_9,43.3,13.4,209.0,4400.0
gentoo_10,46.8,15.4,215.0,5150.0
gentoo_11,40.9,13.7,214.0,4650.0
gentoo_12,49.0,16.1,216.0,5550.0
gentoo_13,45.5,13.7,214.0,4650.0
gentoo_14,48.4,14.6,213.0,5850.0
gentoo_15,45.8,14.6,210.0,4200.0
gentoo_16,49.3,15.7,217.0,5850.0
gentoo_17,42.0,13.5,210.0,4150.0
gentoo_18,49.2,15.2,221.0,6300.0
gentoo_19,46.2,14.5,209.0,4800.0
gentoo_20,48.7,15.1,222.0,5350.0
gentoo_21,50.2,14.3,218.0,5700.0
gentoo_22,45.1,14.5,215.0,5000.0
gentoo_23,46.5,14.5,213.0,4400.0
gentoo_24,46.3,15.8,215.0,5050.0
gentoo_25,42.9,13.1,215.0,5000.0
gentoo_26,46.1,15.1,215.0,5100.0
gentoo_27,44.5,14.3,216.0,4100.0
gentoo_28,47.8,15.0,215.0,5650.0
gentoo_29,48.2,14.3,210.0,4600.0
gentoo_30,50.0,15.3,220.0,5550.0
gentoo_31,47.3,15.3,222.0,5250.0
gentoo_32,42.8,14.2,209.0,4700.0
gentoo_33,45.1,14.5,207.0,5050.0
gentoo_34,59.6,17.0,230.0,6050.0
gentoo_35,49.1,14.8,220.0,5150.0
gentoo_36,48.4,16.3,220.0,5400.0
gentoo_37,42.6,13.7,213.0,4950.0
gentoo_38,44.4,17.3,219.0,5250.0
gentoo_39,44.0,13.6,208.0,4350.0
gentoo_40,48.7,15.7,208.0,5350.0
gentoo_41,42.7,13.7,208.0,3950.0
gentoo_42,49.6,16.0,225.0,5700.0
gentoo_43,45.3,13.7,210.0,4300.0
