sample	name	habitat	Riv_vs_Gro	Sed_vs_Soil	sampling_date	latitude	longitude	city
SRR10070130	SRR10070130-Riverwater	Riverwater	Riverwater		2023-01-01	50.126437	8.676333	Frankfurt
SRR10070131	SRR10070131-Riverwater	Riverwater	Riverwater		2023-01-03	53.571516	10.001842	Hamburg
SRR10070132	SRR10070132-Groundwater	Groundwater	Groundwater		2023-01-05	48.115651	11.608537	Munich
SRR10070133	SRR10070133-Groundwater	Groundwater	Groundwater		2023-01-07	52.535668	13.417164	Berlin
SRR10070134	SRR10070134-Riverwater	Riverwater	Riverwater		2023-01-09	50.917687	6.957023	Cologne
SRR10070141	SRR10070141-Groundwater	Groundwater	Groundwater		2023-01-11	50.102248	8.705606	Frankfurt
SRR10070149	SRR10070149-Sediment	Sediment		Sediment	2023-01-13	53.878632	8.719366	Cuxhaven
SRR10070150	SRR10070150-Sediment	Sediment		Sediment	2023-01-15	53.546605	9.973634	Hamburg
SRR10070151	SRR10070151-Sediment	Sediment		Sediment	2023-01-17	52.523275	13.373829	Berlin
SRR10102392	SRR10102392-Soil	Soil		Soil	2023-01-19	48.159658	11.5879	Munich
SRR10102393	SRR10102393-Soil	Soil		Soil	2023-01-21	50.955485	6.951272	Cologne
SRR10102394	SRR10102394-Soil	Soil		Soil	2023-01-23	53.898242	8.723587	Cuxhaven
