feature_id	contrast	lfc	significance	label	Kingdom	Phylum	neg_log10_qval
Bacteria;Proteobacteria	habitatRiverwater	0.5452672046307996	0.02743199020254244	Proteobacteria	Bacteria	Proteobacteria	1.5617426830032943
Bacteria;	habitatRiverwater	-0.8412606991999811	0.11379007330036262	Unclassified	Bacteria	Unclassified	0.9438956228171749
Bacteria;Bacteroidetes	habitatRiverwater	3.3480136383797907	8.840479213661299e-31	Bacteroidetes	Bacteria	Bacteroidetes	30.053524192655715
Bacteria;Acidobacteria	habitatRiverwater	-0.3565095597849416	1.0	Acidobacteria	Bacteria	Acidobacteria	-0.0
Bacteria;Actinobacteria	habitatRiverwater	0.5494183509931014	1.0	Actinobacteria	Bacteria	Actinobacteria	-0.0
Bacteria;Planctomycetes	habitatRiverwater	1.038859088276395	0.29943369492500604	Planctomycetes	Bacteria	Planctomycetes	0.523699330590759
Archaea;Thaumarchaeota	habitatRiverwater	-3.4726381271308555	1.5075892454163365e-41	Thaumarchaeota	Archaea	Thaumarchaeota	40.82171696930747
Bacteria;Firmicutes	habitatRiverwater	-0.6272037917930647	0.08599532234220761	Firmicutes	Bacteria	Firmicutes	1.0655251712705833
Bacteria;Chloroflexi	habitatRiverwater	-0.8982680390868205	1.0	Chloroflexi	Bacteria	Chloroflexi	-0.0
Bacteria;Ignavibacteriae	habitatRiverwater	-0.0517145562545382	1.0	Ignavibacteriae	Bacteria	Ignavibacteriae	-0.0
Bacteria;candidate_division_WPS-1	habitatRiverwater	0.00905929601011417	1.0	candidate_division_WPS-1	Bacteria	candidate_division_WPS-1	-0.0
Archaea;	habitatRiverwater	-0.09062028773339431	1.0	Unclassified	Archaea	Unclassified	-0.0
Bacteria;Gemmatimonadetes	habitatRiverwater	-2.4252478718019415	1.260513325943899e-7	Gemmatimonadetes	Bacteria	Gemmatimonadetes	6.899452558671938
Bacteria;Verrucomicrobia	habitatRiverwater	0.5948971426679895	0.17623841651202998	Verrucomicrobia	Bacteria	Verrucomicrobia	0.7538994179406807
Bacteria;Candidatus_Saccharibacteria	habitatRiverwater	0.9366249295630473	0.0002823042686744241	Candidatus_Saccharibacteria	Bacteria	Candidatus_Saccharibacteria	3.5492825549110636
Archaea;Crenarchaeota	habitatRiverwater	2.54534950574053	2.1904300589040368e-16	Crenarchaeota	Archaea	Crenarchaeota	15.659470609418912
Bacteria;Parcubacteria	habitatRiverwater	0.38566842751782765	1.0	Parcubacteria	Bacteria	Parcubacteria	-0.0
Bacteria;Aminicenantes	habitatRiverwater	0.375263392232817	1.0	Aminicenantes	Bacteria	Aminicenantes	-0.0
Bacteria;Latescibacteria	habitatRiverwater	4.160687277207765	4.43126306200547e-85	Latescibacteria	Bacteria	Latescibacteria	84.35347246730393
Bacteria;Armatimonadetes	habitatRiverwater	0.009059296010112837	1.0	Armatimonadetes	Bacteria	Armatimonadetes	-0.0
Archaea;Woesearchaeota	habitatRiverwater	-0.4897287057003696	1.0	Woesearchaeota	Archaea	Woesearchaeota	-0.0
Bacteria;BRC1	habitatRiverwater	0.00905929601011438	1.0	BRC1	Bacteria	BRC1	-0.0
Bacteria;Nitrospirae	habitatRiverwater	0.8395888270059754	2.6254415052144168e-15	Nitrospirae	Bacteria	Nitrospirae	14.58079765334173
Archaea;Pacearchaeota	habitatRiverwater	-1.1831937413865303	0.00006272480578644872	Pacearchaeota	Archaea	Pacearchaeota	4.202560674708517
Archaea;Euryarchaeota	habitatRiverwater	-2.1097600907102905	1.2853113901843326e-28	Euryarchaeota	Archaea	Euryarchaeota	27.890991643806718
Bacteria;Campilobacterota	habitatRiverwater	2.6268490870925136	0.0006920915020754013	Campilobacterota	Bacteria	Campilobacterota	3.1598364832609325
Archaea;Diapherotrites	habitatRiverwater	-3.1892027416099737	9.712929062961263e-14	Diapherotrites	Archaea	Diapherotrites	13.012649783062516
Bacteria;Spirochaetes	habitatRiverwater	0.545538600154812	1.0	Spirochaetes	Bacteria	Spirochaetes	-0.0
Bacteria;Fusobacteria	habitatRiverwater	5.527688809236961	2.974077144568889e-173	Fusobacteria	Bacteria	Fusobacteria	172.52664777050603
Bacteria;Hydrogenedentes	habitatRiverwater	0.009059296010113281	1.0	Hydrogenedentes	Bacteria	Hydrogenedentes	-0.0
Bacteria;Deferribacteres	habitatRiverwater	0.009059296010112837	1.0	Deferribacteres	Bacteria	Deferribacteres	-0.0
Bacteria;Lentisphaerae	habitatRiverwater	2.8908236940246326	2.1254692869351776e-12	Lentisphaerae	Bacteria	Lentisphaerae	11.672545166213652
Bacteria;Proteobacteria	habitatSediment	-1.0551719074570474	4.624450983479985e-12	Proteobacteria	Bacteria	Proteobacteria	11.334939819465077
Bacteria;	habitatSediment	-0.10846613512346592	1.0	Unclassified	Bacteria	Unclassified	-0.0
Bacteria;Bacteroidetes	habitatSediment	0.25118723770419016	1.0	Bacteroidetes	Bacteria	Bacteroidetes	-0.0
Bacteria;Acidobacteria	habitatSediment	1.663400830193068	1.7611179530208403e-13	Acidobacteria	Bacteria	Acidobacteria	12.75421155565648
Bacteria;Actinobacteria	habitatSediment	0.19987396164931348	1.0	Actinobacteria	Bacteria	Actinobacteria	-0.0
Bacteria;Planctomycetes	habitatSediment	1.9226915214465399	0.00006180264117741088	Planctomycetes	Bacteria	Planctomycetes	4.208992964647997
