sample	habitat	name	Riv_vs_Gro	Sed_vs_Soil	sampling_date	lon	lat	city	ctd_temperature_c	ctd_conductivity_us_cm	ctd_do_mg_l	ctd_ph	ctd_turbidity_ntu	ctd_nitrate_mg_l	ctd_doc_mg_l	ctd_depth_m
SRR10070130	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070131	Riverwater	SRR10070131-Riverwater	Riverwater		2023-01-03	8.9920	48.5338	Pfäffingen	6.1	495	11.2	8.0	9.7	6.8	3.7	0.5
SRR10070132	Groundwater	SRR10070132-Groundwater	Groundwater		2023-01-05	8.8919	48.5781	Haslach	10.2	720	2.4	7.2	1.2	18.4	1.1	12.5
SRR10070133	Groundwater	SRR10070133-Groundwater	Groundwater		2023-01-07	8.8930	48.5787	Haslach	10.4	745	1.9	7.1	0.9	21.7	0.9	14.0
SRR10070134	Riverwater	SRR10070134-Riverwater	Riverwater		2023-01-09	9.0150	48.5400	Unterjesingen	5.4	466	12.0	8.2	7.2	5.7	3.1	0.8
SRR10070141	Groundwater	SRR10070141-Groundwater	Groundwater		2023-01-11	9.0083	48.5497	Entringen	10.1	705	2.8	7.3	1.5	16.9	1.3	9.8
SRR10070149	Sediment	SRR10070149-Sediment		Sediment	2023-01-13	8.9911	48.5328	Pfäffingen	7.3	910	0.8	7.0	42.5	1.4	12.8	0.3
SRR10070150	Sediment	SRR10070150-Sediment		Sediment	2023-01-15	8.9920	48.5325	Pfäffingen	7.6	965	0.5	6.9	51.3	0.9	14.6	0.3
SRR10070151	Sediment	SRR10070151-Sediment		Sediment	2023-01-17	9.0150	48.5397	Unterjesingen	7.1	880	1.1	7.1	38.7	1.8	11.2	0.4
SRR10102392	Soil	SRR10102392-Soil		Soil	2023-01-19	9.0103	48.5586	Poltringen	3.4	310	6.9	6.3	22.1	24.6	18.4	0.2
SRR10102393	Soil	SRR10102393-Soil		Soil	2023-01-21	9.0110	48.5592	Poltringen	3.1	295	7.2	6.1	25.8	27.9	21.2	0.2
SRR10102394	Soil	SRR10102394-Soil		Soil	2023-01-23	8.9981	48.5736	Reusten	3.7	328	6.6	6.5	19.4	22.3	16.7	0.15
