feature_id	avg_log_intensity	log2_fold_change	significance	label	contrast
Bacteria;Proteobacteria	4.413372115112167	0.5452672046307996	0.02743199020254244	Proteobacteria	habitatRiverwater
Bacteria;	3.5194206478896923	-0.8412606991999811	0.11379007330036262	Unclassified	habitatRiverwater
Bacteria;Bacteroidetes	3.410470908403251	3.3480136383797907	8.840479213661299e-31	Bacteroidetes	habitatRiverwater
Bacteria;Acidobacteria	3.3437616665483447	-0.3565095597849416	1.0	Acidobacteria	habitatRiverwater
Bacteria;Actinobacteria	3.0198899920298286	0.5494183509931014	1.0	Actinobacteria	habitatRiverwater
Bacteria;Planctomycetes	2.4288444464051335	1.038859088276395	0.29943369492500604	Planctomycetes	habitatRiverwater
Archaea;Thaumarchaeota	3.2675795190774832	-3.4726381271308555	1.5075892454163365e-41	Thaumarchaeota	habitatRiverwater
Bacteria;Firmicutes	3.1207687230134415	-0.6272037917930647	0.08599532234220761	Firmicutes	habitatRiverwater
Bacteria;Chloroflexi	2.365659411601618	-0.8982680390868205	1.0	Chloroflexi	habitatRiverwater
Bacteria;Ignavibacteriae	1.7916013958098154	-0.0517145562545382	1.0	Ignavibacteriae	habitatRiverwater
Bacteria;candidate_division_WPS-1	1.920408399249795	0.00905929601011417	1.0	candidate_division_WPS-1	habitatRiverwater
Archaea;	2.046542570518074	-0.09062028773339431	1.0	Unclassified	habitatRiverwater
Bacteria;Gemmatimonadetes	2.0717598033692712	-2.4252478718019415	1.260513325943899e-7	Gemmatimonadetes	habitatRiverwater
Bacteria;Verrucomicrobia	3.1328270846733655	0.5948971426679895	0.17623841651202998	Verrucomicrobia	habitatRiverwater
Bacteria;Candidatus_Saccharibacteria	2.529347553964462	0.9366249295630473	0.0002823042686744241	Candidatus_Saccharibacteria	habitatRiverwater
Archaea;Crenarchaeota	2.2450817689638716	2.54534950574053	2.1904300589040368e-16	Crenarchaeota	habitatRiverwater
Bacteria;Parcubacteria	1.9790730851948268	0.38566842751782765	1.0	Parcubacteria	habitatRiverwater
Bacteria;Aminicenantes	2.373337729091033	0.375263392232817	1.0	Aminicenantes	habitatRiverwater
Bacteria;Latescibacteria	2.16861747567739	4.160687277207765	4.43126306200547e-85	Latescibacteria	habitatRiverwater
Bacteria;Armatimonadetes	2.2494803434651733	0.009059296010112837	1.0	Armatimonadetes	habitatRiverwater
Archaea;Woesearchaeota	2.179337940021095	-0.4897287057003696	1.0	Woesearchaeota	habitatRiverwater
Bacteria;BRC1	1.5191530259890762	0.00905929601011438	1.0	BRC1	habitatRiverwater
Bacteria;Nitrospirae	2.508904954435778	0.8395888270059754	2.6254415052144168e-15	Nitrospirae	habitatRiverwater
Archaea;Pacearchaeota	1.5639870488438166	-1.1831937413865303	0.00006272480578644872	Pacearchaeota	habitatRiverwater
Archaea;Euryarchaeota	1.8314879337446035	-2.1097600907102905	1.2853113901843326e-28	Euryarchaeota	habitatRiverwater
Bacteria;Campilobacterota	2.2979692950031327	2.6268490870925136	0.0006920915020754013	Campilobacterota	habitatRiverwater
Archaea;Diapherotrites	1.3889875546190558	-3.1892027416099737	9.712929062961263e-14	Diapherotrites	habitatRiverwater
Bacteria;Spirochaetes	1.8705378493713796	0.545538600154812	1.0	Spirochaetes	habitatRiverwater
Bacteria;Fusobacteria	2.396710345262848	5.527688809236961	2.974077144568889e-173	Fusobacteria	habitatRiverwater
Bacteria;Hydrogenedentes	1.6250435816501427	0.009059296010113281	1.0	Hydrogenedentes	habitatRiverwater
Bacteria;Deferribacteres	1.8088907540187364	0.009059296010112837	1.0	Deferribacteres	habitatRiverwater
Bacteria;Lentisphaerae	1.1772114095120447	2.8908236940246326	2.1254692869351776e-12	Lentisphaerae	habitatRiverwater
Bacteria;Proteobacteria	4.413372115112167	-1.0551719074570474	4.624450983479985e-12	Proteobacteria	habitatSediment
Bacteria;	3.5194206478896923	-0.10846613512346592	1.0	Unclassified	habitatSediment
Bacteria;Bacteroidetes	3.410470908403251	0.25118723770419016	1.0	Bacteroidetes	habitatSediment
Bacteria;Acidobacteria	3.3437616665483447	1.663400830193068	1.7611179530208403e-13	Acidobacteria	habitatSediment
Bacteria;Actinobacteria	3.0198899920298286	0.19987396164931348	1.0	Actinobacteria	habitatSediment
Bacteria;Planctomycetes	2.4288444464051335	1.9226915214465399	0.00006180264117741088	Planctomycetes	habitatSediment
Archaea;Thaumarchaeota	3.2675795190774832	-2.022775528339602	0.000013367303912595828	Thaumarchaeota	habitatSediment
Bacteria;Firmicutes	3.1207687230134415	-1.011520431203699	1.342814798576243e-7	Firmicutes	habitatSediment
Bacteria;Chloroflexi	2.365659411601618	3.222550600827465	5.627770633665246e-10	Chloroflexi	habitatSediment
Bacteria;Ignavibacteriae	1.7916013958098154	2.3939875704506157	4.6409056915126086e-6	Ignavibacteriae	habitatSediment
Bacteria;candidate_division_WPS-1	1.920408399249795	2.0224148060783786	2.5813144434321408e-17	candidate_division_WPS-1	habitatSediment
Archaea;	2.046542570518074	0.8608746582637021	0.0005544777237117469	Unclassified	habitatSediment
Bacteria;Gemmatimonadetes	2.0717598033692712	-0.044676126629352275	1.0	Gemmatimonadetes	habitatSediment
Bacteria;Verrucomicrobia	3.1328270846733655	0.4838817173124479	0.15103899954742203	Verrucomicrobia	habitatSediment
Bacteria;Candidatus_Saccharibacteria	2.529347553964462	-2.4954461631624962	2.8843125347279167e-38	Candidatus_Saccharibacteria	habitatSediment
Archaea;Crenarchaeota	2.2450817689638716	6.755128126567503	7.667485448824138e-290	Crenarchaeota	habitatSediment
Bacteria;Parcubacteria	1.9790730851948268	-5.41624490940139	7.96517912324439e-179	Parcubacteria	habitatSediment
Bacteria;Aminicenantes	2.373337729091033	5.872646713397865	7.763363420723264e-249	Aminicenantes	habitatSediment
Bacteria;Latescibacteria	2.16861747567739	4.787659271364715	1.973600810788649e-160	Latescibacteria	habitatSediment
Bacteria;Armatimonadetes	2.2494803434651733	3.7279259661815143	3.8889229509656334e-98	Armatimonadetes	habitatSediment
Archaea;Woesearchaeota	2.179337940021095	-3.615850536407378	1.4160306379530546e-38	Woesearchaeota	habitatSediment
Bacteria;BRC1	1.5191530259890762	-1.0475652912399016	2.5565363384854867e-8	BRC1	habitatSediment
Bacteria;Nitrospirae	2.508904954435778	1.1379176963115734	1.0565736005746139e-37	Nitrospirae	habitatSediment
Archaea;Pacearchaeota	1.5639870488438166	-2.3006173866430792	1.298493713650031e-8	Pacearchaeota	habitatSediment
Archaea;Euryarchaeota	1.8314879337446035	0.12931586528259786	1.0	Euryarchaeota	habitatSediment
Bacteria;Campilobacterota	2.2979692950031327	-2.146335072626905	0.011084144008038671	Campilobacterota	habitatSediment
Archaea;Diapherotrites	1.3889875546190558	-4.245827328859991	1.80494056461135e-28	Diapherotrites	habitatSediment
Bacteria;Spirochaetes	1.8705378493713796	4.158718828406971	2.5177369422833755e-87	Spirochaetes	habitatSediment
Bacteria;Fusobacteria	2.396710345262848	-1.0475652912399023	2.5565363384854867e-8	Fusobacteria	habitatSediment
Bacteria;Hydrogenedentes	1.6250435816501427	2.6942358353333686	1.3786415583500444e-53	Hydrogenedentes	habitatSediment
Bacteria;Deferribacteres	1.8088907540187364	3.117559593818399	8.314644845242984e-54	Deferribacteres	habitatSediment
