taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
99d7dd8fdd43cef331f256e86f097a82	Bacteria	Proteobacteria	Betaproteobacteria					0.982576509860943	Proteobacteria	Riverwater
b39be459cc96689db8cd6b00a0d86e8e	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae			0.7634012923358936	Proteobacteria	Groundwater
7c342291a1c802d1945bf580a6ca8676	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		0.9998712844220158	Bacteroidetes	Riverwater
b7d6cf3f7467ca45087ca083796a0af0	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax		0.9895315212573862	Proteobacteria	Groundwater
040bd74a5c9b1a37501cd9fc4c554326	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	SCA1170	0.999978708830764	Crenarchaeota	Soil
cfcd66c1310f85d586280b6dbd829635	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		0.9999809904752434	Bacteroidetes	Riverwater
5da32e051bdda695c26f4cc556c3aede	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	symbiosum	0.9898780543668046	Crenarchaeota	Groundwater
3ebe761bfb1238c87195d431f41bf976	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		0.9999999911547661	Proteobacteria	Groundwater
095dcca0a1cacb655451100eb59c8ef1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			0.778313066829534	Proteobacteria	Riverwater
6b235822a9e52c63e60c1bd0601cb114	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		0.999916329626019	Bacteroidetes	Riverwater
b0546a8c6a38415c52d2dc916319d3fd	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101		0.9999999052362272	Verrucomicrobia	Soil
e8386d3a307c208c4b9f0a756259cd6b	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		0.999999925260954	Proteobacteria	Groundwater
a9cdace376f468b22ea7bac7de7e029c	Bacteria	Proteobacteria	Deltaproteobacteria					0.7249359613396218	Proteobacteria	Sediment
dbe9c1a17d034dc956466d330b31888c	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.8623245898295334	Crenarchaeota	Soil
f34cdcd73e535507d29c29b19d01f658	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax		0.9973729889079777	Proteobacteria	Riverwater
27af011f1ebcc0867bb168193e6a9d27	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax		0.7400064314374897	Proteobacteria	Riverwater
107273e73071282e4d0f4a0b46548da5	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae			0.9999998752141657	Proteobacteria	Riverwater
38c27ceaed634984c1225a82648cf571	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		0.8108120365702023	Proteobacteria	Groundwater
868e0165fe32a8925b7f20afa5e1dbfc	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			0.9982797248386173	Proteobacteria	Groundwater
c58e5bf355be030d93e26cfa7e766dab	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax		0.7151376368051212	Proteobacteria	Riverwater
ab32275a7fc06a23c53f1b394cfe612f	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	denitrificans	0.991603685987519	Proteobacteria	Riverwater
25e119f38effd7d58bf3442bd40eaf00	Bacteria	OP3	koll11					0.8198880289363752	OP3	Groundwater
2fac845da336657d55f1a9f350c6bc09	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			0.9861839843440745	Proteobacteria	Soil
8562afaf3955423d4eda6d71b8b277d8	Bacteria	Acidobacteria	[Chloracidobacteria]	RB41				0.9999999999959215	Acidobacteria	Soil
1427435456d4da78e4d4f36902b0a273	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera		0.9999993287232174	Crenarchaeota	Soil
8471dd8e0adf8dd9b11ce7621747787b	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales				0.9990485434079085	Proteobacteria	Riverwater
0bbef092010696a8be3f5940bdda4183	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	0.9712987309509208	Crenarchaeota	Soil
cc7257e130ecba99063e41685c252180	Bacteria	Proteobacteria	Betaproteobacteria	Gallionellales	Gallionellaceae			0.9351894350082571	Proteobacteria	Groundwater
02b4cbe5c2955ab2f66dc82cdf6dad64	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			0.9307834307130415	Proteobacteria	Groundwater
7346ee25c4de4df48f80d736342c1c02	Bacteria							0.9999999999824185	7346ee25	Groundwater
a99652a3cbe93c3717ccad39abf8650f	Archaea	Crenarchaeota	MCG	pGrfC26				0.9970861174013381	Crenarchaeota	Sediment
67dd9b19095c87062715879e3da357d4	Bacteria	OP3	koll11					0.8673533098778259	OP3	Groundwater
36b97543fe5f44e30f46474e8c99f62e	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae			0.9999413859410627	Proteobacteria	Riverwater
69179c4a6011d0c9d30036cf18626520	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter		0.9999994765385856	Proteobacteria	Riverwater
fc3f584449d707e80bd4aa0efcd65508	Bacteria	Proteobacteria	Gammaproteobacteria					0.9368317081794252	Proteobacteria	Groundwater
8abdf967e5b46a4af2dc34923219a392	Bacteria	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101		0.9999998851507778	Verrucomicrobia	Soil
a8eafcc66f222ed14947b2179c816513	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	[Thermodesulfovibrionaceae]	GOUTA19		0.9999999999223661	Nitrospirae	Sediment
ffaaeeedff2c0260533887d9b88a3393	Bacteria	Proteobacteria	Deltaproteobacteria					0.9614576223151615	Proteobacteria	Sediment
