p_value	feature_id	category
0.0014437889580285496	Bacteria;Proteobacteria	habitatRiverwater
0.006693533723550742	Bacteria;	habitatRiverwater
3.048441108159069e-32	Bacteria;Bacteroidetes	habitatRiverwater
0.1453010409547007	Bacteria;Acidobacteria	habitatRiverwater
0.24461525408486257	Bacteria;Actinobacteria	habitatRiverwater
0.019962246328333735	Bacteria;Planctomycetes	habitatRiverwater
5.025297484721122e-43	Archaea;Thaumarchaeota	habitatRiverwater
0.004777517907900423	Bacteria;Firmicutes	habitatRiverwater
0.10381976304310096	Bacteria;Chloroflexi	habitatRiverwater
0.9189078397521653	Bacteria;Ignavibacteriae	habitatRiverwater
0.9667030426736569	Bacteria;candidate_division_WPS-1	habitatRiverwater
0.7141727639713976	Archaea;	habitatRiverwater
5.480492721495213e-9	Bacteria;Gemmatimonadetes	habitatRiverwater
0.011014901032001874	Bacteria;Verrucomicrobia	habitatRiverwater
0.000013443060413067815	Bacteria;Candidatus_Saccharibacteria	habitatRiverwater
8.112703921866803e-18	Archaea;Crenarchaeota	habitatRiverwater
0.07442540035410385	Bacteria;Parcubacteria	habitatRiverwater
0.3903648448448338	Bacteria;Aminicenantes	habitatRiverwater
1.4294396974211193e-86	Bacteria;Latescibacteria	habitatRiverwater
0.9667030426736617	Bacteria;Armatimonadetes	habitatRiverwater
0.09103529108105368	Archaea;Woesearchaeota	habitatRiverwater
0.966703042673656	Bacteria;BRC1	habitatRiverwater
1.0097851943132372e-16	Bacteria;Nitrospirae	habitatRiverwater
2.851127535747669e-6	Archaea;Pacearchaeota	habitatRiverwater
4.590397822086902e-30	Archaea;Euryarchaeota	habitatRiverwater
0.00003460457510377006	Bacteria;Campilobacterota	habitatRiverwater
3.8851716251845056e-15	Archaea;Diapherotrites	habitatRiverwater
0.21902844790863168	Bacteria;Spirochaetes	habitatRiverwater
9.293991076777778e-175	Bacteria;Fusobacteria	habitatRiverwater
0.96670304267366	Bacteria;Hydrogenedentes	habitatRiverwater
0.9667030426736617	Bacteria;Deferribacteres	habitatRiverwater
8.856122028896574e-14	Bacteria;Lentisphaerae	habitatRiverwater
2.5691394352666585e-13	Bacteria;Proteobacteria	habitatSediment
0.7025769294280915	Bacteria;	habitatSediment
0.34413125811651857	Bacteria;Bacteroidetes	habitatSediment
9.269041858004422e-15	Bacteria;Acidobacteria	habitatSediment
0.6851293236999016	Bacteria;Actinobacteria	habitatSediment
6.180264117741087e-6	Bacteria;Planctomycetes	habitatSediment
1.2152094465996208e-6	Archaea;Thaumarchaeota	habitatSediment
1.032934460443264e-8	Bacteria;Firmicutes	habitatSediment
3.310453313920733e-11	Bacteria;Chloroflexi	habitatSediment
3.8674214095938405e-7	Bacteria;Ignavibacteriae	habitatSediment
1.2906572217160704e-18	Bacteria;candidate_division_WPS-1	habitatSediment
0.00006160863596797189	Archaea;	habitatSediment
0.7356825742696567	Bacteria;Gemmatimonadetes	habitatSediment
0.025173166591237004	Bacteria;Verrucomicrobia	habitatSediment
1.2540489281425726e-39	Bacteria;Candidatus_Saccharibacteria	habitatSediment
2.396089202757543e-291	Archaea;Crenarchaeota	habitatSediment
2.65505970774813e-180	Bacteria;Parcubacteria	habitatSediment
2.5043107808784724e-250	Bacteria;Aminicenantes	habitatSediment
6.805520037202238e-162	Bacteria;Latescibacteria	habitatSediment
1.3889010539162977e-99	Bacteria;Armatimonadetes	habitatSediment
5.900127658137728e-40	Archaea;Woesearchaeota	habitatSediment
1.7043575589905398e-9	Bacteria;BRC1	habitatSediment
4.802607275339154e-39	Bacteria;Nitrospirae	habitatSediment
8.115585710312694e-10	Archaea;Pacearchaeota	habitatSediment
0.5802870578792506	Archaea;Euryarchaeota	habitatSediment
0.0015834491440055243	Bacteria;Campilobacterota	habitatSediment
8.594955069577858e-30	Archaea;Diapherotrites	habitatSediment
9.324951638086575e-89	Bacteria;Spirochaetes	habitatSediment
1.7043575589903245e-9	Bacteria;Fusobacteria	habitatSediment
5.5145662334001776e-55	Bacteria;Hydrogenedentes	habitatSediment
3.1979403250934556e-55	Bacteria;Deferribacteres	habitatSediment
0.00010771304361239636	Bacteria;Lentisphaerae	habitatSediment
0.000515854316110325	Bacteria;Proteobacteria	habitatSoil
0.001981487549229331	Bacteria;	habitatSoil
8.2896843836637e-8	Bacteria;Bacteroidetes	habitatSoil
2.2884777887080897e-51	Bacteria;Acidobacteria	habitatSoil
2.4892583648389584e-11	Bacteria;Actinobacteria	habitatSoil
1.2380631732593622e-10	Bacteria;Planctomycetes	habitatSoil
0.000012272390212211388	Archaea;Thaumarchaeota	habitatSoil
0.01041797068463017	Bacteria;Firmicutes	habitatSoil
2.6733293191583164e-6	Bacteria;Chloroflexi	habitatSoil
8.77942814915542e-11	Bacteria;Ignavibacteriae	habitatSoil
3.1472690420256804e-204	Bacteria;candidate_division_WPS-1	habitatSoil
1.1782832469170858e-73	Archaea;	habitatSoil
1.917776888717612e-25	Bacteria;Gemmatimonadetes	habitatSoil
2.2419975048342649e-38	Bacteria;Verrucomicrobia	habitatSoil
