feature_id	effect_size	significance	label	category	contrast	Kingdom	Phylum	neg_log10_qval	significant
Bacteria;Proteobacteria	0.5452672046307996	0.02743199020254244	Proteobacteria	habitatRiverwater	habitatRiverwater	Bacteria	Proteobacteria	1.5617426830032943	true
Bacteria;	-0.8412606991999811	0.11379007330036262	Unclassified	habitatRiverwater	habitatRiverwater	Bacteria	Unclassified	0.9438956228171749	false
Bacteria;Bacteroidetes	3.3480136383797907	8.840479213661299e-31	Bacteroidetes	habitatRiverwater	habitatRiverwater	Bacteria	Bacteroidetes	30.053524192655715	true
Bacteria;Acidobacteria	-0.3565095597849416	1.0	Acidobacteria	habitatRiverwater	habitatRiverwater	Bacteria	Acidobacteria	-0.0	false
Bacteria;Actinobacteria	0.5494183509931014	1.0	Actinobacteria	habitatRiverwater	habitatRiverwater	Bacteria	Actinobacteria	-0.0	false
Bacteria;Planctomycetes	1.038859088276395	0.29943369492500604	Planctomycetes	habitatRiverwater	habitatRiverwater	Bacteria	Planctomycetes	0.523699330590759	false
Archaea;Thaumarchaeota	-3.4726381271308555	1.5075892454163365e-41	Thaumarchaeota	habitatRiverwater	habitatRiverwater	Archaea	Thaumarchaeota	40.82171696930747	true
Bacteria;Firmicutes	-0.6272037917930647	0.08599532234220761	Firmicutes	habitatRiverwater	habitatRiverwater	Bacteria	Firmicutes	1.0655251712705833	false
Bacteria;Chloroflexi	-0.8982680390868205	1.0	Chloroflexi	habitatRiverwater	habitatRiverwater	Bacteria	Chloroflexi	-0.0	false
Bacteria;Ignavibacteriae	-0.0517145562545382	1.0	Ignavibacteriae	habitatRiverwater	habitatRiverwater	Bacteria	Ignavibacteriae	-0.0	false
Bacteria;candidate_division_WPS-1	0.00905929601011417	1.0	candidate_division_WPS-1	habitatRiverwater	habitatRiverwater	Bacteria	candidate_division_WPS-1	-0.0	false
Archaea;	-0.09062028773339431	1.0	Unclassified	habitatRiverwater	habitatRiverwater	Archaea	Unclassified	-0.0	false
Bacteria;Gemmatimonadetes	-2.4252478718019415	1.260513325943899e-7	Gemmatimonadetes	habitatRiverwater	habitatRiverwater	Bacteria	Gemmatimonadetes	6.899452558671938	true
Bacteria;Verrucomicrobia	0.5948971426679895	0.17623841651202998	Verrucomicrobia	habitatRiverwater	habitatRiverwater	Bacteria	Verrucomicrobia	0.7538994179406807	false
Bacteria;Candidatus_Saccharibacteria	0.9366249295630473	0.0002823042686744241	Candidatus_Saccharibacteria	habitatRiverwater	habitatRiverwater	Bacteria	Candidatus_Saccharibacteria	3.5492825549110636	true
Archaea;Crenarchaeota	2.54534950574053	2.1904300589040368e-16	Crenarchaeota	habitatRiverwater	habitatRiverwater	Archaea	Crenarchaeota	15.659470609418912	true
Bacteria;Parcubacteria	0.38566842751782765	1.0	Parcubacteria	habitatRiverwater	habitatRiverwater	Bacteria	Parcubacteria	-0.0	false
Bacteria;Aminicenantes	0.375263392232817	1.0	Aminicenantes	habitatRiverwater	habitatRiverwater	Bacteria	Aminicenantes	-0.0	false
Bacteria;Latescibacteria	4.160687277207765	4.43126306200547e-85	Latescibacteria	habitatRiverwater	habitatRiverwater	Bacteria	Latescibacteria	84.35347246730393	true
Bacteria;Armatimonadetes	0.009059296010112837	1.0	Armatimonadetes	habitatRiverwater	habitatRiverwater	Bacteria	Armatimonadetes	-0.0	false
Archaea;Woesearchaeota	-0.4897287057003696	1.0	Woesearchaeota	habitatRiverwater	habitatRiverwater	Archaea	Woesearchaeota	-0.0	false
Bacteria;BRC1	0.00905929601011438	1.0	BRC1	habitatRiverwater	habitatRiverwater	Bacteria	BRC1	-0.0	false
Bacteria;Nitrospirae	0.8395888270059754	2.6254415052144168e-15	Nitrospirae	habitatRiverwater	habitatRiverwater	Bacteria	Nitrospirae	14.58079765334173	true
Archaea;Pacearchaeota	-1.1831937413865303	0.00006272480578644872	Pacearchaeota	habitatRiverwater	habitatRiverwater	Archaea	Pacearchaeota	4.202560674708517	true
Archaea;Euryarchaeota	-2.1097600907102905	1.2853113901843326e-28	Euryarchaeota	habitatRiverwater	habitatRiverwater	Archaea	Euryarchaeota	27.890991643806718	true
Bacteria;Campilobacterota	2.6268490870925136	0.0006920915020754013	Campilobacterota	habitatRiverwater	habitatRiverwater	Bacteria	Campilobacterota	3.1598364832609325	true
Archaea;Diapherotrites	-3.1892027416099737	9.712929062961263e-14	Diapherotrites	habitatRiverwater	habitatRiverwater	Archaea	Diapherotrites	13.012649783062516	true
Bacteria;Spirochaetes	0.545538600154812	1.0	Spirochaetes	habitatRiverwater	habitatRiverwater	Bacteria	Spirochaetes	-0.0	false
Bacteria;Fusobacteria	5.527688809236961	2.974077144568889e-173	Fusobacteria	habitatRiverwater	habitatRiverwater	Bacteria	Fusobacteria	172.52664777050603	true
Bacteria;Hydrogenedentes	0.009059296010113281	1.0	Hydrogenedentes	habitatRiverwater	habitatRiverwater	Bacteria	Hydrogenedentes	-0.0	false
Bacteria;Deferribacteres	0.009059296010112837	1.0	Deferribacteres	habitatRiverwater	habitatRiverwater	Bacteria	Deferribacteres	-0.0	false
Bacteria;Lentisphaerae	2.8908236940246326	2.1254692869351776e-12	Lentisphaerae	habitatRiverwater	habitatRiverwater	Bacteria	Lentisphaerae	11.672545166213652	true
Bacteria;Proteobacteria	-1.0551719074570474	4.624450983479985e-12	Proteobacteria	habitatSediment	habitatSediment	Bacteria	Proteobacteria	11.334939819465077	true
Bacteria;	-0.10846613512346592	1.0	Unclassified	habitatSediment	habitatSediment	Bacteria	Unclassified	-0.0	false
Bacteria;Bacteroidetes	0.25118723770419016	1.0	Bacteroidetes	habitatSediment	habitatSediment	Bacteria	Bacteroidetes	-0.0	false
Bacteria;Acidobacteria	1.663400830193068	1.7611179530208403e-13	Acidobacteria	habitatSediment	habitatSediment	Bacteria	Acidobacteria	12.75421155565648	true
Bacteria;Actinobacteria	0.19987396164931348	1.0	Actinobacteria	habitatSediment	habitatSediment	Bacteria	Actinobacteria	-0.0	false
Bacteria;Planctomycetes	1.9226915214465399	0.00006180264117741088	Planctomycetes	habitatSediment	habitatSediment	Bacteria	Planctomycetes	4.208992964647997	true
Archaea;Thaumarchaeota	-2.022775528339602	0.000013367303912595828	Thaumarchaeota	habitatSediment	habitatSediment	Archaea	Thaumarchaeota	4.873956177925375	true
Bacteria;Firmicutes	-1.011520431203699	1.342814798576243e-7	Firmicutes	habitatSediment	habitatSediment	Bacteria	Firmicutes	6.871983881227579	true
Bacteria;Chloroflexi	3.222550600827465	5.627770633665246e-10	Chloroflexi	habitatSediment	habitatSediment	Bacteria	Chloroflexi	9.249663611053107	true
Bacteria;Ignavibacteriae	2.3939875704506157	4.6409056915126086e-6	Ignavibacteriae	habitatSediment	habitatSediment	Bacteria	Ignavibacteriae	5.333397256849624	true
Bacteria;candidate_division_WPS-1	2.0224148060783786	2.5813144434321408e-17	candidate_division_WPS-1	habitatSediment	habitatSediment	Bacteria	candidate_division_WPS-1	16.58815908854815	true
Archaea;	0.8608746582637021	0.0005544777237117469	Unclassified	habitatSediment	habitatSediment	Archaea	Unclassified	3.256115897059276	true
Bacteria;Gemmatimonadetes	-0.044676126629352275	1.0	Gemmatimonadetes	habitatSediment	habitatSediment	Bacteria	Gemmatimonadetes	-0.0	false
Bacteria;Verrucomicrobia	0.4838817173124479	0.15103899954742203	Verrucomicrobia	habitatSediment	habitatSediment	Bacteria	Verrucomicrobia	0.8209108997175701	false
Bacteria;Candidatus_Saccharibacteria	-2.4954461631624962	2.8843125347279167e-38	Candidatus_Saccharibacteria	habitatSediment	habitatSediment	Bacteria	Candidatus_Saccharibacteria	37.539957682664905	true
Archaea;Crenarchaeota	6.755128126567503	7.667485448824138e-290	Crenarchaeota	habitatSediment	habitatSediment	Archaea	Crenarchaeota	289.1153470395387	true
Bacteria;Parcubacteria	-5.41624490940139	7.96517912324439e-179	Parcubacteria	habitatSediment	habitatSediment	Bacteria	Parcubacteria	178.09880445321352	true
Bacteria;Aminicenantes	5.872646713397865	7.763363420723264e-249	Aminicenantes	habitatSediment	habitatSediment	Bacteria	Aminicenantes	248.1099500830469	true
Bacteria;Latescibacteria	4.787659271364715	1.973600810788649e-160	Latescibacteria	habitatSediment	habitatSediment	Bacteria	Latescibacteria	159.70474068510276	true
Bacteria;Armatimonadetes	3.7279259661815143	3.8889229509656334e-98	Armatimonadetes	habitatSediment	habitatSediment	Bacteria	Armatimonadetes	97.41017066119863	true
Archaea;Woesearchaeota	-3.615850536407378	1.4160306379530546e-38	Woesearchaeota	habitatSediment	habitatSediment	Archaea	Woesearchaeota	37.84892734993015	true
Bacteria;BRC1	-1.0475652912399016	2.5565363384854867e-8	BRC1	habitatSediment	habitatSediment	Bacteria	BRC1	7.592348029852536	true
Bacteria;Nitrospirae	1.1379176963115734	1.0565736005746139e-37	Nitrospirae	habitatSediment	habitatSediment	Bacteria	Nitrospirae	36.97610024474505	true
Archaea;Pacearchaeota	-2.3006173866430792	1.298493713650031e-8	Pacearchaeota	habitatSediment	habitatSediment	Archaea	Pacearchaeota	7.886560148563528	true
Archaea;Euryarchaeota	0.12931586528259786	1.0	Euryarchaeota	habitatSediment	habitatSediment	Archaea	Euryarchaeota	-0.0	false
Bacteria;Campilobacterota	-2.146335072626905	0.011084144008038671	Campilobacterota	habitatSediment	habitatSediment	Bacteria	Campilobacterota	1.9552978403879777	true
Archaea;Diapherotrites	-4.245827328859991	1.80494056461135e-28	Diapherotrites	habitatSediment	habitatSediment	Archaea	Diapherotrites	27.74353709452636	true
Bacteria;Spirochaetes	4.158718828406971	2.5177369422833755e-87	Spirochaetes	habitatSediment	habitatSediment	Bacteria	Spirochaetes	86.59898964773204	true
Bacteria;Fusobacteria	-1.0475652912399023	2.5565363384854867e-8	Fusobacteria	habitatSediment	habitatSediment	Bacteria	Fusobacteria	7.592348029852536	true
Bacteria;Hydrogenedentes	2.6942358353333686	1.3786415583500444e-53	Hydrogenedentes	habitatSediment	habitatSediment	Bacteria	Hydrogenedentes	52.860548634089284	true
Bacteria;Deferribacteres	3.117559593818399	8.314644845242984e-54	Deferribacteres	habitatSediment	habitatSediment	Bacteria	Deferribacteres	53.08015629666038	true
Bacteria;Lentisphaerae	-1.4137693874626054	0.0008617043488991709	Lentisphaerae	habitatSediment	habitatSediment	Bacteria	Lentisphaerae	3.064641715226475	true
Bacteria;Proteobacteria	-0.5541550532136895	0.005674397477213575	Proteobacteria	habitatSoil	habitatSoil	Bacteria	Proteobacteria	2.2460802462429292	true
