sample_id	habitat	Riv_vs_Gro	Sed_vs_Soil	shannon	observed_features	faith_pd	evenness
SRR10070130	Riverwater	Riverwater		6.62706989665858	664.0	51.1884337195091	0.70688448248014
SRR10070131	Riverwater	Riverwater		6.65207572218944	681.0	53.5357532304558	0.706802099116978
SRR10070132	Groundwater	Groundwater		5.82950909691201	251.0	28.1220681321007	0.731289875976762
SRR10070133	Groundwater	Groundwater		5.43525768691945	261.0	28.8908654101415	0.677045507164857
SRR10070134	Riverwater	Riverwater		6.7945337003684	710.0	53.4605411938892	0.717352901844039
SRR10070141	Groundwater	Groundwater		5.36607256057912	282.0	31.3741321479327	0.659259009281599
SRR10070149	Sediment		Sediment	9.38394080903139	1201.0	63.3760381096711	0.917294434357023
SRR10070150	Sediment		Sediment	9.41807923684487	1207.0	64.6270261545009	0.919984963964758
SRR10070151	Sediment		Sediment	9.32568457874592	1159.0	63.3181247382726	0.91619919854457
SRR10102392	Soil		Soil	8.67806093059236	925.0	42.4425131522279	0.880725494494711
SRR10102393	Soil		Soil	8.61482907627405	944.0	42.9873068006412	0.871713066357319
SRR10102394	Soil		Soil	8.62531347022587	922.0	42.4828002936229	0.875788780055566
