sample_id	dim_1	dim_2	habitat
SRR10070130	-0.07525122366002225	-0.006983349039052435	Riverwater
SRR10070131	-0.0744597516064355	-0.006831327777572377	Riverwater
SRR10070132	0.014727936973355319	0.03225902182231899	Groundwater
SRR10070133	0.03255434503323535	0.04717049692634305	Groundwater
SRR10070134	-0.07414651422792291	-0.006771166887786176	Riverwater
SRR10070141	0.016895831602957784	0.04850296166896029	Groundwater
SRR10070149	-0.03186247844661181	-0.016715744045318066	Sediment
SRR10070150	-0.030018504498779915	-0.018209118634682865	Sediment
SRR10070151	-0.04696630238869295	-0.007102766789203021	Sediment
SRR10102392	0.06841113704678868	-0.024344483730402735	Soil
SRR10102393	0.10812358084942386	-0.021354352634389947	Soil
SRR10102394	0.09199194332270427	-0.019620170879214707	Soil
