sample_id	depth	iter	shannon	observed_features	faith_pd	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	1	1	-0.0	1.0	0.4976567928026143	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	2	-0.0	1.0	0.7757140925328332	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	3	-0.0	1.0	0.5942759764658931	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	4	-0.0	1.0	0.5942759764658931	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	5	-0.0	1.0	0.7357671333580837	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	6	-0.0	1.0	0.5572983449033546	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	7	-0.0	1.0	0.4666302350698208	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	8	-0.0	1.0	0.4738596911632813	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	9	-0.0	1.0	1.038585073416809	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	1	10	-0.0	1.0	0.63673209573022	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	1	5.72113691806	126.0	14.2424583771161	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	2	5.699658405338022	124.0	12.60368511541588	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	3	5.695331327244072	121.0	12.94994639408883	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	4	5.57121723266016	122.0	12.54182096151383	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	5	5.366699018921405	116.0	12.20003605106678	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	6	5.76989650121054	124.0	15.14808046243721	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	7	5.8460765373157	135.0	14.77209038291069	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	8	5.549804604786094	119.0	12.81003530111593	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	9	5.628098354107088	120.0	12.16688608013998	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	302	10	5.713506463999578	129.0	15.94048182585639	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	1	6.095078392755924	204.0	20.75188783899318	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	2	6.2022392659395855	206.0	18.67750009858973	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	3	6.065030127012691	200.0	20.36787113685983	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	4	5.981870126951141	198.0	18.09579173373506	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	5	5.829250925795967	192.0	18.34305071556809	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	603	6	5.867480868690723	193.0	18.9736487928551	SRR10070130-Riverwater	Riverwater	Riverwater	
