sample	taxonomy	count	Kingdom	Phylum	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	Bacteria;Bacteria	65448.0	Bacteria	Bacteria	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070131	Bacteria;Bacteria	67835.0	Bacteria	Bacteria	SRR10070131-Riverwater	Riverwater	Riverwater	
SRR10070132	Bacteria;Bacteria	21065.0	Bacteria	Bacteria	SRR10070132-Groundwater	Groundwater	Groundwater	
SRR10070133	Bacteria;Bacteria	58778.0	Bacteria	Bacteria	SRR10070133-Groundwater	Groundwater	Groundwater	
SRR10070134	Bacteria;Bacteria	81065.0	Bacteria	Bacteria	SRR10070134-Riverwater	Riverwater	Riverwater	
SRR10070141	Bacteria;Bacteria	36070.0	Bacteria	Bacteria	SRR10070141-Groundwater	Groundwater	Groundwater	
SRR10070149	Bacteria;Bacteria	61113.0	Bacteria	Bacteria	SRR10070149-Sediment	Sediment		Sediment
SRR10070150	Bacteria;Bacteria	65558.0	Bacteria	Bacteria	SRR10070150-Sediment	Sediment		Sediment
SRR10070151	Bacteria;Bacteria	58943.0	Bacteria	Bacteria	SRR10070151-Sediment	Sediment		Sediment
SRR10102392	Bacteria;Bacteria	56072.0	Bacteria	Bacteria	SRR10102392-Soil	Soil		Soil
SRR10102393	Bacteria;Bacteria	59639.0	Bacteria	Bacteria	SRR10102393-Soil	Soil		Soil
SRR10102394	Bacteria;Bacteria	55856.0	Bacteria	Bacteria	SRR10102394-Soil	Soil		Soil
SRR10070130	;	163.0	""	""	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070131	;	217.0	""	""	SRR10070131-Riverwater	Riverwater	Riverwater	
SRR10070132	;	562.0	""	""	SRR10070132-Groundwater	Groundwater	Groundwater	
SRR10070133	;	1763.0	""	""	SRR10070133-Groundwater	Groundwater	Groundwater	
SRR10070134	;	255.0	""	""	SRR10070134-Riverwater	Riverwater	Riverwater	
SRR10070141	;	644.0	""	""	SRR10070141-Groundwater	Groundwater	Groundwater	
SRR10070149	;	2386.0	""	""	SRR10070149-Sediment	Sediment		Sediment
SRR10070150	;	2690.0	""	""	SRR10070150-Sediment	Sediment		Sediment
SRR10070151	;	1572.0	""	""	SRR10070151-Sediment	Sediment		Sediment
SRR10102392	;	6893.0	""	""	SRR10102392-Soil	Soil		Soil
SRR10102393	;	9553.0	""	""	SRR10102393-Soil	Soil		Soil
SRR10102394	;	7861.0	""	""	SRR10102394-Soil	Soil		Soil
SRR10070130	Archaea;Archaea	82.0	Archaea	Archaea	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070131	Archaea;Archaea	90.0	Archaea	Archaea	SRR10070131-Riverwater	Riverwater	Riverwater	
SRR10070132	Archaea;Archaea	1825.0	Archaea	Archaea	SRR10070132-Groundwater	Groundwater	Groundwater	
SRR10070133	Archaea;Archaea	6695.0	Archaea	Archaea	SRR10070133-Groundwater	Groundwater	Groundwater	
SRR10070134	Archaea;Archaea	137.0	Archaea	Archaea	SRR10070134-Riverwater	Riverwater	Riverwater	
SRR10070141	Archaea;Archaea	3797.0	Archaea	Archaea	SRR10070141-Groundwater	Groundwater	Groundwater	
SRR10070149	Archaea;Archaea	673.0	Archaea	Archaea	SRR10070149-Sediment	Sediment		Sediment
SRR10070150	Archaea;Archaea	734.0	Archaea	Archaea	SRR10070150-Sediment	Sediment		Sediment
SRR10070151	Archaea;Archaea	363.0	Archaea	Archaea	SRR10070151-Sediment	Sediment		Sediment
SRR10102392	Archaea;Archaea	2867.0	Archaea	Archaea	SRR10102392-Soil	Soil		Soil
SRR10102393	Archaea;Archaea	4224.0	Archaea	Archaea	SRR10102393-Soil	Soil		Soil
SRR10102394	Archaea;Archaea	3694.0	Archaea	Archaea	SRR10102394-Soil	Soil		Soil
