Phylum	Kingdom	SRR10070130	SRR10070131	SRR10070132	SRR10070133	SRR10070134	SRR10070141	SRR10070149	SRR10070150	SRR10070151	SRR10102392	SRR10102393	SRR10102394	_col_annotations_json
4484-113	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0009038209811132581	0.0013336812501812067	0.0014455139787772266	0.0	0.0	0.0	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
ARS69	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.00046749361092065074	0.0002899307065611319	0.0004106573803344394	0.0	0.0	0.0	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Acidobacteriota	Bacteria	0.0035315787070159684	0.004285169205482668	0.009764625618284156	0.010857278838717354	0.005180647458168113	0.01755078867468095	0.1270959296889609	0.12516308602244064	0.1296527481191892	0.2693826710414388	0.23306908575787294	0.2153357760602869	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Actinomycetota	Bacteria	0.017429558704884843	0.012972909512488627	0.017098754903632954	0.002260693676006901	0.016880071694268143	0.011898003011527733	0.025088823786074924	0.0193383781276275	0.011005617792962975	0.09474115931461903	0.0998556173041299	0.12392636216641201	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Armatimonadota	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.002680296702611731	0.002609376359050187	0.0031867012713952497	0.0034026005589986633	0.002560749700337801	0.002625684235510525	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Asgardarchaeota	Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0003739948887365206	0.00018845495926473574	0.00022996813298728605	0.0	0.0	0.0	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Babelota	Bacteria	0.0009590062868189914	0.0012620703824366764	0.0	0.0	0.0008225198571025203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Bacillota	Bacteria	0.008250498531045926	0.006031522409086907	0.01415657513218489	0.010054137664346482	0.0063100777097118725	0.001801979709214781	0.008461634357663778	0.00971267866979792	0.0045008048884654555	0.0229219832300401	0.02790944753187316	0.03276913263413983	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Bacteroidota	Bacteria	0.2114989420486201	0.20846174165712777	0.011768719085792257	0.017222916294842048	0.20977939280847563	0.01565007035126262	0.04099918967774107	0.049955060740483025	0.0559643877919774	0.042107181917608455	0.03409338563800807	0.0325021138983252	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
Bdellovibrionota	Bacteria	0.007489382430395933	0.008350209855889173	0.0047757120927852635	0.010381343327979058	0.009342352406791312	0.00409765248944731	0.0	0.000057986141312226376	0.0004106573803344394	0.0	0.0	0.0	"{""habitat"": {""values"": [""Riverwater"", ""Riverwater"", ""Groundwater"", ""Groundwater"", ""Riverwater"", ""Groundwater"", ""Sediment"", ""Sediment"", ""Sediment"", ""Soil"", ""Soil"", ""Soil""], ""type"": ""categorical"", ""colors"": {""Groundwater"": ""#636EFA"", ""Riverwater"": ""#EF553B"", ""Sediment"": ""#00CC96"", ""Soil"": ""#AB63FA""}}, ""lon"": {""values"": [8.9911, 8.992, 8.8919, 8.893, 9.015, 9.0083, 8.9911, 8.992, 9.015, 9.0103, 9.011, 8.9981], ""type"": ""categorical"", ""colors"": {""8.8919"": ""#636EFA"", ""8.893"": ""#EF553B"", ""8.9911"": ""#00CC96"", ""8.992"": ""#AB63FA"", ""8.9981"": ""#FFA15A"", ""9.0083"": ""#19D3F3"", ""9.0103"": ""#FF6692"", ""9.011"": ""#B6E880"", ""9.015"": ""#FF97FF""}}, ""lat"": {""values"": [48.5331, 48.5338, 48.5781, 48.5787, 48.54, 48.5497, 48.5328, 48.5325, 48.5397, 48.5586, 48.5592, 48.5736], ""type"": ""categorical"", ""colors"": {""48.5325"": ""#636EFA"", ""48.5328"": ""#EF553B"", ""48.5331"": ""#00CC96"", ""48.5338"": ""#AB63FA"", ""48.5397"": ""#FFA15A"", ""48.54"": ""#19D3F3"", ""48.5497"": ""#FF6692"", ""48.5586"": ""#B6E880"", ""48.5592"": ""#FF97FF"", ""48.5736"": ""#FECB52"", ""48.5781"": ""#636EFA"", ""48.5787"": ""#EF553B""}}}"
