sample	taxonomy	rel_abundance	Kingdom	Phylum	habitat	name	Riv_vs_Gro	Sed_vs_Soil	sampling_date	lon	lat	city	ctd_temperature_c	ctd_conductivity_us_cm	ctd_do_mg_l	ctd_ph	ctd_turbidity_ntu	ctd_nitrate_mg_l	ctd_doc_mg_l	ctd_depth_m
SRR10070130	Bacteria;Bacteria;Pseudomonadota	0.5861659537545857	Bacteria	Pseudomonadota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Planctomycetota	0.002679128674287976	Bacteria	Planctomycetota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Acidobacteriota	0.0035315787070159684	Bacteria	Acidobacteriota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Actinomycetota	0.017429558704884843	Bacteria	Actinomycetota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Myxococcota_A	0.0036381349611069673	Bacteria	Myxococcota_A	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Bacteroidota	0.2114989420486201	Bacteria	Bacteroidota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Verrucomicrobiota	0.009346505715981916	Bacteria	Verrucomicrobiota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Methylomirabilota	0.0002892241182469974	Bacteria	Methylomirabilota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Fibrobacterota	0.0029226858264959736	Bacteria	Fibrobacterota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
SRR10070130	Bacteria;Bacteria;Patescibacteriota	0.045682188361012586	Bacteria	Patescibacteriota	Riverwater	SRR10070130-Riverwater	Riverwater		2023-01-01	8.9911	48.5331	Pfäffingen	5.8	480	11.6	8.1	8.4	6.2	3.4	0.6
