taxon	Soil	Riverwater	Groundwater	Sediment	Kingdom	Phylum
Archaea;Archaea;Thermoproteota	1	1	1	1	Archaea	Thermoproteota
Bacteria;Bacteria;Acidobacteriota	1	1	1	1	Bacteria	Acidobacteriota
Bacteria;Bacteria;Desulfobacterota	1	1	1	1	Bacteria	Desulfobacterota
Bacteria;Bacteria;Actinomycetota	1	1	1	1	Bacteria	Actinomycetota
Bacteria;Bacteria;Babelota	0	1	0	0	Bacteria	Babelota
Bacteria;Bacteria;Campylobacterota	0	1	1	1	Bacteria	Campylobacterota
Bacteria;Bacteria;Bdellovibrionota	0	1	1	0	Bacteria	Bdellovibrionota
Bacteria;Bacteria;Planctomycetota	1	1	1	1	Bacteria	Planctomycetota
Bacteria;Bacteria;Myxococcota_A	1	1	1	1	Bacteria	Myxococcota_A
Bacteria;Bacteria;Omnitrophota	0	1	1	1	Bacteria	Omnitrophota
Bacteria;Bacteria;Pseudomonadota	1	1	1	1	Bacteria	Pseudomonadota
Bacteria;Bacteria;Patescibacteriota	1	1	1	1	Bacteria	Patescibacteriota
Bacteria;Bacteria;Hydrogenedentota	0	0	0	1	Bacteria	Hydrogenedentota
Bacteria;Bacteria;Gemmatimonadota	1	0	1	1	Bacteria	Gemmatimonadota
Bacteria;Bacteria;4484-113	0	0	0	1	Bacteria	4484-113
Bacteria;Bacteria;	1	1	1	1	Bacteria	Unclassified
Bacteria;Bacteria;Armatimonadota	1	0	0	1	Bacteria	Armatimonadota
Bacteria;Bacteria;Bacillota	1	1	1	1	Bacteria	Bacillota
Bacteria;Bacteria;Nitrospirota	1	1	1	1	Bacteria	Nitrospirota
Bacteria;Bacteria;Methylomirabilota	1	0	1	1	Bacteria	Methylomirabilota
Bacteria;Bacteria;Elusimicrobiota	0	0	1	0	Bacteria	Elusimicrobiota
Bacteria;Bacteria;Bacteroidota	1	1	1	1	Bacteria	Bacteroidota
Bacteria;Bacteria;Tectomicrobia	1	0	0	0	Bacteria	Tectomicrobia
Bacteria;Bacteria;Myxococcota	1	1	0	1	Bacteria	Myxococcota
Bacteria;Bacteria;Chloroflexota	1	1	1	1	Bacteria	Chloroflexota
Bacteria;Bacteria;Bdellovibrionota_B	0	1	0	0	Bacteria	Bdellovibrionota_B
Bacteria;Bacteria;Fusobacteriota	0	1	0	0	Bacteria	Fusobacteriota
Bacteria;Bacteria;Cyanobacteriota	1	1	1	0	Bacteria	Cyanobacteriota
Bacteria;Bacteria;Verrucomicrobiota	1	1	1	1	Bacteria	Verrucomicrobiota
Bacteria;Bacteria;Calditrichota	0	0	0	1	Bacteria	Calditrichota
Archaea;Archaea;Halobacteriota	0	0	0	1	Archaea	Halobacteriota
Bacteria;Bacteria;Eisenbacteria	1	0	1	1	Bacteria	Eisenbacteria
Bacteria;Bacteria;Zixibacteria	0	0	0	1	Bacteria	Zixibacteria
Bacteria;Bacteria;Fibrobacterota	0	1	0	0	Bacteria	Fibrobacterota
Bacteria;Bacteria;JAUVQV01	0	0	0	1	Bacteria	JAUVQV01
Bacteria;Bacteria;Krumholzibacteriota	0	0	0	1	Bacteria	Krumholzibacteriota
;;	1	1	1	1	Unclassified	Unclassified
Bacteria;Bacteria;Orphanbacterota	0	0	0	1	Bacteria	Orphanbacterota
Bacteria;Bacteria;Spirochaetota	0	0	0	1	Bacteria	Spirochaetota
Bacteria;Bacteria;Desulfobacterota_D	0	0	0	1	Bacteria	Desulfobacterota_D
Archaea;Archaea;Nanobdellota	0	0	1	0	Archaea	Nanobdellota
Bacteria;Bacteria;UBA10199	0	0	0	1	Bacteria	UBA10199
