sample_id,fastq_1,fastq_2
EZH2_IP_NTKO_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541384_T1.fastq.gz,
EZH2_IP_NTKO_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541385_T1.fastq.gz,
EZH2_IP_TKO_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541386_T1.fastq.gz,
EZH2_IP_TKO_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541387_T1.fastq.gz,
FOXA1_IP_E2_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747793_T1.fastq.gz,
FOXA1_IP_E2_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747794_T1.fastq.gz,
FOXA1_IP_VEH_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747791_T1.fastq.gz,
FOXA1_IP_VEH_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747792_T1.fastq.gz,
INPUT_E2_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747769_T1.fastq.gz,
INPUT_E2_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747770_T1.fastq.gz,
INPUT_NTKO_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541388_T1.fastq.gz,
INPUT_NTKO_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541389_T1.fastq.gz,
INPUT_TKO_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541390_T1.fastq.gz,
INPUT_TKO_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX541391_T1.fastq.gz,
INPUT_VEH_R1_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747767_T1.fastq.gz,
INPUT_VEH_R2_T1,s3://nf-core-awsmegatests/chipseq/input_data/SRX747768_T1.fastq.gz,
