sample	condition	stage	group	run_accession	geo_sample
c1	case	clinic	case_clinic	SRR5398643	GSM2560996
c2	case	clinic	case_clinic	SRR5398644	GSM2560997
c3	case	clinic	case_clinic	SRR5398645	GSM2560998
c4	case	clinic	case_clinic	SRR5398646	GSM2560999
c5	case	clinic	case_clinic	SRR5398647	GSM2561000
c6	case	clinic	case_clinic	SRR5398648	GSM2561001
c7	case	clinic	case_clinic	SRR5398650	GSM2561003
cc1	control	clinic	control_clinic	SRR5398637	GSM2560990
cc2	control	clinic	control_clinic	SRR5398638	GSM2560991
cc3	control	clinic	control_clinic	SRR5398639	GSM2560992
cc4	control	clinic	control_clinic	SRR5398640	GSM2560993
cc5	control	clinic	control_clinic	SRR5398641	GSM2560994
cc6	control	clinic	control_clinic	SRR5398642	GSM2560995
cc7	control	clinic	control_clinic	SRR5398649	GSM2561002
cpc1	control	preclinic	control_preclinic	SRR5398623	GSM2560976
cpc2	control	preclinic	control_preclinic	SRR5398624	GSM2560977
cpc3	control	preclinic	control_preclinic	SRR5398625	GSM2560978
cpc4	control	preclinic	control_preclinic	SRR5398626	GSM2560979
cpc5	control	preclinic	control_preclinic	SRR5398627	GSM2560980
cpc6	control	preclinic	control_preclinic	SRR5398628	GSM2560981
cpc7	control	preclinic	control_preclinic	SRR5398635	GSM2560988
pc1	case	preclinic	case_preclinic	SRR5398629	GSM2560982
pc2	case	preclinic	case_preclinic	SRR5398630	GSM2560983
pc3	case	preclinic	case_preclinic	SRR5398631	GSM2560984
pc4	case	preclinic	case_preclinic	SRR5398632	GSM2560985
pc5	case	preclinic	case_preclinic	SRR5398633	GSM2560986
pc6	case	preclinic	case_preclinic	SRR5398634	GSM2560987
pc7	case	preclinic	case_preclinic	SRR5398636	GSM2560989
