sample	qc_status	lineage	clade
SAMPLE_01	fail	Unassigned	21L (BA.2)
SAMPLE_02	pass	B.1.1.7	20I (Alpha)
SAMPLE_03	pass	B.1.1.7	20I (Alpha)
SAMPLE_04	pass	B.1.1.7	20I (Alpha)
SAMPLE_05	pass	B.1.1.7	20I (Alpha)
SAMPLE_06	pass	AC.1	20B
SAMPLE_07	pass	B.1.1.7	20I (Alpha)
SAMPLE_08	pass	AC.1	20B
SAMPLE_09	pass	B.1.1.7	20I (Alpha)
SAMPLE_10	pass	B.1.1.7	20I (Alpha)
SAMPLE_11	pass	B.1.1.7	20I (Alpha)
SAMPLE_12	pass	B.1.1.7	20I (Alpha)
SAMPLE_13	fail	Unassigned	20I (Alpha)
SAMPLE_14	pass	B.1.1.7	20I (Alpha)
SAMPLE_15	pass	B.1.1.7	20I (Alpha)
SAMPLE_16	pass	B.1.1.7	20I (Alpha)
SAMPLE_17	pass	B.1.1.7	20I (Alpha)
SAMPLE_18	pass	B.1.1.7	20I (Alpha)
SAMPLE_19	fail	Unassigned	20I (Alpha)
SAMPLE_20	fail	Unassigned	20I (Alpha)
SAMPLE_21	fail	Unassigned	20I (Alpha)
SAMPLE_24	pass	B.1.1.7	20I (Alpha)
SAMPLE_25	pass	B.1.1.7	20I (Alpha)
SAMPLE_27	fail	Unassigned	20I (Alpha)
SAMPLE_28	pass	B.1.1.7	20I (Alpha)
SAMPLE_29	pass	B.1.1.7	20I (Alpha)
SAMPLE_30	pass	B.1.1.7	20I (Alpha)
SAMPLE_31	fail	Unassigned	20I (Alpha)
SAMPLE_32	pass	B.1.1.7	20I (Alpha)
SAMPLE_33	pass	B.1.1.7	20I (Alpha)
SAMPLE_34	pass	B.1.1.7	20I (Alpha)
SAMPLE_35	pass	B.1.1.7	20I (Alpha)
SAMPLE_36	pass	B.1.1.7	20I (Alpha)
SAMPLE_37	pass	B.1.1.7	20I (Alpha)
SAMPLE_38	pass	B.1.1.7	20I (Alpha)
SAMPLE_40	fail	B.1.1.7	20I (Alpha)
SAMPLE_41	pass	B.1.1.7	20I (Alpha)
SAMPLE_42	pass	B.1.1.7	20I (Alpha)
SAMPLE_43	pass	B.1.1.7	20I (Alpha)
SAMPLE_44	pass	B.1.1.7	20I (Alpha)
SAMPLE_45	pass	B.1.1.7	20I (Alpha)
SAMPLE_46	pass	B.1.1.7	20I (Alpha)
SAMPLE_47	pass	B.1.1.7	20I (Alpha)
SAMPLE_48	pass	B.1.1.7	20I (Alpha)
