sample	num_reads_mapped	pct_reads_mapped	coverage_median	pct_genome_covered_1x	pct_genome_covered_10x	num_variants_snp	num_variants_indel	num_variants_total	lineage
SAMPLE_01	24038.0	2.08		2.0	1.0	2.0		2.0	Unassigned
SAMPLE_02	1734711.0	99.99	4796.0	100.0	100.0	31.0	4.0	35.0	B.1.1.7
SAMPLE_03	1675980.0	97.3	4367.0	100.0	99.0	27.0	4.0	31.0	B.1.1.7
SAMPLE_04	1477778.0	99.98	4043.0	100.0	100.0	31.0	4.0	35.0	B.1.1.7
SAMPLE_05	1660738.0	99.84	4589.0	100.0	100.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_06	1662889.0	99.98	4557.0	100.0	100.0	25.0		25.0	AC.1
SAMPLE_07	1973769.0	99.96	5495.0	100.0	100.0	30.0	4.0	34.0	B.1.1.7
SAMPLE_08	1843734.0	99.39	4938.0	100.0	100.0	25.0		25.0	AC.1
SAMPLE_09	956832.0	77.02	1209.0	84.0	83.0	30.0	5.0	35.0	B.1.1.7
SAMPLE_10	1562660.0	99.77	4353.0	100.0	100.0	28.0	4.0	32.0	B.1.1.7
SAMPLE_11	2058204.0	99.87	5734.0	100.0	100.0	30.0	4.0	34.0	B.1.1.7
SAMPLE_12	1604711.0	99.82	4431.0	100.0	100.0	27.0	4.0	31.0	B.1.1.7
SAMPLE_13	21346.0	25.12		3.0	3.0	2.0		2.0	Unassigned
SAMPLE_14	395815.0	99.93	1018.0	100.0	99.0	28.0	4.0	32.0	B.1.1.7
SAMPLE_15	1641587.0	98.0	4343.0	100.0	100.0	34.0	4.0	38.0	B.1.1.7
SAMPLE_16	1854793.0	99.95	5133.0	100.0	100.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_17	1704520.0	94.13	3602.0	94.0	94.0	31.0	5.0	36.0	B.1.1.7
SAMPLE_18	1718121.0	99.97	4740.0	100.0	100.0	30.0	4.0	34.0	B.1.1.7
SAMPLE_19	269113.0	26.71		23.0	22.0	9.0		9.0	Unassigned
SAMPLE_20	389183.0	38.98		19.0	18.0	8.0	3.0	11.0	Unassigned
SAMPLE_21	55888.0	15.41		5.0	5.0	6.0		6.0	Unassigned
SAMPLE_22	70326.0	11.23		3.0	2.0			0.0	NA
SAMPLE_23	82.0	0.03						0.0	NA
SAMPLE_24	978709.0	99.99	2788.0	100.0	100.0	30.0	4.0	34.0	B.1.1.7
SAMPLE_25	1462316.0	85.0	2857.0	100.0	98.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_26	58806.0	7.86		3.0	2.0			0.0	NA
SAMPLE_27	84955.0	11.28		9.0	9.0	4.0		4.0	Unassigned
SAMPLE_28	1606622.0	99.91	4471.0	100.0	100.0	28.0	4.0	32.0	B.1.1.7
SAMPLE_29	1510906.0	99.55	4180.0	98.0	98.0	25.0	4.0	29.0	B.1.1.7
SAMPLE_30	1721262.0	99.95	4820.0	100.0	100.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_31	123199.0	13.21		5.0	5.0	2.0	1.0	3.0	Unassigned
SAMPLE_32	1766331.0	99.88	4658.0	100.0	100.0	28.0	4.0	32.0	B.1.1.7
SAMPLE_33	1482145.0	99.98	4059.0	100.0	100.0	27.0	4.0	31.0	B.1.1.7
SAMPLE_34	1566733.0	93.84	3073.0	99.0	98.0	28.0	6.0	34.0	B.1.1.7
SAMPLE_35	1377562.0	99.9	3801.0	100.0	100.0	31.0	4.0	35.0	B.1.1.7
SAMPLE_36	1759425.0	96.58	3994.0	100.0	99.0	26.0	4.0	30.0	B.1.1.7
SAMPLE_37	1675930.0	99.97	4616.0	100.0	100.0	27.0	4.0	31.0	B.1.1.7
SAMPLE_38	1828265.0	98.77	4844.0	100.0	99.0	30.0	4.0	34.0	B.1.1.7
SAMPLE_39	50.0	0.15						0.0	NA
SAMPLE_40	1066075.0	71.37	239.0	60.0	56.99999999999999	24.0	3.0	27.0	B.1.1.7
SAMPLE_41	1887417.0	99.94	5281.0	100.0	100.0	26.0	4.0	30.0	B.1.1.7
SAMPLE_42	1559747.0	99.79	4363.0	100.0	100.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_43	1798275.0	99.55	4942.0	100.0	100.0	32.0	4.0	36.0	B.1.1.7
SAMPLE_44	1543078.0	95.84	3624.0	100.0	100.0	33.0	4.0	37.0	B.1.1.7
SAMPLE_45	1382641.0	99.89	3840.0	100.0	100.0	28.0	4.0	32.0	B.1.1.7
SAMPLE_46	1182995.0	82.83	2615.0	99.0	98.0	30.0	5.0	35.0	B.1.1.7
SAMPLE_47	1404725.0	99.89	3901.0	100.0	100.0	29.0	4.0	33.0	B.1.1.7
SAMPLE_48	945057.0	99.23	2479.0	100.0	99.0	33.0	4.0	37.0	B.1.1.7
