id	taxonomy	Kingdom	Phylum	W	clr
0001d123420b59585627edf5a1292ae8	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1861	521.527799402542
00139475ebeacb30221ab9d18ca5c8af	Bacteria;Acidobacteria	Bacteria	Acidobacteria	2081	1276.1035886476757
0032ab5da12fadd744023dc9bbba5169	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1932	1684.6591595437071
006e11b2ea1993fe60f255c75ff4ea39	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2231	10747.269416481064
008753a5f283aef90aca08baa41ca477	Bacteria;Acidobacteria	Bacteria	Acidobacteria	1652	942.7676267865202
0093efa2968345efef497cc1f61f701a	Bacteria;Firmicutes	Bacteria	Firmicutes	2051	541.7554306594024
00b3b2150e42e194ffe3b073aea99750	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1861	244.12269915807903
00c646b2f0844ad5c8e119500626882f	Bacteria;Acidobacteria	Bacteria	Acidobacteria	1908	3672.5521695295847
00c7840bb74f3c51ae2b406a3b6baa42	Bacteria;Firmicutes	Bacteria	Firmicutes	2020	1423.2393636685106
00c905253e84aab5042613bcc22d568c	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2002	533.9093605466386
00f22fe0aa7d9b976a6a884f493a1b75	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2	1.559919304311028
01049ed06541016700a76a558da23604	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1918	728.8981786099944
0118d57337bccab8f376ba2917c68eb5	Bacteria;Ignavibacteriae	Bacteria	Ignavibacteriae	2174	39.04396377462542
0120687216806e6cc98f80f2e7b76f24	Bacteria;Verrucomicrobia	Bacteria	Verrucomicrobia	1944	1712.8288392658064
0120e49ae6ea4a9a8fde3869a578874f	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1882	947.7727121277117
0145f532c68abb2c968c851d2c54c122	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1423	48.23751931407409
01ba9201629c566386a455026eedf693	Bacteria;Acidobacteria	Bacteria	Acidobacteria	1572	207.74449656539903
01c5e1b0b66f91e3e737d86c5d03b5a4	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1	1.4792413860840736
0243b68c76049aa1b8c51a20333da950	Bacteria;Firmicutes	Bacteria	Firmicutes	2029	406.6408079662311
02607929198ffa00d73650d8b0806c98	Bacteria;Chloroflexi	Bacteria	Chloroflexi	1504	150.84536594008873
0267d8c8cad9465ee0b487971702ef56	Bacteria;candidate_division_WPS-1	Bacteria	candidate_division_WPS-1	1903	120.59661529792592
026b68ad384fbb3f5bb0f6769b1b4fce	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2455	9231.779482053613
02a021a4a33ccd51f4b020422088397b	Bacteria;Bacteroidetes	Bacteria	Bacteroidetes	1910	132.60579125280313
02a84bc2dfdf4f77b72193093b5aa685	Bacteria;Nitrospirae	Bacteria	Nitrospirae	2022	1222.504294768048
02b4cbe5c2955ab2f66dc82cdf6dad64	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2576	121.91320639406256
02efd40acff7cc9a0548e1d11ee37e4e	Bacteria;Verrucomicrobia	Bacteria	Verrucomicrobia	1813	170.68283219792067
030c9a5bc9906e439e589d7e6177d084	Bacteria;Acidobacteria	Bacteria	Acidobacteria	1695	4311.555133207093
0323fa720706eeab2366d96795c91ec7	Bacteria;Chloroflexi	Bacteria	Chloroflexi	1737	95.39798527933232
03289aeb9fd68acf3c80a39bbdb32248	Bacteria;Bacteroidetes	Bacteria	Bacteroidetes	1790	871.3481757157984
0334aea3bbb2bc1625cd30416727b98c	Bacteria;Chloroflexi	Bacteria	Chloroflexi	1998	1365.7948790874618
034ce8f3744982e02654608e52511a5b	Bacteria;Acidobacteria	Bacteria	Acidobacteria	1549	34.83808093952737
0380c1326d8afbb5bc9d0c33caaef2d9	Bacteria;candidate_division_WPS-1	Bacteria	candidate_division_WPS-1	5	1.2634963804513786
038ab7b08db73111313d1746e1634838	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1937	176.76375894430635
03a9ba790610f9c1d5670660789faaad	Bacteria;Proteobacteria	Bacteria	Proteobacteria	1608	412.85136771718544
040bd74a5c9b1a37501cd9fc4c554326	Archaea;Thaumarchaeota	Archaea	Thaumarchaeota	1563	29.701449906525248
04175f386c14319829ffb23d5c188b2a	Bacteria;Proteobacteria	Bacteria	Proteobacteria	2239	2419.2751503771283
048248139938aad54c73f98a6bd6777a	Bacteria;Actinobacteria	Bacteria	Actinobacteria	2	1.1391815702275685
04b4ed8ceabf387ba2caa3e54509965d	Bacteria;Bacteroidetes	Bacteria	Bacteroidetes	2090	4102.13813662227
