sample	taxonomy	count	habitat	Kingdom	Phylum
SRR10070130	Bacteria;Proteobacteria	41069.0	Riverwater	Bacteria	Proteobacteria
SRR10070131	Bacteria;Proteobacteria	42885.0	Riverwater	Bacteria	Proteobacteria
SRR10070132	Bacteria;Proteobacteria	15962.0	Groundwater	Bacteria	Proteobacteria
SRR10070133	Bacteria;Proteobacteria	42372.0	Groundwater	Bacteria	Proteobacteria
SRR10070134	Bacteria;Proteobacteria	50473.0	Riverwater	Bacteria	Proteobacteria
SRR10070141	Bacteria;Proteobacteria	26307.0	Groundwater	Bacteria	Proteobacteria
SRR10070149	Bacteria;Proteobacteria	25124.0	Sediment	Bacteria	Proteobacteria
SRR10070150	Bacteria;Proteobacteria	27408.0	Sediment	Bacteria	Proteobacteria
SRR10070151	Bacteria;Proteobacteria	25256.0	Sediment	Bacteria	Proteobacteria
SRR10102392	Bacteria;Proteobacteria	14605.0	Soil	Bacteria	Proteobacteria
SRR10102393	Bacteria;Proteobacteria	15595.0	Soil	Bacteria	Proteobacteria
SRR10102394	Bacteria;Proteobacteria	14565.0	Soil	Bacteria	Proteobacteria
SRR10070130	Bacteria;	1491.0	Riverwater	Bacteria	
SRR10070131	Bacteria;	1797.0	Riverwater	Bacteria	
SRR10070132	Bacteria;	1846.0	Groundwater	Bacteria	
SRR10070133	Bacteria;	8837.0	Groundwater	Bacteria	
SRR10070134	Bacteria;	1995.0	Riverwater	Bacteria	
SRR10070141	Bacteria;	4204.0	Groundwater	Bacteria	
SRR10070149	Bacteria;	10164.0	Sediment	Bacteria	
SRR10070150	Bacteria;	10678.0	Sediment	Bacteria	
SRR10070151	Bacteria;	10579.0	Sediment	Bacteria	
SRR10102392	Bacteria;	1657.0	Soil	Bacteria	
SRR10102393	Bacteria;	1757.0	Soil	Bacteria	
SRR10102394	Bacteria;	1389.0	Soil	Bacteria	
SRR10070130	Bacteria;Bacteroidetes	14502.0	Riverwater	Bacteria	Bacteroidetes
SRR10070131	Bacteria;Bacteroidetes	14881.0	Riverwater	Bacteria	Bacteroidetes
SRR10070132	Bacteria;Bacteroidetes	255.0	Groundwater	Bacteria	Bacteroidetes
SRR10070133	Bacteria;Bacteroidetes	1092.0	Groundwater	Bacteria	Bacteroidetes
SRR10070134	Bacteria;Bacteroidetes	17772.0	Riverwater	Bacteria	Bacteroidetes
SRR10070141	Bacteria;Bacteroidetes	611.0	Groundwater	Bacteria	Bacteroidetes
SRR10070149	Bacteria;Bacteroidetes	1762.0	Sediment	Bacteria	Bacteroidetes
SRR10070150	Bacteria;Bacteroidetes	2254.0	Sediment	Bacteria	Bacteroidetes
SRR10070151	Bacteria;Bacteroidetes	2119.0	Sediment	Bacteria	Bacteroidetes
SRR10102392	Bacteria;Bacteroidetes	2772.0	Soil	Bacteria	Bacteroidetes
SRR10102393	Bacteria;Bacteroidetes	2503.0	Soil	Bacteria	Bacteroidetes
SRR10102394	Bacteria;Bacteroidetes	2191.0	Soil	Bacteria	Bacteroidetes
SRR10070130	Bacteria;Acidobacteria	284.0	Riverwater	Bacteria	Acidobacteria
SRR10070131	Bacteria;Acidobacteria	318.0	Riverwater	Bacteria	Acidobacteria
SRR10070132	Bacteria;Acidobacteria	265.0	Groundwater	Bacteria	Acidobacteria
SRR10070133	Bacteria;Acidobacteria	672.0	Groundwater	Bacteria	Acidobacteria
SRR10070134	Bacteria;Acidobacteria	483.0	Riverwater	Bacteria	Acidobacteria
SRR10070141	Bacteria;Acidobacteria	735.0	Groundwater	Bacteria	Acidobacteria
SRR10070149	Bacteria;Acidobacteria	7814.0	Sediment	Bacteria	Acidobacteria
SRR10070150	Bacteria;Acidobacteria	8017.0	Sediment	Bacteria	Acidobacteria
SRR10070151	Bacteria;Acidobacteria	7158.0	Sediment	Bacteria	Acidobacteria
SRR10102392	Bacteria;Acidobacteria	18447.0	Soil	Bacteria	Acidobacteria
SRR10102393	Bacteria;Acidobacteria	17985.0	Soil	Bacteria	Acidobacteria
SRR10102394	Bacteria;Acidobacteria	15457.0	Soil	Bacteria	Acidobacteria
SRR10070130	Bacteria;Actinobacteria	589.0	Riverwater	Bacteria	Actinobacteria
SRR10070131	Bacteria;Actinobacteria	420.0	Riverwater	Bacteria	Actinobacteria
SRR10070132	Bacteria;Actinobacteria	401.0	Groundwater	Bacteria	Actinobacteria
SRR10070133	Bacteria;Actinobacteria	152.0	Groundwater	Bacteria	Actinobacteria
SRR10070134	Bacteria;Actinobacteria	604.0	Riverwater	Bacteria	Actinobacteria
SRR10070141	Bacteria;Actinobacteria	482.0	Groundwater	Bacteria	Actinobacteria
SRR10070149	Bacteria;Actinobacteria	1577.0	Sediment	Bacteria	Actinobacteria
SRR10070150	Bacteria;Actinobacteria	1270.0	Sediment	Bacteria	Actinobacteria
SRR10070151	Bacteria;Actinobacteria	624.0	Sediment	Bacteria	Actinobacteria
SRR10102392	Bacteria;Actinobacteria	5784.0	Soil	Bacteria	Actinobacteria
SRR10102393	Bacteria;Actinobacteria	6763.0	Soil	Bacteria	Actinobacteria
