individual_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
ID_1,39.1,18.7,181.0,3750.0
ID_2,39.5,17.4,186.0,3800.0
ID_3,40.3,18.0,195.0,3250.0
ID_4,36.7,19.3,193.0,3450.0
ID_5,39.3,20.6,190.0,3650.0
ID_6,38.9,17.8,181.0,3625.0
ID_7,39.2,19.6,195.0,4675.0
ID_8,34.1,18.1,193.0,3475.0
ID_9,42.0,20.2,190.0,4250.0
ID_10,37.8,17.1,186.0,3300.0
ID_11,37.8,17.3,180.0,3700.0
ID_12,41.1,17.6,182.0,3200.0
ID_13,38.6,21.2,191.0,3800.0
ID_14,34.6,21.1,198.0,4400.0
ID_15,36.6,17.8,185.0,3700.0
ID_16,38.7,19.0,195.0,3450.0
ID_17,42.5,20.7,197.0,4500.0
ID_18,34.4,18.4,184.0,3325.0
ID_19,46.0,21.5,194.0,4200.0
ID_20,37.8,18.3,174.0,3400.0
ID_21,37.7,18.7,180.0,3600.0
ID_22,35.9,19.2,189.0,3800.0
ID_23,38.2,18.1,185.0,3950.0
ID_24,38.8,17.2,180.0,3800.0
ID_25,35.3,18.9,187.0,3800.0
ID_26,40.6,18.6,183.0,3550.0
ID_27,40.5,17.9,187.0,3200.0
ID_28,37.9,18.6,172.0,3150.0
ID_29,40.5,18.9,180.0,3950.0
ID_30,39.5,16.7,178.0,3250.0
ID_31,37.2,18.1,178.0,3900.0
ID_32,39.5,17.8,188.0,3300.0
ID_33,40.9,18.9,184.0,3900.0
ID_34,36.4,17.0,195.0,3325.0
ID_35,39.2,21.1,196.0,4150.0
ID_36,38.8,20.0,190.0,3950.0
ID_37,42.2,18.5,180.0,3550.0
ID_38,37.6,19.3,181.0,3300.0
ID_39,39.8,19.1,184.0,4650.0
ID_40,36.5,18.0,182.0,3150.0
ID_41,40.8,18.4,195.0,3900.0
ID_42,36.0,18.5,186.0,3100.0
ID_43,44.1,19.7,196.0,4400.0
ID_44,37.0,16.9,185.0,3000.0
ID_45,39.6,18.8,190.0,4600.0
ID_46,41.1,19.0,182.0,3425.0
