individual_id,island,sex,year,species
ID_1,Dream,female,2007,Chinstrap
ID_2,Dream,male,2007,Chinstrap
ID_3,Dream,male,2007,Chinstrap
ID_4,Dream,female,2007,Chinstrap
ID_5,Dream,male,2007,Chinstrap
ID_6,Dream,female,2007,Chinstrap
ID_7,Dream,female,2007,Chinstrap
ID_8,Dream,male,2007,Chinstrap
ID_9,Dream,female,2007,Chinstrap
ID_10,Dream,male,2007,Chinstrap
ID_11,Dream,female,2007,Chinstrap
ID_12,Dream,male,2007,Chinstrap
ID_13,Dream,female,2007,Chinstrap
ID_14,Dream,male,2007,Chinstrap
ID_15,Dream,female,2007,Chinstrap
ID_16,Dream,male,2007,Chinstrap
ID_17,Dream,male,2007,Chinstrap
ID_18,Dream,female,2007,Chinstrap
ID_19,Dream,female,2007,Chinstrap
ID_20,Dream,male,2007,Chinstrap
ID_21,Dream,female,2007,Chinstrap
ID_22,Dream,male,2007,Chinstrap
ID_23,Dream,female,2007,Chinstrap
ID_24,Dream,male,2007,Chinstrap
ID_25,Dream,female,2007,Chinstrap
ID_26,Dream,male,2007,Chinstrap
ID_27,Dream,female,2008,Chinstrap
ID_28,Dream,male,2008,Chinstrap
ID_29,Dream,female,2008,Chinstrap
ID_30,Dream,male,2008,Chinstrap
ID_31,Dream,female,2008,Chinstrap
ID_32,Dream,male,2008,Chinstrap
ID_33,Dream,female,2008,Chinstrap
ID_34,Dream,male,2008,Chinstrap
ID_35,Dream,male,2008,Chinstrap
ID_36,Dream,female,2008,Chinstrap
ID_37,Dream,female,2008,Chinstrap
ID_38,Dream,male,2008,Chinstrap
ID_39,Dream,female,2008,Chinstrap
ID_40,Dream,male,2008,Chinstrap
ID_41,Dream,male,2008,Chinstrap
ID_42,Dream,female,2008,Chinstrap
ID_43,Dream,male,2008,Chinstrap
ID_44,Dream,female,2008,Chinstrap
ID_45,Dream,female,2009,Chinstrap
ID_46,Dream,male,2009,Chinstrap
ID_47,Dream,female,2009,Chinstrap
ID_48,Dream,male,2009,Chinstrap
ID_49,Dream,male,2009,Chinstrap
ID_50,Dream,female,2009,Chinstrap
ID_51,Dream,female,2009,Chinstrap
ID_52,Dream,male,2009,Chinstrap
ID_53,Dream,female,2009,Chinstrap
ID_54,Dream,male,2009,Chinstrap
ID_55,Dream,female,2009,Chinstrap
ID_56,Dream,male,2009,Chinstrap
ID_57,Dream,female,2009,Chinstrap
ID_58,Dream,male,2009,Chinstrap
ID_59,Dream,male,2009,Chinstrap
ID_60,Dream,female,2009,Chinstrap
ID_61,Dream,male,2009,Chinstrap
ID_62,Dream,female,2009,Chinstrap
ID_63,Dream,female,2009,Chinstrap
ID_64,Dream,male,2009,Chinstrap
ID_65,Dream,female,2009,Chinstrap
ID_66,Dream,male,2009,Chinstrap
ID_67,Dream,male,2009,Chinstrap
ID_68,Dream,female,2009,Chinstrap
