individual_id,island,sex,year,species
ID_1,Biscoe,female,2007,Gentoo
ID_2,Biscoe,male,2007,Gentoo
ID_3,Biscoe,female,2007,Gentoo
ID_4,Biscoe,male,2007,Gentoo
ID_5,Biscoe,male,2007,Gentoo
ID_6,Biscoe,female,2007,Gentoo
ID_7,Biscoe,female,2007,Gentoo
ID_8,Biscoe,male,2007,Gentoo
ID_9,Biscoe,female,2007,Gentoo
ID_10,Biscoe,male,2007,Gentoo
ID_11,Biscoe,female,2007,Gentoo
ID_12,Biscoe,male,2007,Gentoo
ID_13,Biscoe,female,2007,Gentoo
ID_14,Biscoe,male,2007,Gentoo
ID_15,Biscoe,female,2007,Gentoo
ID_16,Biscoe,male,2007,Gentoo
ID_17,Biscoe,female,2007,Gentoo
ID_18,Biscoe,male,2007,Gentoo
ID_19,Biscoe,female,2007,Gentoo
ID_20,Biscoe,male,2007,Gentoo
ID_21,Biscoe,male,2007,Gentoo
ID_22,Biscoe,female,2007,Gentoo
ID_23,Biscoe,female,2007,Gentoo
ID_24,Biscoe,male,2007,Gentoo
ID_25,Biscoe,female,2007,Gentoo
ID_26,Biscoe,male,2007,Gentoo
ID_27,Biscoe,,2007,Gentoo
ID_28,Biscoe,male,2007,Gentoo
ID_29,Biscoe,female,2007,Gentoo
ID_30,Biscoe,male,2007,Gentoo
ID_31,Biscoe,male,2007,Gentoo
ID_32,Biscoe,female,2007,Gentoo
ID_33,Biscoe,female,2007,Gentoo
ID_34,Biscoe,male,2007,Gentoo
ID_35,Biscoe,female,2008,Gentoo
ID_36,Biscoe,male,2008,Gentoo
ID_37,Biscoe,female,2008,Gentoo
ID_38,Biscoe,male,2008,Gentoo
ID_39,Biscoe,female,2008,Gentoo
ID_40,Biscoe,male,2008,Gentoo
ID_41,Biscoe,female,2008,Gentoo
ID_42,Biscoe,male,2008,Gentoo
ID_43,Biscoe,female,2008,Gentoo
ID_44,Biscoe,male,2008,Gentoo
ID_45,Biscoe,male,2008,Gentoo
ID_46,Biscoe,female,2008,Gentoo
ID_47,Biscoe,female,2008,Gentoo
ID_48,Biscoe,male,2008,Gentoo
ID_49,Biscoe,female,2008,Gentoo
ID_50,Biscoe,male,2008,Gentoo
ID_51,Biscoe,female,2008,Gentoo
ID_52,Biscoe,male,2008,Gentoo
ID_53,Biscoe,female,2008,Gentoo
ID_54,Biscoe,male,2008,Gentoo
ID_55,Biscoe,female,2008,Gentoo
ID_56,Biscoe,male,2008,Gentoo
ID_57,Biscoe,female,2008,Gentoo
ID_58,Biscoe,male,2008,Gentoo
ID_59,Biscoe,female,2008,Gentoo
ID_60,Biscoe,male,2008,Gentoo
ID_61,Biscoe,female,2008,Gentoo
ID_62,Biscoe,male,2008,Gentoo
ID_63,Biscoe,female,2008,Gentoo
ID_64,Biscoe,male,2008,Gentoo
ID_65,Biscoe,female,2008,Gentoo
ID_66,Biscoe,male,2008,Gentoo
ID_67,Biscoe,,2008,Gentoo
ID_68,Biscoe,male,2008,Gentoo
ID_69,Biscoe,female,2008,Gentoo
ID_70,Biscoe,male,2008,Gentoo
ID_71,Biscoe,female,2008,Gentoo
ID_72,Biscoe,male,2008,Gentoo
ID_73,Biscoe,male,2008,Gentoo
ID_74,Biscoe,female,2008,Gentoo
ID_75,Biscoe,female,2008,Gentoo
ID_76,Biscoe,male,2008,Gentoo
ID_77,Biscoe,female,2008,Gentoo
ID_78,Biscoe,male,2008,Gentoo
ID_79,Biscoe,female,2008,Gentoo
ID_80,Biscoe,male,2008,Gentoo
ID_81,Biscoe,female,2009,Gentoo
ID_82,Biscoe,male,2009,Gentoo
ID_83,Biscoe,female,2009,Gentoo
ID_84,Biscoe,male,2009,Gentoo
ID_85,Biscoe,female,2009,Gentoo
ID_86,Biscoe,male,2009,Gentoo
ID_87,Biscoe,female,2009,Gentoo
ID_88,Biscoe,male,2009,Gentoo
ID_89,Biscoe,female,2009,Gentoo
ID_90,Biscoe,male,2009,Gentoo
ID_91,Biscoe,female,2009,Gentoo
ID_92,Biscoe,male,2009,Gentoo
ID_93,Biscoe,female,2009,Gentoo
ID_94,Biscoe,male,2009,Gentoo
ID_95,Biscoe,female,2009,Gentoo
ID_96,Biscoe,male,2009,Gentoo
ID_97,Biscoe,male,2009,Gentoo
ID_98,Biscoe,female,2009,Gentoo
ID_99,Biscoe,female,2009,Gentoo
ID_100,Biscoe,male,2009,Gentoo
ID_101,Biscoe,female,2009,Gentoo
ID_102,Biscoe,male,2009,Gentoo
ID_103,Biscoe,female,2009,Gentoo
ID_104,Biscoe,male,2009,Gentoo
ID_105,Biscoe,,2009,Gentoo
ID_106,Biscoe,male,2009,Gentoo
ID_107,Biscoe,female,2009,Gentoo
ID_108,Biscoe,male,2009,Gentoo
ID_109,Biscoe,female,2009,Gentoo
ID_110,Biscoe,male,2009,Gentoo
ID_111,Biscoe,female,2009,Gentoo
ID_112,Biscoe,male,2009,Gentoo
ID_113,Biscoe,female,2009,Gentoo
ID_114,Biscoe,male,2009,Gentoo
ID_115,Biscoe,female,2009,Gentoo
ID_116,Biscoe,male,2009,Gentoo
ID_117,Biscoe,,2009,Gentoo
ID_118,Biscoe,male,2009,Gentoo
ID_119,Biscoe,female,2009,Gentoo
ID_120,Biscoe,female,2009,Gentoo
ID_121,Biscoe,male,2009,Gentoo
ID_122,Biscoe,female,2009,Gentoo
ID_123,Biscoe,male,2009,Gentoo
