sample,run,day,coverage,lineage,raw_reads,trimmed_reads,mapped_reads
SRR1000,1,2024-01-03,98.4,B.1.1.7,1000000,920000,745200
SRR1001,1,2024-01-05,12.5,B.1.617.2,1005000,924563,748907
SRR1002,1,2024-01-07,76.0,B.1.1.7,1010000,929126,752614
SRR1003,2,2024-01-09,55.25,P.1,1015000,933689,756321
SRR0001,2,2024-01-11,,B.1.617.2,1020000,938252,760028
SRR1005,2,2024-01-13,88.1,B.1.1.7,1025000,942815,763735
SRR1006,3,2024-01-15,250.0,,1030000,947378,767442
SRR1007,3,2024-01-17,41.9,AY.4,1035000,951941,771149
SRR1008,3,2024-01-19,63.3,P.1,1040000,956504,774856
SRR1009,4,2024-01-21,,B.1.617.2,1045000,961067,778563
SRR1010,4,2024-01-23,72.8,B.1.1.7,1050000,965630,782270
SRR1011,4,2024-01-25,90.0,B.1.617.2,1055000,970193,785977
SRR1012,5,2024-01-27,33.4,B.1.1.7,1060000,974756,789684
SRR1013,5,2024-01-29,58.6,P.1,1065000,979319,793391
SRR1014,5,2024-01-31,47.2,B.1.617.2,1070000,983882,797098
SRR1015,6,2024-02-02,81.7,B.1.1.7,1075000,988445,800805
SRR1016,6,2024-02-04,66.5,,1080000,993008,804512
SRR0001,6,2024-02-06,29.9,AY.4,1085000,997571,808219
SRR1018,1,2024-02-08,94.3,P.1,1090000,1002134,811926
SRR1019,2,2024-02-10,70.1,B.1.617.2,1095000,1006697,815633
SRR1020,3,2024-02-12,52.0,B.1.1.7,1100000,1011260,819340
SRR1021,4,2024-02-14,85.5,B.1.617.2,1105000,1015823,823047
SRR1022,5,2024-02-16,39.8,B.1.1.7,1110000,1020386,826754
SRR1023,6,2024-02-18,61.2,P.1,1115000,1024949,830461
SRR1024,1,2024-02-20,77.7,B.1.617.2,1120000,1029512,834168
SRR1025,2,2024-02-22,44.4,B.1.1.7,1125000,1034075,837875
SRR1026,3,2024-02-24,92.6,,1130000,1038638,841582
SRR1027,4,2024-02-26,36.1,AY.4,1135000,1043201,845289
SRR1028,5,2024-02-28,68.9,P.1,1140000,1047764,848996
SRR1029,6,2024-03-01,57.3,B.1.617.2,1145000,1052327,852703
