sample	gene_symbol	drug_class	hits	n_tools	tool_frac	mean_identity	mean_coverage
ERZ1664501	APH(3')-IIIa	aminoglycoside antibiotic	1.0	1	0.2	99.62	100.0
ERZ1664501	ErmB	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	1.0	1	0.2	98.37	98.79
ERZ1664501	ErmF	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	1.0	1	0.2	97.74	100.0
ERZ1664501	aadE	AMINOGLYCOSIDE	1.0	1	0.2	99.43	60.76
ERZ1664501	aadS	STREPTOMYCIN	3.0	3	0.6000000000000001	99.61333333333334	100.0
ERZ1664501	aph(2'')-Ig	AMINOGLYCOSIDE	1.0	1	0.2	98.83	55.88
ERZ1664501	aph(3')-IIIa	AMIKACIN;KANAMYCIN	2.0	2	0.4	99.745	100.0
ERZ1664501	b1	b1	21.0	1	0.2
ERZ1664501	b3	b3	21.0	1	0.2
ERZ1664501	cblA	BETA-LACTAM	1.0	1	0.2	98.61	72.97
ERZ1664501	class	class	5.0	1	0.2
ERZ1664501	classA	classA	10.0	1	0.2
ERZ1664501	efflux	efflux	29.0	1	0.2
ERZ1664501	enzyme	enzyme	52.0	1	0.2
ERZ1664501	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	2.0	2	0.4	99.725	100.0
ERZ1664501	erm(F)	MACROLIDE	2.0	2	0.4	99.75	100.0
ERZ1664501	erm(G)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	1.0	1	0.2	97.65	69.67
ERZ1664501	estT	MACROLIDE	1.0	1	0.2	98.58	100.0
ERZ1664501	lnu(AN2)	LINCOSAMIDE	2.0	2	0.4	100.0	100.0
ERZ1664501	lnu(C)	LINCOSAMIDE	2.0	2	0.4	98.68	100.0
ERZ1664501	lnuC	lincosamide antibiotic	1.0	1	0.2	98.17	100.0
ERZ1664501	mef(A)	MACROLIDE	1.0	1	0.2	98.43	78.19
ERZ1664501	nimJ	nitroimidazole antibiotic	1.0	1	0.2	49.06	98.18
ERZ1664501	tet(40)	TETRACYCLINE	2.0	2	0.4	97.72999999999999	86.63499999999999
ERZ1664501	tet(44)	tetracycline antibiotic	1.0	1	0.2	98.15	42.19
ERZ1664501	tet(Q)	TETRACYCLINE	3.0	3	0.6000000000000001	98.57333333333334	100.0
ERZ1664501	tet(W)	TETRACYCLINE	3.0	3	0.6000000000000001	99.42	96.07333333333334
ERZ1664501	tet(X2)	TETRACYCLINE	1.0	1	0.2	99.64	71.13
ERZ1664501	vanT gene in vanG cluster	glycopeptide antibiotic	3.0	1	0.2	35.593333333333334	72.89333333333333
ERZ1664501	vanXY gene in vanG cluster	glycopeptide antibiotic	1.0	1	0.2	38.46	77.17
ERZ1664503	aph(3')-IIIa	AMIKACIN;KANAMYCIN	2.0	2	0.4	100.0	88.345
ERZ1664503	lnu(AN2)	LINCOSAMIDE	2.0	2	0.4	100.0	100.0
ERZ1664503	lnu(C)	LINCOSAMIDE	2.0	2	0.4	98.275	100.0
