cds_id	dim_1	dim_2	sample	prob_ampir	prob_macrel	prob_max	charge_class	aa_length
ERZ1664507!ERZ1664507.16331-NODE-16331-length-531-cov-1.550420_2	1.399751051579319	1.1256249969304672	ERZ1664507	1.0	0.0	1.0	neutral	69
ERZ1664507!ERZ1664507.11669-NODE-11669-length-604-cov-1.380692_2	0.38175781704436124	-1.1858218886678609	ERZ1664507	0.999	0.0	0.999	basic	74
ERZ1664521!ERZ1664521.10390-NODE-10390-length-719-cov-3.868976_1	-0.6397416063115775	-2.7505027534210607	ERZ1664521	1.0	0.0	1.0	basic	87
ERZ1664521!ERZ1664521.20606-NODE-20606-length-528-cov-1.463002_1	0.19173036897913578	1.5784376139478977	ERZ1664521	0.999	0.0	0.999	acidic	62
ERZ1664515!ERZ1664515.13837-NODE-13837-length-511-cov-1.157895_1	0.5285191866327146	-1.2787467856676666	ERZ1664515	0.999	0.0	0.999	basic	107
ERZ1664515!ERZ1664515.8868-NODE-8868-length-606-cov-1.589837_1	-0.19192598415821563	-1.6507395672684695	ERZ1664515	0.999	0.0	0.999	basic	106
ERZ1664511!ERZ1664511.1284-NODE-1284-length-1436-cov-2.485880_1	-0.09152611006432024	-0.4155214629838159	ERZ1664511	0.999	0.0	0.999	basic	79
ERZ1664511!ERZ1664511.1479-NODE-1479-length-1345-cov-1.657364_2	1.903204523693974	0.574600268298238	ERZ1664511	0.997	0.0	0.997	acidic	71
ERZ1664501!ERZ1664501.16564-NODE-16564-length-566-cov-1.409002_1	-0.06253820248519878	0.6863454031143047	ERZ1664501	0.999	0.0	0.999	neutral	77
ERZ1664501!ERZ1664501.1260-NODE-1260-length-1812-cov-2.627775_3	2.6606157476635093	0.13832385970753464	ERZ1664501	0.997	0.0	0.997	basic	72
ERZ1664517!ERZ1664517.2619-NODE-2619-length-1008-cov-2.636936_2	-0.20178175609298643	-0.34223417180356364	ERZ1664517	0.999	0.0	0.999	basic	71
ERZ1664517!ERZ1664517.2756-NODE-2756-length-991-cov-1.064103_3	0.8191059821226299	-0.0056389859155140535	ERZ1664517	0.999	0.0	0.999	neutral	70
ERZ1664505!ERZ1664505.19775-NODE-19776-length-543-cov-0.987705_1	1.16064681733539	0.1129896187642001	ERZ1664505	0.999	0.0	0.999	basic	106
ERZ1664505!ERZ1664505.16570-NODE-16570-length-581-cov-1.414449_1	-0.35161100265496253	0.4833920445297006	ERZ1664505	0.999	0.0	0.999	acidic	73
ERZ1664516!ERZ1664516.10666-NODE-10666-length-519-cov-2.842672_1	0.9999108604344227	-0.029884066184774613	ERZ1664516	0.998	0.0	0.998	basic	74
ERZ1664516!ERZ1664516.671-NODE-671-length-2185-cov-4.730516_4	1.680927835308676	-1.1553702110308515	ERZ1664516	0.997	0.0	0.997	basic	80
ERZ1664520!ERZ1664520.17156-NODE-17156-length-509-cov-0.993392_1	1.3815324231663222	0.9739093460753273	ERZ1664520	0.998	0.0	0.998	acidic	64
ERZ1664520!ERZ1664520.5095-NODE-5095-length-904-cov-3.260306_1	2.6606157476635093	0.13832385970753464	ERZ1664520	0.997	0.0	0.997	basic	72
ERZ1664503!ERZ1664503.4525-NODE-4525-length-1031-cov-1.640369_2	-0.10846507466052661	-0.4194467915338982	ERZ1664503	0.998	0.0	0.998	basic	92
ERZ1664503!ERZ1664503.13771-NODE-13771-length-629-cov-0.907666_2	0.4479163238132731	1.018509936357012	ERZ1664503	0.997	0.0	0.997	acidic	58
ERZ1664524!ERZ1664524.3777-NODE-3777-length-1160-cov-3.228959_2	0.10650599353071641	-1.396053490143733	ERZ1664524	0.998	0.0	0.998	neutral	79
ERZ1664524!ERZ1664524.9459-NODE-9459-length-722-cov-2.205397_2	1.325021291511912	0.7396044222909265	ERZ1664524	0.996	0.0	0.996	basic	75
ERZ1664510!ERZ1664510.4380-NODE-4380-length-930-cov-2.888000_1	0.4401624760339693	-0.7955511623316346	ERZ1664510	0.998	0.0	0.998	basic	71
ERZ1664510!ERZ1664510.3684-NODE-3684-length-1012-cov-2.164054_3	1.085587392024732	-0.5587744834198196	ERZ1664510	0.994	0.0	0.994	basic	56
ERZ1664528!ERZ1664528.7880-NODE-7880-length-849-cov-1.489924_1	0.4949761595491717	-1.4421739601398993	ERZ1664528	0.998	0.0	0.998	basic	103
ERZ1664528!ERZ1664528.6397-NODE-6397-length-947-cov-4.179372_2	1.6177386438431303	-1.3342833777585386	ERZ1664528	0.994	0.0	0.994	basic	83
ERZ1664508!ERZ1664508.1573-NODE-1573-length-1705-cov-1.858788_1	0.7813243857964987	-0.035985019786054874	ERZ1664508	0.998	0.0	0.998	basic	56
ERZ1664508!ERZ1664508.21614-NODE-21614-length-556-cov-1.874251_2	-0.33025391555803335	-0.7975913612911721	ERZ1664508	0.997	0.0	0.997	basic	105
ERZ1664509!ERZ1664509.4926-NODE-4926-length-722-cov-1.395802_2	0.23518192581247996	1.1166233533688261	ERZ1664509	0.998	0.0	0.998	neutral	69
ERZ1664509!ERZ1664509.1750-NODE-1750-length-1167-cov-1.564748_3	0.14106341417530607	1.3734983665199978	ERZ1664509	0.997	0.0	0.997	acidic	49
ERZ1664518!ERZ1664518.3341-NODE-3341-length-979-cov-1.652597_1	1.1826905637891876	-1.141726020167579	ERZ1664518	0.997	0.0	0.997	basic	80
ERZ1664518!ERZ1664518.614-NODE-614-length-2236-cov-2.110958_1	1.4154517424451702	-0.7754742846377239	ERZ1664518	0.997	0.0	0.997	basic	61
ERZ1664506!ERZ1664506.2696-NODE-2696-length-903-cov-2.600236_1	-0.008195401679748358	-0.2390673441408855	ERZ1664506	0.995	0.0	0.995	acidic	68
ERZ1664506!ERZ1664506.3207-NODE-3207-length-843-cov-1.060914_2	1.0561520108290647	-0.8555311041721406	ERZ1664506	0.988	0.0	0.988	basic	72
ERZ1664504!ERZ1664504.7496-NODE-7496-length-566-cov-2.250489_2	0.43347440453726277	0.5259976936446753	ERZ1664504	0.995	0.0	0.995	basic	70
ERZ1664504!ERZ1664504.4713-NODE-4713-length-694-cov-0.882629_2	1.062450838648421	-1.621382010165001	ERZ1664504	0.994	0.0	0.994	basic	68
ERZ1664523!ERZ1664523.6102-NODE-6102-length-729-cov-1.256677_1	-0.6720515595937541	-0.9519096843749879	ERZ1664523	0.995	0.0	0.995	basic	120
ERZ1664523!ERZ1664523.2808-NODE-2808-length-1004-cov-1.671233_2	2.3732662249288166	-1.2676725343577455	ERZ1664523	0.995	0.0	0.995	basic	63
