sample	chromosome	position	coverage	coverage_std	global_position
COD076E1bL1	NC_044048.1	837459	0.47273506687197037	1.0821253803850588	837459
COD076E1bL1	NC_044048.1	2512376	0.5067325724200065	1.1138308163242676	2512376
COD076E1bL1	NC_044048.1	4187293	1.0412301027453899	1.283565869308818	4187293
COD076E1bL1	NC_044048.1	5862210	0.944181114646278	1.5547805219060913	5862210
COD076E1bL1	NC_044048.1	7537127	0.6797077108895545	1.3034796191564613	7537127
COD076E1bL1	NC_044048.1	9212044	0.9768275084675838	1.587131849607244	9212044
COD076E1bL1	NC_044048.1	10886961	1.054580615039432	1.3289431521958592	10886961
COD076E1bL1	NC_044048.1	12561878	1.0923735325392243	1.34716210997992	12561878
COD092E1bL1i69	NC_044048.1	837459	0.5231930895680204	1.199821251462177	837459
COD092E1bL1i69	NC_044048.1	2512376	0.591731411168434	1.2700348750770267	2512376
COD092E1bL1i69	NC_044048.1	4187293	1.1514654158982207	1.5077320479789258	4187293
COD092E1bL1i69	NC_044048.1	5862210	1.022589179045887	1.3694301360018843	5862210
COD092E1bL1i69	NC_044048.1	7537127	0.7244185831297909	1.4159602849462256	7537127
COD092E1bL1i69	NC_044048.1	9212044	1.099135658662489	1.4740320051486422	9212044
COD092E1bL1i69	NC_044048.1	10886961	1.1805880530199406	1.5772145239279112	10886961
COD092E1bL1i69	NC_044048.1	12561878	1.2618087941074094	1.6505147290315265	12561878
