sample	peak_id	threshold_mode	chr	start	end	width	summit	total_signal	max_signal	signal_density	log10_total_signal
h3k27me3_R1	h3k27me3_R1:chr16:84828818-84856872	stringent	chr16	84828818	84856872	28054	84842981	16364392.0	2011.17	583.3176017680188	7.21389990077512
h3k27me3_R1	h3k27me3_R1:chr21:36691390-36711211	stringent	chr21	36691390	36711211	19821	36709441	19004900.0	3128.49	958.8264971494879	7.278865611625746
h3k27me3_R1	h3k27me3_R1:chr22:19592188-19626403	stringent	chr22	19592188	19626403	34215	19607561	23995937.0	4022.35	701.3279848019874	7.380137731149536
h3k27me3_R1	h3k27me3_R1:chr5:154470660-154487096	stringent	chr5	154470660	154487096	16436	154474257	17237601.0	3296.09	1048.7710513506936	7.236476849040677
h3k27me3_R1	h3k27me3_R1:chr7:155639-190193	stringent	chr7	155639	190193	34554	158063	20887700.0	2234.64	604.4944145395613	7.319890642088562
h3k27me3_R1	h3k27me3_R1:chr9:130899101-130943151	stringent	chr9	130899101	130943151	44050	130917759	135487732.0	11676.0	3075.7714415437003	8.131899976158198
h3k27me3_R1	h3k27me3_R1:chr9:130972569-130994968	stringent	chr9	130972569	130994968	22399	130982793	34963700.0	5642.46	1560.9491495156033	7.543617397612388
h3k27me3_R1	h3k27me3_R1:chr9:131006460-131045801	stringent	chr9	131006460	131045801	39341	131026437	74258600.0	7430.17	1887.5625937317302	7.87074676304657
h3k27me3_R1	h3k27me3_R1:chr9:131059354-131100611	stringent	chr9	131059354	131100611	41257	131063372	44149600.0	4525.14	1070.1117386140534	7.644926783014804
h3k27me3_R1	h3k27me3_R1:chr9:131103266-131122058	stringent	chr9	131103266	131122058	18792	131111754	23693900.0	5027.93	1260.850361856109	7.374636569515497
h3k27me3_R2	h3k27me3_R2:chr22:19663095-19672475	stringent	chr22	19663095	19672475	9380	19666276	1716460.0	554.09	182.99147121535182	6.234633940195668
h3k27me3_R2	h3k27me3_R2:chr22:23081791-23119007	stringent	chr22	23081791	23119007	37216	23103922	7417020.0	765.172	199.29653912295788	6.870229508642535
h3k27me3_R2	h3k27me3_R2:chr22:23147696-23166026	stringent	chr22	23147696	23166026	18330	23153967	4424410.0	791.557	241.37534097108565	6.645855463400907
h3k27me3_R2	h3k27me3_R2:chr9:130895346-130909668	stringent	chr9	130895346	130909668	14322	130906577	4680980.0	1108.18	326.8384303868175	6.670336878339169
h3k27me3_R2	h3k27me3_R2:chr9:130909830-130945111	stringent	chr9	130909830	130945111	35281	130924409	16052700.0	1398.42	454.9956067004903	7.205548116535541
h3k27me3_R2	h3k27me3_R2:chr9:130960854-130993977	stringent	chr9	130960854	130993977	33123	130982833	9667973.0	1134.56	291.8809588503457	6.985335473792738
h3k27me3_R2	h3k27me3_R2:chr9:131006802-131043344	stringent	chr9	131006802	131043344	36542	131014043	13775500.0	1134.56	376.9771769470746	7.139107402629359
h3k27me3_R2	h3k27me3_R2:chr9:131048100-131058836	stringent	chr9	131048100	131058836	10736	131050030	2693720.0	870.712	250.9053651266766	6.430352612012363
h3k27me3_R2	h3k27me3_R2:chr9:131059309-131099788	stringent	chr9	131059309	131099788	40479	131063459	12766000.0	1187.34	315.3734034931693	7.106054874113405
h3k27me3_R2	h3k27me3_R2:chr9:131102298-131121844	stringent	chr9	131102298	131121844	19546	131117493	5539550.0	1029.02	283.41092806712373	6.7434745650669115
h3k4me3_R1	h3k4me3_R1:chr1:28504778-28511467	stringent	chr1	28504778	28511467	6689	28507829	16276800.0	8252.79	2433.3682164748093	7.211569053835481
h3k4me3_R1	h3k4me3_R1:chr1:46300953-46306850	stringent	chr1	46300953	46306850	5897	46302855	16085200.0	8921.93	2727.6920468034596	7.206426492197606
h3k4me3_R1	h3k4me3_R1:chr13:91347014-91351580	stringent	chr13	91347014	91351580	4566	91348242	22591400.0	18104.1	4947.744196233027	7.353943164417592
h3k4me3_R1	h3k4me3_R1:chr22:20115635-20119388	stringent	chr22	20115635	20119388	3753	20117948	16304000.0	15539.0	4344.25792699174	7.2122941932996465
h3k4me3_R1	h3k4me3_R1:chr22:20916173-20921108	stringent	chr22	20916173	20921108	4935	20918072	25251000.0	35427.5	5116.717325227964	7.40227859909466
h3k4me3_R1	h3k4me3_R1:chr3:128482750-128493864	stringent	chr3	128482750	128493864	11114	128487094	15856400.0	4460.97	1426.7050566852618	7.20020462035797
h3k4me3_R1	h3k4me3_R1:chr6:37169490-37175724	stringent	chr6	37169490	37175724	6234	37171123	17503800.0	14981.4	2807.795957651588	7.243132367205143
h3k4me3_R1	h3k4me3_R1:chr6:67882059-67889478	stringent	chr6	67882059	67889478	7419	67886978	18125100.0	7026.02	2443.065103113627	7.258280435304848
h3k4me3_R1	h3k4me3_R1:chr9:131272706-131278837	stringent	chr9	131272706	131278837	6131	131275853	30779200.0	16096.7	5020.257706736258	7.488257341752934
h3k4me3_R1	h3k4me3_R1:chrM:0-16569	stringent	chrM	0	16569	16569	13069	21300000.0	3903.35	1285.5332246967228	7.328379623828149
h3k4me3_R2	h3k4me3_R2:chr1:46300594-46307739	stringent	chr1	46300594	46307739	7145	46302855	671264.0	231.129	93.94877536738979	5.826894003503802
h3k4me3_R2	h3k4me3_R2:chr13:91346694-91351564	stringent	chr13	91346694	91351564	4870	91348804	1025630.0	608.543	210.60164271047228	6.0109911390521535
h3k4me3_R2	h3k4me3_R2:chr22:19477441-19481131	stringent	chr22	19477441	19481131	3690	19479202	677929.0	421.299	183.72059620596207	5.831184852888899
h3k4me3_R2	h3k4me3_R2:chr22:20916273-20922872	stringent	chr22	20916273	20922872	6599	20918072	1028040.0	886.483	155.7872404909835	6.012010435397277
h3k4me3_R2	h3k4me3_R2:chr3:150407290-150415877	stringent	chr3	150407290	150415877	8587	150411053	707223.0	225.278	82.3597298241528	5.849556990255451
h3k4me3_R2	h3k4me3_R2:chr6:67881592-67889768	stringent	chr6	67881592	67889768	8176	67886545	774497.0	225.278	94.72810665362036	5.889020300610285
h3k4me3_R2	h3k4me3_R2:chr7:105009202-105018149	stringent	chr7	105009202	105018149	8947	105014135	767668.0	403.745	85.80172124734548	5.88517400328658
h3k4me3_R2	h3k4me3_R2:chr7:120987576-120996477	stringent	chr7	120987576	120996477	8901	120991028	809348.0	327.677	90.92776092573868	5.908135834455835
h3k4me3_R2	h3k4me3_R2:chr9:131123939-131127364	stringent	chr9	131123939	131127364	3425	131125832	809286.0	819.193	236.28788321167883	5.908102564149366
h3k4me3_R2	h3k4me3_R2:chr9:131272225-131280117	stringent	chr9	131272225	131280117	7892	131275454	1462670.0	555.881	185.33578307146476	6.165146650832943
