sample	stage	scope	chrom	length	bases	mean_depth	min_depth	max_depth
NA12878_200M	md	genome	chr1	248956422	1474127956	5.92	0	4870
NA12878_200M	md	genome	chr10	133797422	568515810	4.25	0	2119
NA12878_200M	md	genome	chr11	135086622	795501643	5.89	0	3422
NA12878_200M	md	genome	chr12	133275309	749443661	5.62	0	4626
NA12878_200M	md	region	chr1	4878099	956867123	196.16	0	4870
NA12878_200M	md	region	chr10	1935685	354988461	183.39	0	2119
NA12878_200M	md	region	chr11	2831786	542938119	191.73	0	3422
NA12878_200M	md	region	chr12	2610899	488153994	186.97	0	2247
NA12878_200M	recal	genome	chr1	248956422	1148082695	4.61	0	4870
NA12878_200M	recal	genome	chr10	133797422	431994104	3.23	0	2119
NA12878_200M	recal	genome	chr11	135086622	642422814	4.76	0	3422
NA12878_200M	recal	genome	chr12	133275309	592124666	4.44	0	2247
NA12878_200M	recal	region	chr1	4878099	956867123	196.16	0	4870
NA12878_200M	recal	region	chr10	1935685	354988461	183.39	0	2119
NA12878_200M	recal	region	chr11	2831786	542938119	191.73	0	3422
NA12878_200M	recal	region	chr12	2610899	488153994	186.97	0	2247
