sample	chromosome	start	end	position	methylation_pct	n_cpg	cpg_density_class
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	10000	20000	15000	96.7741935483871	62	Intermediate
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	810000	820000	815000	81.61764705882354	34	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	980000	990000	985000	79.41176470588235	34	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1110000	1120000	1115000	100.0	24	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1260000	1270000	1265000	90.0	30	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1420000	1430000	1425000	95.0	120	CpG-dense
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1550000	1560000	1555000	100.0	37	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1680000	1690000	1685000	100.0	47	Intermediate
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1830000	1840000	1835000	91.66666666666667	48	Intermediate
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	1930000	1940000	1935000	96.66666666666667	60	Intermediate
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	2080000	2090000	2085000	88.31168831168831	77	CpG-dense
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	2230000	2240000	2235000	76.19047619047619	21	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	2390000	2400000	2395000	92.10526315789474	38	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	2830000	2840000	2835000	96.66666666666667	30	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	3060000	3070000	3065000	0.0	37	CpG-poor
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	chr1	3200000	3210000	3205000	72.41379310344827	29	CpG-poor
