chrom	start	end	position	coverage	sample	gene_region
MN908947.3	0	200	100	3949.17	SAMPLE_03	5'UTR
MN908947.3	200	400	300	7004.65	SAMPLE_03	ORF1ab
MN908947.3	400	600	500	4790.18	SAMPLE_03	ORF1ab
MN908947.3	600	800	700	7059.12	SAMPLE_03	ORF1ab
MN908947.3	800	1000	900	6357.25	SAMPLE_03	ORF1ab
MN908947.3	1000	1200	1100	6443.0	SAMPLE_03	ORF1ab
MN908947.3	1200	1400	1300	4292.97	SAMPLE_03	ORF1ab
MN908947.3	1400	1600	1500	505.02	SAMPLE_03	ORF1ab
MN908947.3	1600	1800	1700	1449.67	SAMPLE_03	ORF1ab
MN908947.3	1800	2000	1900	1147.04	SAMPLE_03	ORF1ab
MN908947.3	2000	2200	2100	131.83	SAMPLE_03	ORF1ab
MN908947.3	2200	2400	2300	1583.73	SAMPLE_03	ORF1ab
MN908947.3	2400	2600	2500	1919.54	SAMPLE_03	ORF1ab
MN908947.3	2600	2800	2700	31.85	SAMPLE_03	ORF1ab
MN908947.3	2800	3000	2900	4482.37	SAMPLE_03	ORF1ab
MN908947.3	3000	3200	3100	5438.1	SAMPLE_03	ORF1ab
MN908947.3	3200	3400	3300	5720.58	SAMPLE_03	ORF1ab
MN908947.3	3400	3600	3500	4042.02	SAMPLE_03	ORF1ab
MN908947.3	3600	3800	3700	797.68	SAMPLE_03	ORF1ab
MN908947.3	3800	4000	3900	1629.06	SAMPLE_03	ORF1ab
MN908947.3	4000	4200	4100	4564.1	SAMPLE_03	ORF1ab
MN908947.3	4200	4400	4300	6387.73	SAMPLE_03	ORF1ab
MN908947.3	4400	4600	4500	3935.63	SAMPLE_03	ORF1ab
MN908947.3	4600	4800	4700	3059.79	SAMPLE_03	ORF1ab
MN908947.3	4800	5000	4900	2485.07	SAMPLE_03	ORF1ab
MN908947.3	5000	5200	5100	351.16	SAMPLE_03	ORF1ab
MN908947.3	5200	5400	5300	3817.66	SAMPLE_03	ORF1ab
MN908947.3	5400	5600	5500	6009.99	SAMPLE_03	ORF1ab
MN908947.3	5600	5800	5700	12405.55	SAMPLE_03	ORF1ab
MN908947.3	5800	6000	5900	7100.33	SAMPLE_03	ORF1ab
MN908947.3	6000	6200	6100	2743.97	SAMPLE_03	ORF1ab
MN908947.3	6200	6400	6300	10539.9	SAMPLE_03	ORF1ab
MN908947.3	6400	6600	6500	8807.06	SAMPLE_03	ORF1ab
MN908947.3	6600	6800	6700	7106.72	SAMPLE_03	ORF1ab
MN908947.3	6800	7000	6900	1787.97	SAMPLE_03	ORF1ab
MN908947.3	7000	7200	7100	628.06	SAMPLE_03	ORF1ab
MN908947.3	7200	7400	7300	2735.53	SAMPLE_03	ORF1ab
MN908947.3	7400	7600	7500	7509.17	SAMPLE_03	ORF1ab
MN908947.3	7600	7800	7700	7198.91	SAMPLE_03	ORF1ab
MN908947.3	7800	8000	7900	6679.55	SAMPLE_03	ORF1ab
MN908947.3	8000	8200	8100	7807.51	SAMPLE_03	ORF1ab
MN908947.3	8200	8400	8300	5495.34	SAMPLE_03	ORF1ab
MN908947.3	8400	8600	8500	1494.74	SAMPLE_03	ORF1ab
MN908947.3	8600	8800	8700	528.11	SAMPLE_03	ORF1ab
MN908947.3	8800	9000	8900	2890.7	SAMPLE_03	ORF1ab
MN908947.3	9000	9200	9100	7795.4	SAMPLE_03	ORF1ab
MN908947.3	9200	9400	9300	2739.43	SAMPLE_03	ORF1ab
MN908947.3	9400	9600	9500	7806.25	SAMPLE_03	ORF1ab
MN908947.3	9600	9800	9700	10404.0	SAMPLE_03	ORF1ab
MN908947.3	9800	10000	9900	1839.58	SAMPLE_03	ORF1ab
MN908947.3	10000	10200	10100	5433.86	SAMPLE_03	ORF1ab
MN908947.3	10200	10400	10300	7805.12	SAMPLE_03	ORF1ab
MN908947.3	10400	10600	10500	5425.8	SAMPLE_03	ORF1ab
MN908947.3	10600	10800	10700	4258.56	SAMPLE_03	ORF1ab
MN908947.3	10800	11000	10900	1662.9	SAMPLE_03	ORF1ab
MN908947.3	11000	11200	11100	14473.08	SAMPLE_03	ORF1ab
MN908947.3	11200	11400	11300	20486.44	SAMPLE_03	ORF1ab
MN908947.3	11400	11600	11500	4061.03	SAMPLE_03	ORF1ab
MN908947.3	11600	11800	11700	3872.72	SAMPLE_03	ORF1ab
MN908947.3	11800	12000	11900	5846.82	SAMPLE_03	ORF1ab
MN908947.3	12000	12200	12100	8362.09	SAMPLE_03	ORF1ab
MN908947.3	12200	12400	12300	5930.58	SAMPLE_03	ORF1ab
MN908947.3	12400	12600	12500	11634.94	SAMPLE_03	ORF1ab
MN908947.3	12600	12800	12700	13721.14	SAMPLE_03	ORF1ab
MN908947.3	12800	13000	12900	5561.8	SAMPLE_03	ORF1ab
MN908947.3	13000	13200	13100	18655.17	SAMPLE_03	ORF1ab
