chrom	start	end	chrom2	start2	end2	count	resolution
chr7	26600000	26610000	chr7	26600000	26610000	263	10000
chr7	26600000	26610000	chr7	26610000	26620000	104	10000
chr7	26600000	26610000	chr7	26620000	26630000	50	10000
chr7	26600000	26610000	chr7	26630000	26640000	35	10000
chr7	26600000	26610000	chr7	26640000	26650000	31	10000
chr7	26600000	26610000	chr7	26650000	26660000	17	10000
chr7	26600000	26610000	chr7	26660000	26670000	13	10000
chr7	26600000	26610000	chr7	26670000	26680000	15	10000
chr7	26600000	26610000	chr7	26680000	26690000	11	10000
chr7	26600000	26610000	chr7	26690000	26700000	11	10000
chr7	26600000	26610000	chr7	26700000	26710000	10	10000
chr7	26600000	26610000	chr7	26710000	26720000	8	10000
chr7	26600000	26610000	chr7	26720000	26730000	7	10000
chr7	26600000	26610000	chr7	26730000	26740000	6	10000
chr7	26600000	26610000	chr7	26740000	26750000	6	10000
chr7	26600000	26610000	chr7	26750000	26760000	4	10000
chr7	26600000	26610000	chr7	26760000	26770000	4	10000
chr7	26600000	26610000	chr7	26770000	26780000	4	10000
chr7	26600000	26610000	chr7	26780000	26790000	3	10000
chr7	26600000	26610000	chr7	26790000	26800000	4	10000
chr7	26600000	26610000	chr7	26800000	26810000	3	10000
chr7	26600000	26610000	chr7	26810000	26820000	3	10000
chr7	26600000	26610000	chr7	26820000	26830000	3	10000
chr7	26600000	26610000	chr7	26830000	26840000	3	10000
chr7	26600000	26610000	chr7	26840000	26850000	3	10000
chr7	26600000	26610000	chr7	26850000	26860000	3	10000
chr7	26600000	26610000	chr7	26860000	26870000	2	10000
chr7	26600000	26610000	chr7	26870000	26880000	2	10000
chr7	26600000	26610000	chr7	26880000	26890000	2	10000
chr7	26600000	26610000	chr7	26890000	26900000	2	10000
chr7	26600000	26610000	chr7	26900000	26910000	1	10000
chr7	26600000	26610000	chr7	26910000	26920000	2	10000
chr7	26600000	26610000	chr7	26920000	26930000	2	10000
chr7	26600000	26610000	chr7	26930000	26940000	2	10000
chr7	26600000	26610000	chr7	26940000	26950000	2	10000
chr7	26600000	26610000	chr7	26950000	26960000	2	10000
chr7	26600000	26610000	chr7	26960000	26970000	2	10000
chr7	26600000	26610000	chr7	26970000	26980000	1	10000
chr7	26600000	26610000	chr7	26980000	26990000	1	10000
chr7	26600000	26610000	chr7	26990000	27000000	1	10000
chr7	26600000	26610000	chr7	27000000	27010000	1	10000
chr7	26600000	26610000	chr7	27010000	27020000	1	10000
chr7	26600000	26610000	chr7	27020000	27030000	1	10000
chr7	26600000	26610000	chr7	27030000	27040000	1	10000
chr7	26600000	26610000	chr7	27040000	27050000	1	10000
chr7	26600000	26610000	chr7	27050000	27060000	1	10000
chr7	26600000	26610000	chr7	27060000	27070000	1	10000
chr7	26600000	26610000	chr7	27070000	27080000	1	10000
chr7	26600000	26610000	chr7	27080000	27090000	1	10000
chr7	26600000	26610000	chr7	27090000	27100000	1	10000
chr7	26600000	26610000	chr7	27100000	27110000	1	10000
chr7	26600000	26610000	chr7	27110000	27120000	1	10000
chr7	26600000	26610000	chr7	27120000	27130000	1	10000
chr7	26600000	26610000	chr7	27130000	27140000	1	10000
chr7	26600000	26610000	chr7	27140000	27150000	1	10000
chr7	26600000	26610000	chr7	27150000	27160000	1	10000
chr7	26600000	26610000	chr7	27160000	27170000	1	10000
chr7	26600000	26610000	chr7	27170000	27180000	1	10000
