intron	chrom	start	end	intron_length	strand	gene	gene_id	uniq_mapped	multi_mapped	total_mapped	uniq_fraction	score
chr10:43116732-43118372	chr10	43116732	43118372	1640	+	RET	ENSG00000165731.22	8	0	8	1.0	8.0
chr10:43122017-43123670	chr10	43122017	43123670	1653	+	RET	ENSG00000165731.22	17	0	17	1.0	17.0
chr10:87228963-87230919	chr10	87228963	87230919	1956	+	NUTM2A	ENSG00000184923.12	0	1	1	0.0	0.0
chr11:128772986-128781957	chr11	128772986	128781957	8971	+	FLI1	ENSG00000151702.18	5	0	5	1.0	5.0
chr11:128805432-128807179	chr11	128805432	128807179	1747	+	FLI1	ENSG00000151702.18	14	0	14	1.0	14.0
chr12:11752580-11839139	chr12	11752580	11839139	86559	+	ETV6	ENSG00000139083.11	33	0	33	1.0	33.0
chr12:11869970-11884444	chr12	11869970	11884444	14474	+	ETV6	ENSG00000139083.11	54	0	54	1.0	54.0
chr12:50809590-50814009	chr12	50809590	50814009	4419	+	ATF1	ENSG00000123268.9	10	0	10	1.0	10.0
chr12:56117212-56117481	chr12	56117212	56117481	269	+	RPL41	ENSG00000229117.9	0	1	1	0.0	0.0
chr15:34354733-34355020	chr15	34354733	34355020	287	+	NUTM1	ENSG00000184507.17	13	0	13	1.0	13.0
chr15:87929435-87933011	chr15	87929435	87933011	3576	-	NTRK3	ENSG00000140538.17	12	1	13	0.9230769230769231	12.0
chr19:15244763-15254151	chr19	15244763	15254151	9388	-	BRD4	ENSG00000141867.19	31	0	31	1.0	31.0
chr19:15255593-15256063	chr19	15255593	15256063	470	-	BRD4	ENSG00000141867.19	102	1	103	0.9902912621359223	102.0
chr19:42249943-42250330	chr19	42249943	42250330	387	-	ERF	ENSG00000105722.11	22	0	22	1.0	22.0
chr2:29207273-29209785	chr2	29207273	29209785	2512	-	ALK	ENSG00000171094.18	19	0	19	1.0	19.0
chr2:29222409-29222516	chr2	29222409	29222516	107	-	ALK	ENSG00000171094.18	27	0	27	1.0	27.0
chr2:42256631-42263177	chr2	42256631	42263177	6546	+	EML4	ENSG00000143924.19	1	0	1	1.0	1.0
chr2:42264732-42280849	chr2	42264732	42280849	16117	+	EML4	ENSG00000143924.19	49	3	52	0.9423076923076923	49.0
