chromosome	position	end	depth	sample
chr12	6571000	6571050	292	CTRL_rep1
chr12	6571050	6571100	250	CTRL_rep1
chr12	6571100	6571150	312	CTRL_rep1
chr12	6571150	6571200	287	CTRL_rep1
chr12	6571200	6571250	312	CTRL_rep1
chr12	6571250	6571300	324	CTRL_rep1
chr12	6571300	6571350	278	CTRL_rep1
chr12	6571350	6571400	233	CTRL_rep1
chr12	6571400	6571450	291	CTRL_rep1
chr12	6571450	6571500	12	CTRL_rep1
chr12	6571500	6571550	12	CTRL_rep1
chr12	6571550	6571600	11	CTRL_rep1
chr12	6571600	6571650	13	CTRL_rep1
chr12	6571650	6571700	13	CTRL_rep1
chr12	6571700	6571750	12	CTRL_rep1
chr12	6571750	6571800	14	CTRL_rep1
chr12	6571800	6571850	12	CTRL_rep1
chr12	6571850	6571900	9	CTRL_rep1
chr12	6571900	6571950	14	CTRL_rep1
chr12	6571950	6572000	11	CTRL_rep1
chr12	6572000	6572050	11	CTRL_rep1
chr12	6572050	6572100	11	CTRL_rep1
chr12	6572100	6572150	10	CTRL_rep1
chr12	6572150	6572200	10	CTRL_rep1
chr12	6572200	6572250	12	CTRL_rep1
chr12	6572250	6572300	12	CTRL_rep1
chr12	6572300	6572350	10	CTRL_rep1
chr12	6572350	6572400	14	CTRL_rep1
chr12	6572400	6572450	12	CTRL_rep1
chr12	6572450	6572500	17	CTRL_rep1
chr12	6572500	6572550	12	CTRL_rep1
chr12	6572550	6572600	14	CTRL_rep1
chr12	6572600	6572650	10	CTRL_rep1
chr12	6572650	6572700	12	CTRL_rep1
chr12	6572700	6572750	14	CTRL_rep1
chr12	6572750	6572800	11	CTRL_rep1
chr12	6572800	6572850	11	CTRL_rep1
chr12	6572850	6572900	10	CTRL_rep1
chr12	6572900	6572950	14	CTRL_rep1
chr12	6572950	6573000	10	CTRL_rep1
chr12	6573000	6573050	13	CTRL_rep1
chr12	6573050	6573100	10	CTRL_rep1
chr12	6573100	6573150	15	CTRL_rep1
chr12	6573150	6573200	12	CTRL_rep1
chr12	6573200	6573250	12	CTRL_rep1
chr12	6573250	6573300	9	CTRL_rep1
chr12	6573300	6573350	10	CTRL_rep1
chr12	6573350	6573400	12	CTRL_rep1
chr12	6573400	6573450	12	CTRL_rep1
chr12	6573450	6573500	15	CTRL_rep1
chr12	6573500	6573550	12	CTRL_rep1
chr12	6573550	6573600	15	CTRL_rep1
chr12	6573600	6573650	11	CTRL_rep1
chr12	6573650	6573700	10	CTRL_rep1
chr12	6573700	6573750	15	CTRL_rep1
chr12	6573750	6573800	8	CTRL_rep1
chr12	6573800	6573850	11	CTRL_rep1
chr12	6573850	6573900	13	CTRL_rep1
chr12	6573900	6573950	14	CTRL_rep1
chr12	6573950	6574000	14	CTRL_rep1
chr12	6574000	6574050	11	CTRL_rep1
chr12	6574050	6574100	11	CTRL_rep1
chr12	6574100	6574150	13	CTRL_rep1
chr12	6574150	6574200	12	CTRL_rep1
chr12	6574200	6574250	11	CTRL_rep1
chr12	6574250	6574300	14	CTRL_rep1
chr12	6574300	6574350	9	CTRL_rep1
chr12	6574350	6574400	11	CTRL_rep1
chr12	6574400	6574450	9	CTRL_rep1
chr12	6574450	6574500	13	CTRL_rep1
chr12	6574500	6574550	13	CTRL_rep1
chr12	6574550	6574600	12	CTRL_rep1
chr12	6574600	6574650	14	CTRL_rep1
chr12	6574650	6574700	13	CTRL_rep1
chr12	6574700	6574750	8	CTRL_rep1
chr12	6574750	6574800	11	CTRL_rep1
chr12	6574800	6574850	8	CTRL_rep1
chr12	6574850	6574900	11	CTRL_rep1
chr12	6574900	6574950	13	CTRL_rep1
chr12	6574950	6575000	12	CTRL_rep1
chr12	6575000	6575050	12	CTRL_rep1
chr12	6575050	6575100	10	CTRL_rep1
chr12	6575100	6575150	13	CTRL_rep1
chr12	6575150	6575200	15	CTRL_rep1
chr12	6575200	6575250	11	CTRL_rep1
chr12	6575250	6575300	12	CTRL_rep1
chr12	6575300	6575350	12	CTRL_rep1
chr12	6575350	6575400	14	CTRL_rep1
chr12	6575400	6575450	10	CTRL_rep1
chr12	6575450	6575500	14	CTRL_rep1
chr12	6575500	6575550	13	CTRL_rep1
chr12	6575550	6575600	14	CTRL_rep1
chr12	6575600	6575650	10	CTRL_rep1
chr12	6575650	6575700	9	CTRL_rep1
chr12	6575700	6575750	10	CTRL_rep1
chr12	6575750	6575800	13	CTRL_rep1
chr12	6575800	6575850	11	CTRL_rep1
chr12	6575850	6575900	13	CTRL_rep1
chr12	6575900	6575950	12	CTRL_rep1
chr12	6575950	6576000	12	CTRL_rep1
chr12	6576000	6576050	11	CTRL_rep1
chr12	6576050	6576100	12	CTRL_rep1
