bin_id	sample	assembler	binner	n_contigs	total_length	largest_contig	n50	l50	gc_percent	predicted_rrna_genes	contigs_over_10kb
FLYE-MaxBin2-CAPES_S11.001	CAPES_S11	FLYE	MaxBin2	9	7482446	2517759	2331977	2	39.22	34 + 0 part	7
FLYE-MetaBAT2-CAPES_S11.26	CAPES_S11	FLYE	MetaBAT2	182	2250783	51243	15156	55	50.71	0 + 0 part	108
FLYE-MetaBinner-CAPES_S11.5	CAPES_S11	FLYE	MetaBinner	5	4685702	1917989	1012487	2	41.88	21 + 1 part	5
FLYE-SemiBin2-CAPES_S11_32	CAPES_S11	FLYE	SemiBin2	1	249246	249246	249246	1	43.2	0 + 0 part	1
MEGAHIT-COMEBin-CAPES_S7.3309	CAPES_S7	MEGAHIT	COMEBin	3048	7815260	25536	3070	716	53.54	6 + 0 part	41
MEGAHIT-MetaBAT2-CAPES_S21.28	CAPES_S21	MEGAHIT	MetaBAT2	75	274311	14005	4494	21	48.74	0 + 0 part	2
MEGAHIT-MetaBAT2-CAPES_S7.20	CAPES_S7	MEGAHIT	MetaBAT2	94	911253	35667	12744	25	51.59	0 + 0 part	39
MEGAHIT-MetaBinner-CAPES_S21.13	CAPES_S21	MEGAHIT	MetaBinner	155	4634074	154336	55885	27	41.14	2 + 0 part	97
MEGAHIT-SemiBin2-CAPES_S21_18	CAPES_S21	MEGAHIT	SemiBin2	131	599733	14876	4940	44	51.32	0 + 0 part	3
METAMDBG-MetaBAT2-CAPES_S7.10	CAPES_S7	METAMDBG	MetaBAT2	123	1456689	51870	12344	43	57.35	3 + 0 part	73
SPAdes-MetaBAT2-CAPES_S11.11	CAPES_S11	SPAdes	MetaBAT2	248	2163543	38058	12089	57	43.65	0 + 0 part	87
SPAdes-MetaBAT2-CAPES_S11.4	CAPES_S11	SPAdes	MetaBAT2	34	1216379	153672	55191	7	59.38	1 + 0 part	22
SPAdes-MetaBAT2-CAPES_S21.24	CAPES_S21	SPAdes	MetaBAT2	34	1932964	187120	65848	10	44.55	0 + 0 part	32
SPAdes-MetaBAT2-CAPES_S7.23	CAPES_S7	SPAdes	MetaBAT2	19	327666	54790	28505	4	50.08	0 + 0 part	12
SPAdes-MetaBinner-CAPES_S11.18	CAPES_S11	SPAdes	MetaBinner	547	1500083	9963	2810	181	38.7	0 + 0 part	0
